"Latitude (Decimal Degrees, NAD83)","NAD 1983, decimal degrees",--,,,
"Longitude (Decimal Degrees, NAD83)","NAD 1983, decimal degrees",--,,,
Location,Name of the approximate location for center line points  ,--,,,
"Time Period (Month, Year)","Sampling time period, month, year",--,,,
NO3 (µM) (SUNA) SA,"Nitrate plus nitrite, micromolar",--,,,
Cond (μS/cm) (TSG) SA,"Conductivity, microsiemens per centimeter",--,,,
DO (%) (EXO) SA,"Dissolved oxygen, percent of saturation",--,,,
DO (mg/L) (EXO) SA,"Dissolved oxygen, milligrams per liter",--,,,
fDOM (QSU) (EXO) SA,"Fluorescence of dissolved organic matter, quinine sulfate units (1 QSU = 1 part per billion quininie sulfate); corrected for turbidity and inner filter effects",--,,,
Salinity (PSU) (TSG) SA,"Salinity, practical salinity unit",--,,,
Sp Cond (μS/cm) (EXO) SA,"Specific conductance, microsiemens per centimeter at 25 degrees Celsius",--,,,
Temp (˚C) (TSG) SA,"Temperature, degrees Celsius",--,,,
Temp (˚C) (EXO) SA,"Temperature, degrees Celsius",--,,,
Turb (FNU) (EXO) SA,"Turbidity, formazin nephelometric units",--,,,
fCHL (µg/L) (EXO) SA,"Fluorescent chlorophyll, micrograms per liter; corrected for temperature",--,,,
fCHL (µg/L) (WS) SA,"Fluorescent chlorophyll, micrograms per liter; corrected for temperature",--,,,
estDOC (mg/L) SA,"Dissolved organic carbon, milligrams per liter; modeled based on fDOM, see metadata for details",--,,,
estDON (μM) SA,"Dissolved organic nitrogen, micromolar; modeled based on fDOM, see metadata for details",--,,,
pH (EXO) SA,"pH, standard units",--,,,
fDOM (QSU) (WS) SA,"Fluorescent dissolved organic matter, quinine sulfate equivalents; corrected for temperature, turbidity, and inner filter effect",--,,,
