,fCHL μgL WS HR mean,fCHL μgL EXO HR mean,fCHL μgL EXO HR median,NO3 uM SUNA HR mean,CL_ID,Location,Latitude,Longitude,USGS_Stati,Station_ID,USGS_Sta_1,DigitalLat,DigitalLon,Subregions
86,15.70677357,10.56196819,10.46340909,1.585965,A3470,San Joaquin River,38.060377,-121.680878, , ,,,,Central Delta Tidal Zone
87,16.62833308,10.65852123,10.67801673,1.84172505,A3471,San Joaquin River,38.060018,-121.682469, , ,,,,Central Delta Tidal Zone
88,16.2056995,9.4872647,9.528548349,1.76522325,A3472,San Joaquin River,38.058935,-121.683427, , ,,,,Central Delta Tidal Zone
89,15.53830266,8.886955525,8.790902409,1.69863378,A3473,San Joaquin River,38.058134,-121.684871, , ,,,,Western Delta Tidal Zone
90,14.8012422,8.627098394,8.317570931,1.619864081,A3474,San Joaquin River,38.057204,-121.686271, , ,,,,Western Delta Tidal Zone
91,13.34710775,8.15592777,8.003982081,1.59546603,A3475,San Joaquin River,38.05642,-121.687851, , ,,,,Western Delta Tidal Zone
92,13.03190733,8.306878362,8.542663477,1.576864397,A3476,San Joaquin River,38.055447,-121.689276, , ,,,,Western Delta Tidal Zone
93,13.48822439,7.708453507,7.744375871,1.55683578,A3477,San Joaquin River,38.054452,-121.690661, , ,,,,Western Delta Tidal Zone
94,13.825885,8.115683876,8.333333333,1.561666213,A3478,San Joaquin River,38.053232,-121.691828, , ,,,,Western Delta Tidal Zone
95,13.84723404,8.209129601,8.376442499,1.525111295,A3479,San Joaquin River,38.052041,-121.693001, , ,,,,Western Delta Tidal Zone
96,13.9561906,8.753441106,8.928571429,1.51705854,A3480,San Joaquin River,38.050772,-121.6939, , ,,,,Western Delta Tidal Zone
97,13.85657944,8.467344019,8.2906562,1.501253019,A3481,San Joaquin River,38.049433,-121.694683, , ,,,,Western Delta Tidal Zone
98,14.0072854,8.738222694,8.310125323,1.465348159,A3482,San Joaquin River,38.048064,-121.695439, , ,,,,Western Delta Tidal Zone
