"DWR_Site","EMP_Site","Lat","Lon","RepCont","Collection_Date","Collection_Month","Collection_ID","Survey_Year","field.PST","field.Water.temp","field.DO.mgL","field.DO.perc","field.Secchi","field.SC.uScm","field.Salinity","field.NTU","field.pH","field.Chla","field.Fluor","bryte.NH4.mgL","bryte.NO3.mgL","bryte.Chloride.mgL","bryte.Calcium.mgL","bryte.DOC.mgL","bryte.TOC.mgL","bryte.DON.mgL","bryte.total.kjeldahl.n.mgL","bryte.SRP.mgL","bryte.TP.mgL","bryte.SiO2.mgL","bryte.VSS.mgL","bryte.TDS.mgL","bryte.TSS.mgL","bryte.amb.Chla.ugL","bryte.amb.Pheo.ugL","bryte.towNet.Chla.ave.ugL","bryte.towNet.Chla.corrected","bryte.towNet.Pheo.uncorrected","bryte.towNet.Pheo.corrected","dwr.MIC_totbvL","ucd.qpcr.total.MIC","ucd.qpcr.toxin.MIC","ucd.qpcr.DOLICO","ucd.qpcr.APHA","ucd.qpcr.total.CYA","ucd.ppia.MC.total.ugL","ucd.elisa.STX.dissolved.ugL","ucd.elisa.ANA.a.dissolved.ugL"
"OR","D28A",37.9706,-121.5725,0,"2015-08-27",8,2,2015,1400,23.91,7.64,90.7,NA,703,0.33,4.2,7.61,2.7,NA,0.011,0.066,148,NA,3.3,3.4,0.2,NA,0.074,0.09,9.32,1,388,6,4.26,1.32,2022.53,0.903358141,18.42,NA,5.9e+08,7955,0,9,5171,115282,0,0,0
"RR","P8",37.9633,-121.3663,0,"2015-08-27",8,2,2015,1200,26.61,7.46,92.8,NA,1634,0.8,2.6,7.78,4,NA,0.083,1.88,412,NA,5.2,5.3,0.56,NA,0.46,0.75,10.5,1,918,5,5.2,2.51,1520.57,0.51718061,40.98,NA,2.77e+08,29495,324,9,10069,440342,0,0,0
"SJ","",38.0347,-121.4834,0,"2015-08-27",8,2,2015,1238,24.6,8.68,104.6,NA,647,0.3,1.1,8.18,3.6,NA,0.01,0.214,136,NA,3.7,3.7,0.28,NA,0.095,0.1,9.34,1,356,3,5.6,0.79,1762.2,1.04437744,27.37,NA,8.35e+08,4508,2500,9,1004,36,0.538574974,0,0
"VC","",37.872,-121.5277,0,"2015-08-27",8,2,2015,1310,25.26,7.36,89.4,NA,694,0.32,4.7,7.55,3.3,NA,0,0.058,138.03,NA,4.2,4.3,0.25,NA,0.059,0.09,8.34,1,385,4,8.55,1.21,5318.64,1.217574351,0,NA,8.41e+09,27331,1697,11,12250,381198,0,0,0
"AT","D12",38.0232,-121.8071,0,"2015-09-16",9,3,2015,827,20.56,8.44,96.8,NA,9593,5.37,9.6,7.53,2.1,NA,0.02,0.28,2574,NA,2.05,2.1,0.33,NA,0.06,0.11,11.4,4,5344,17,2.84,0.99,1704.53,0.6246544,0,NA,5.64e+08,1058,0,9,189,4663,0,0,0
"ATrep","",38.0232,-121.8071,1,"2015-09-16",9,3,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.32,2730,NA,2,2,0.34,NA,0.07,0.12,11.9,4,5336,18,2.68,0.59,1851.91,0.636839753,24.56,NA,NA,6257,323,9,1264,114345,0.311394831,0,0
"BI","",38.1159,-121.6845,0,"2015-09-16",9,3,2015,826,21.22,8.78,99.8,NA,3635,1.89,9.9,7.93,1.6,NA,0.02,0.3,1001.25,NA,2.2,2.4,0.29,NA,0.06,0.11,14.1,2,2076,12,2.95,0.65,1982.21,0.767462169,0,NA,3.98e+08,7757,349,9,1680,58553,0,0,0
"CV","D4",38.0602,-121.824,0,"2015-09-16",9,3,2015,930,20.62,8.99,103.2,NA,9878,5.54,9.4,7.76,2.4,NA,0.02,0.25,2774,NA,1.9,2,0.32,NA,0.05,0.11,12.1,3,5556,19,2.29,0.81,654.9,0.223690243,44.56,NA,1.61e+08,3935,39,9,353,110229,0.313723798,0,0
"FieldCont","",NA,NA,1,"",9,3,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,9,6,0,0,0,0
"FT","D19",38.0468,-121.6192,0,"2015-09-16",9,3,2015,1338,21.57,9.97,113.4,NA,954,0.45,1.4,8.42,1.2,NA,0.02,0.17,265,NA,2.8,2.8,0.29,NA,0.07,0.09,15,0,615,1,2.16,0,889,0.474668683,0,NA,2.6e+08,5699,161,9,1947,111952,0,0,0
"JP","",38.0517,-121.6953,0,"2015-09-16",9,3,2015,927,21.52,8.87,101.3,NA,3036,1.56,8.3,8.01,2,NA,0.02,0.38,903.48,NA,2.2,2.2,0.22,NA,0.09,0.11,14.1,2,1782,10,3.37,0.58,2143.48,0.552642327,7.37,NA,3.61e+08,10279,683,9,7570,47019,0.251444836,0,0
"MI","",37.9952,-121.5222,0,"2015-09-16",9,3,2015,1313,22.76,9.24,107.5,NA,558,0.25,0.2,7.92,3.8,NA,0,0.15,104,NA,2.8,3.1,0.26,NA,0.05,0.09,11.2,0,316,2,4.94,0,1981.4,0.725067795,0,NA,3.05e+08,39679,2725,9,7167,685733,0.391960691,0,0
"OR","D28A",37.9706,-121.5725,0,"2015-09-16",9,3,2015,1305,22.72,7.77,90.3,NA,670,0.31,3.8,7.76,3.1,NA,0,0.14,132.5,NA,2.9,3.1,0.25,NA,0.06,0.1,11,1,371,4,4.24,0.79,1834.48,1.24133794,18.73,NA,60600000,18423,1708,9,16532,102297,0.361640626,0,0
"RR","P8",37.9633,-121.3663,0,"2015-09-16",9,3,2015,1205,24.41,10.05,122.5,NA,1501,0.73,6.6,7.67,3.6,NA,0.19,2.16,314,NA,5.3,5.3,0.66,NA,0.42,0.68,11.7,1,843,11,3.07,1.29,94.06,0.020694934,8.28,NA,81600000,2614,294,9,717,385353,0,0,0
"SJ","",38.0347,-121.4834,0,"2015-09-16",9,3,2015,1242,22.96,8.26,96.9,NA,520,0.24,1.4,7.76,3.8,NA,0.01,0.18,98,NA,3.1,3.2,0.24,NA,0.05,0.1,10.5,1,288,4,5.06,0.72,2827,1.19752448,16.87,NA,90200000,48421,619,9,16491,361600,0.256922263,0,0
"VC","",37.872,-121.5277,0,"2015-09-16",9,3,2015,1216,22.38,8.22,94.7,NA,603,0.28,4.5,7.79,3.6,NA,0.02,0.13,122,NA,3.6,3.6,0.23,NA,0.06,0.1,10.6,1,334,5,4.34,0.95,2029.2,1.01844045,0,NA,1.54e+08,19200,4269,9,8211,286040,0.324937471,0,0
"AT","D12",38.0232,-121.8071,0,"2015-09-28",9,4,2015,815,21.23,7.95,91.9,NA,7677,4.22,9.8,7.55,2.4,NA,0.02,0.37,2389,NA,2.1,2.2,0.32,NA,0.09,0.12,12.8,3,4628,25,2.15,1.11,1710.94,0.299123886,4.81,NA,3.02e+08,4994,2699,9,4974,136870,0.421547484,0,0
"ATrep","D12",38.0232,-121.8071,1,"2015-09-28",9,4,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.37,2120,NA,2,2.1,0.32,NA,0.09,0.13,13.2,2,4624,16,1.83,0.75,1028.48,0.210667143,23.39,NA,NA,9460,184,9,5707,170580,0,0,0
"BI","",38.1159,-121.6845,0,"2015-09-28",9,4,2015,830,21.74,10.7,92.3,NA,2822,1.44,10.4,7.7,1.9,NA,0.03,0.36,767.31,NA,2.2,2.3,0.21,NA,0.08,0.12,15.3,3,1567,17,3.13,1.27,2259.89,0.694336758,0,NA,1.04e+08,13824,666,9,20972,119328,0.344561399,0,0
"CV","D4",38.0602,-121.824,0,"2015-09-28",9,4,2015,930,20.85,8.13,93.4,NA,8409,4.66,10.2,7.72,2.3,NA,0.03,0.41,2520,NA,2,2.1,0.31,NA,0.1,0.13,14.1,4,4752,18,2.15,0.72,948.38,0.19117339,27.98,NA,2.21e+08,14549,334,9,1954,153348,0.389329768,0,0
"FieldCont","",NA,NA,1,"",9,4,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,9,8,71,0,0,0
"FT","D19",38.0468,-121.6192,0,"2015-09-28",9,4,2015,1350,22.14,8.26,94.7,NA,409,0.18,2,8.08,1.7,NA,0.02,0.16,204,NA,2.7,2.8,0.2,NA,0.09,0.11,14.7,2,502,4,3.39,0.61,1380.92,0.760525735,0,NA,95800000,17284,182,9,13770,262230,0.265763832,0,0
"JP","",38.0517,-121.6953,0,"2015-09-28",9,4,2015,910,21.64,10.1,91.2,NA,2716,1.38,10,7.68,1.4,NA,0.04,0.37,723.13,NA,2.2,2.3,0.26,NA,0.09,0.12,15.6,2,1515,15,3.13,1.03,1611.61,0.470683093,0,NA,1.61e+08,19783,34,9,7902,117708,0,0,0
"MI","",37.9952,-121.5222,0,"2015-09-28",9,4,2015,1328,22.89,8.07,94.2,NA,555,0.25,0.5,7.64,3.6,NA,0.02,0.22,108,NA,2.9,2.9,0.26,NA,0.08,0.11,13.6,0,307,2,3.97,0.65,1065.86,0.348439695,15.91,NA,23700000,20908,1168,28,5811,478163,0.303027712,0,0
"OR","D28A",37.9706,-121.5725,0,"2015-09-28",9,4,2015,1155,22.81,7.25,84.3,NA,664,0.31,3.1,7.64,2.3,NA,0.01,0.11,135,NA,3,3.1,0.23,NA,0.06,0.1,12.1,1,368,5,4.29,1.28,727.52,0.404205456,8.12,NA,39600000,9918,576,9,13129,284084,0.301130009,0,0
"RR","P8",37.9633,-121.3663,0,"2015-09-28",9,4,2015,1207,23.81,7.39,87.7,NA,1272,0.61,5.7,7.59,4.6,NA,0.11,2.38,253.34,NA,5.1,4.5,0.57,NA,0.42,0.82,14.8,2,705,10,5.37,2.09,52.55,0.016757907,12.87,NA,5070000,3328,12,9,63,197016,0,0,0
"SJ","",38.0347,-121.4834,0,"2015-09-28",9,4,2015,1252,22.94,7.23,84.2,NA,625,0.29,1.4,7.64,3.7,NA,0.02,0.33,116.1,NA,3.3,3.7,0.35,NA,0.1,0.13,12.1,1,346,4,3.96,1,1660.74,0.539800732,54.25,NA,2.63e+08,19015,1398,9,17694,440120,0,0,0
"VC","",37.872,-121.5277,0,"2015-09-28",9,4,2015,1243,23.33,7.58,88.9,NA,609,0.28,3.3,7.54,3.4,NA,0.01,0.08,117,NA,3.4,3.5,0.25,NA,0.07,0.1,10.04,1,336,5,5.74,1.31,1495.2,0.530067646,81.49,NA,3.31e+08,14134,982,9,12424,400212,0,0,0
"AT","D12",38.0232,-121.8071,0,"2015-10-14",10,5,2015,815,20.64,7.98,91,NA,8023,4.43,50.7,7.41,2.3,NA,0.03,0.23,2302,NA,2,2.1,0.2,NA,0.07,0.15,13.143,4,4476,30,1.76,1.27,265.93,0.081214561,57.03,NA,1.46e+08,272,94,9,1729,97680,0,0,0
"ATrep","D12",38.0232,-121.8071,1,"2015-10-14",10,5,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.43,2334,NA,1.9,2.1,0.25,NA,0.1,0.16,13.448,4,4480,31,1.61,1.47,207.19,0.07343083,40.26,NA,NA,254,0,9,336,125868,0,0,0
"BI","",38.1159,-121.6845,0,"2015-10-14",10,5,2015,825,20.9,8.34,93.8,NA,2259,1.14,11.2,7.59,1.3,NA,0.05,0.43,665.3,NA,2.7,2.1,0.17,NA,0.09,0.13,15.638,2,1276,11,2.57,0.66,395.69,0.110797517,24.23,NA,1.32e+08,798,21,9,4169,68155,0,0,0
"CV","D4",38.0602,-121.824,0,"2015-10-14",10,5,2015,902,20.51,8.34,94.9,NA,9538,5.34,76,7,1.9,NA,0.04,0.44,2749.06,NA,2,2,0.26,NA,0.11,0.14,13.115,2,5484,15,1.23,0.75,110.43,0.036635028,20.62,NA,53200000,855,5,9,165,109521,0,0,0
"FieldCont","",NA,NA,1,"",10,5,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,9,6,0,0,0,0
"FT","D19",38.0468,-121.6192,0,"2015-10-14",10,5,2015,1308,21.51,8.2,93.2,NA,1108,0.53,6.9,7.82,1,NA,0.02,0.25,268.5,NA,2.3,2.4,0.23,NA,0.08,0.12,14.275,1,626,8,4.49,0.76,1082.95,0.629458592,4.81,NA,3.89e+08,4310,475,9,4205,77859,0.294569312,0,0
"JP","",38.0517,-121.6953,0,"2015-10-14",10,5,2015,900,21.12,8.22,93.1,NA,2233,1.12,10.9,7.72,1.9,NA,0.03,0.37,596,NA,2.1,2.2,0.19,NA,0.09,0.12,14.135,2,1274,15,3.34,1.24,905.13,0.430970954,14.04,NA,2.71e+08,2858,1983,9,5513,69324,0,0,0
"MI","",37.9952,-121.5222,0,"2015-10-14",10,5,2015,1331,21.81,8.33,95,NA,56.7,0.02,0.2,7.18,3.4,NA,0.01,0.23,110,NA,3,3.1,0.23,NA,0.08,0.11,12.273,0,315,3,4.02,0.66,591.14,0.222526419,9.93,NA,34300000,12958,596,9,4895,460260,0.258517261,0,0
"OR","D28A",37.9706,-121.5725,0,"2015-10-14",10,5,2015,1130,22.12,7.47,85.8,NA,722,0.33,2.4,7.68,2.3,NA,0.01,0.12,154.4,NA,2.9,3,0.2,NA,0.08,0.11,10.792,1,407,6,3.57,1.03,624.35,0.39205273,38.47,NA,1.65e+08,3732,369,9,5002,125318,0.294009939,0,0
"RR","P8",37.9633,-121.3663,0,"2015-10-14",10,5,2015,1206,23.14,7.87,91.8,NA,916,0.43,1.2,7.62,4.1,NA,0.05,1.75,154.55,NA,4,4.1,0.39,NA,0.39,0.5,16.175,1,505,5,5.07,0.87,138.41,0.051623978,38.39,NA,81800000,274,0,9,7,339499,0,0,0
"SJ","",38.0347,-121.4834,0,"2015-10-14",10,5,2015,1253,22.31,8.05,92.4,NA,597,0.27,0.7,7.25,3.7,NA,0.01,0.31,113,NA,3.2,3.3,0.34,NA,0.09,0.14,10.956,0,329,3,4.6,0.91,1215.6,0.953802401,217.78,NA,1.06e+09,3337,0,9,2010,206260,0,0,0
"VC","",37.872,-121.5277,0,"2015-10-14",10,5,2015,1210,22.32,7.8,90.5,NA,631,0.29,1.3,7.58,3.2,NA,0.01,0.12,125,NA,3.4,3.4,0.29,NA,0.07,0.1,10.229,0,349,2,4.05,0.93,1091.5,0.276483252,4.11,NA,7.26e+08,4260,18,9,2673,303469,0.265839546,0,0
"AT","D12",38.0232,-121.8071,0,"2015-10-27",10,6,2015,840,19.5,8.28,91.5,NA,5828,3.14,NA,7.35,2.2,NA,0.04,0.47,1717.05,NA,1.9,2.1,0.18,NA,0.1,0.11,12.477,3,3336,17,1.4,0.9,313.35,0.108972173,20.98,NA,1.51e+08,3112,0,9,3296,100212,0.268941315,0,0
"ATrep","D12",38.0232,-121.8071,1,"2015-10-27",10,6,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.45,1514.5,NA,1.8,2,0.2,NA,0.1,0.12,12.534,3,3230,18,1.63,0.96,666,0.142039831,48.25,NA,NA,247,0,8,1494,69300,0.321722734,0,0
"BI","",38.1159,-121.6845,0,"2015-10-27",10,6,2015,849,19.79,8.25,90.8,NA,1676,0.82,9.3,7.5,1.1,NA,0.04,0.42,431.5,NA,2.1,2.1,0.13,NA,0.09,0.11,14.271,2,924,12,2.23,0.98,611.16,0.244133183,14,NA,3.96e+08,1926,0,9,4634,36847,0.308807081,0,0
"CV","D4",38.0602,-121.824,0,"2015-10-27",10,6,2015,940,19.27,8.5,93.8,NA,6782,3.69,NA,7.42,2.3,NA,0.05,0.5,1940,NA,1.8,1.8,0.21,NA,0.1,0.11,12.923,3,3784,17,1.36,0.66,169.71,0.036658519,14.8,NA,48500000,62,0,9,156,43561,0.32182451,0,0
"FieldCont","",NA,NA,1,"",10,6,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,8,6,0,0,0,0
"FT","D19",38.0468,-121.6192,0,"2015-10-27",10,6,2015,1333,19.86,8.28,91.1,NA,1122,0.54,10.6,7.68,1.7,NA,0.05,0.4,273,NA,2.2,2.7,0.16,NA,0.08,0.11,13.652,3,621,17,3.05,1.21,589.11,0.49070854,29.16,NA,6.29e+08,2299,0,9,7289,110144,0.292891253,0,0
"JP","",38.0517,-121.6953,0,"2015-10-27",10,6,2015,920,19.73,8.32,91.5,NA,1682,0.83,9.1,7.57,1.6,NA,0.04,0.43,431.5,NA,2.1,2.1,0.18,NA,0.09,0.1,14.233,2,936,12,2.24,0.99,418.02,0.357210211,15.29,NA,5.59e+08,680,0,9,4393,73270,0,0,0
"MI","",37.9952,-121.5222,0,"2015-10-27",10,6,2015,1400,20.08,7.73,85,NA,609,0.28,1.4,7.69,3.4,NA,0.02,0.28,122,NA,2.9,2.9,0.22,NA,0.08,0.1,11.717,0,342,2,3.42,0.69,848.21,0.193910218,2.53,NA,93200000,5903,30,8,4955,131515,0,0,0
"OR","D28A",37.9706,-121.5725,0,"2015-10-27",10,6,2015,1200,19.97,7.43,81.9,NA,798,0.37,2.3,7.46,2.4,NA,0.03,0.14,175.4,NA,3.1,3.2,0.18,NA,0.07,0.1,10.365,1,441,4,2.4,0.86,297.76,0.244754979,11.22,NA,3.01e+08,3249,0,8,1970,74527,0.258212176,0,0
"RR","P8",37.9633,-121.3663,0,"2015-10-27",10,6,2015,1238,20.85,7.22,80.9,NA,776,0.36,1.9,7.32,3.4,NA,0.07,1.56,124,NA,3.9,3.5,0.36,NA,0.38,0.38,16.18,1,423,3,3.59,1.05,59.59,0.022033738,15.54,NA,99300000,23,0,9,6,325106,0,0,0
"SJ","",38.0347,-121.4834,0,"2015-10-27",10,6,2015,1322,20.14,7.49,82.5,NA,568,0.26,2,7.73,3.2,NA,0.03,0.44,106.45,NA,3,3.2,0.23,NA,0.11,0.12,10.988,0,315,2,2.9,1.15,1253.83,0.310909931,54.47,NA,2.02e+08,3411,0,9,2379,98741,0,0,0
"VC","",37.872,-121.5277,0,"2015-10-27",10,6,2015,1241,20,7.97,87.8,NA,669,0.31,1.7,7.55,3.6,NA,0.01,0.17,135,NA,3.6,3.7,0.33,NA,0.07,0.1,10.081,1,371,3,3.88,1.14,326.27,0.162816839,11.87,NA,2.61e+08,15382,0,9,16770,220282,0.313230967,0,0
"AT","D12",38.0232,-121.8071,0,"2015-11-17",11,7,2015,825,13.5,9.28,90.6,NA,5589,3,13,7.73,4,NA,0.07,0.5,1590,NA,3.2,2.4,0.23,NA,0.08,0.13,13.055,2,3172,18,1.98,1.03,332.9,0.089119879,31.91,NA,1.07e+08,94,11,11,3940,83308,0,0,0
"ATrep","D12",38.0232,-121.8071,1,"2015-11-17",11,7,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.43,1592,NA,2,2.1,0.24,NA,0.06,0.13,13.075,2,3174,18,1.67,0.69,218.51,0.068851677,11.9,NA,NA,155,125,9,1387,93529,0,0,0
"BI","",38.1159,-121.6845,0,"2015-11-17",11,7,2015,850,13.6,9.51,91.9,NA,1739,0.86,12.7,7.66,3,NA,0.11,0.61,442,NA,2.2,2.2,0.21,NA,0.09,0.14,14.578,3,957,16,3.58,1.19,715.03,0.403500575,29.96,NA,12300000,143,13,9,8550,199620,0.27707714,0,0
"CV","D4",38.0602,-121.824,0,"2015-11-17",11,7,2015,915,13.87,9.33,93.4,NA,9911,5.56,10.4,7.81,3.5,NA,0.09,0.55,2978,NA,1.8,1.9,0.35,NA,0.09,0.14,12.618,3,5800,16,1.36,0,40.69,0.012558991,6.78,NA,3160000,26,0,9,26,67200,0.253483145,0,0
"FieldCont","",NA,NA,1,"",11,7,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,9,6,36,0,0,0
"FT","D19",38.0468,-121.6192,0,"2015-11-17",11,7,2015,1329,13.81,10.24,99,NA,1031,0.49,6.7,7.94,3.3,NA,0.07,0.48,238,NA,2.6,2.7,0.22,NA,0.07,0.11,12.264,2,575.5,8,7.92,1.18,2879.33,3.111711044,22.86,NA,23300000,153,10,9,1350,364835,0,0,0
"JP","",38.0517,-121.6953,0,"2015-11-17",11,7,2015,925,13.78,9.6,93.5,NA,2546,1.29,11.2,7.79,2.1,NA,0.07,0.48,668.2,NA,2.2,2.3,0.2,NA,0.07,0.12,13.004,2,1419,15,4.13,0.94,1045.57,0.931676952,0,NA,22600000,2446,19,8,13179,257412,0,0,0
"MI","",37.9952,-121.5222,0,"2015-11-17",11,7,2015,1255,13.33,10.43,99.9,NA,575,0.26,2.4,8,4.8,NA,0.03,0.45,108,NA,3.5,3.3,0.35,NA,0.08,0.12,10.124,1,324,4,12.81,0.76,3919.56,3.233929335,213.17,NA,11900000,2469,119,9,4332,2076396,0,0,0
"OR","D28A",37.9706,-121.5725,0,"2015-11-17",11,7,2015,1138,12.92,9.5,90.3,NA,796,0.37,3.2,7.77,2,NA,0.04,0.3,170,NA,3,3.5,0.2,NA,0.07,0.1,10.747,1,441,5,3.26,1.09,1082.42,0.754356685,23.28,NA,4560000,2887,0,8,17092,189508,0.260703775,0,0
"RR","P8",37.9633,-121.3663,0,"2015-11-17",11,7,2015,1245,14.14,8.83,85.8,NA,384,0.17,6.4,7.74,5,NA,0.06,0.99,55,NA,3.1,3.2,0.46,NA,0.17,0.24,13.106,2,214,9,2.7,0.58,43.15,0.007637578,34.19,NA,5740000,22,0,8,9,106446,0,0,0
"SJ","",38.0347,-121.4834,0,"2015-11-17",11,7,2015,1330,13.44,10.24,98.3,NA,504,0.23,3.6,7.99,7.9,NA,0.02,0.54,83.52,NA,3.2,3.5,0.5,NA,0.1,0.16,11.119,2,279,6,9.52,1.13,16895.76,8.35441337,915.81,NA,2.05e+08,865,0,14,4353,1432546,0,0,0
"VC","",37.872,-121.5277,0,"2015-11-17",11,7,2015,1215,12.52,10.04,94.6,NA,674,0.31,1.7,7.85,2.1,NA,0.02,0.4,129,NA,3.7,3.5,0.27,NA,0.07,0.12,11.195,1,375,2,3.13,0.54,169.22,0.139115384,11.48,NA,50200000,498,0,9,8119,180962,0,0,0
"AT","D12",38.02161,-121.8063,0,"2016-06-09",6,1,2016,625,20.35,8.36,NA,28,2110,1.05,30.3,7.73,NA,5.6,0.05,0.29,550,23,2.4,3,0.2,0.4,0.07,0.11,9.2,5,1170,36,6.38,2.06,NA,NA,NA,NA,9940000,48,0,0,35928,376308,0,0,0
"FT","D19",38.04376,-121.6148,0,"2016-06-09",6,1,2016,730,21.28,8.13,NA,64,301,0.13,12.4,7.71,NA,4.3,0.05,0.25,43,12,2.4,2.7,0.4,0.5,0.06,0.08,9.2,2,163,11,2.95,1.85,NA,NA,NA,NA,6490000,5774,3374,0,2706,473280,0,0.02,0
"OR","D28A",37.97048,-121.573,0,"2016-06-09",6,1,2016,830,22.26,7.36,NA,100,237,0.1,8.1,7.57,NA,3.6,0.04,0.16,25,12,2.9,3,0.2,0.4,0.05,0.1,8.7,2,128,7,2.68,1.82,NA,NA,NA,NA,24300000,11040,9893,0,75680,880387,0,0,0
"","D16",38.0969,-121.6691,0,"2016-06-10",6,1,2016,540,21.36,8.26,NA,80,274,0.12,11.7,7.74,NA,3.2,0.07,0.27,40,11,2.4,2.5,0.2,0.5,0.06,0.08,9.9,2,151,13,3.02,1.95,NA,NA,NA,NA,5820000,538,480,0,3770,393398,0,0,0
"","D26",38.07664,-121.5669,0,"2016-06-10",6,1,2016,630,21.82,7.99,NA,120,183,0.08,7.7,7.63,NA,3.1,0.1,0.25,15,11,2.4,2.4,0.2,0.4,0.06,0.08,10.9,1,99,7,2.1,1.61,NA,NA,NA,NA,22300000,343,49,0,99563,797743,0,0,0
"","MD10A",38.04226,-121.4199,0,"2016-06-10",6,1,2016,750,23.57,7.16,NA,184,269,0.12,2.9,7.57,NA,4.6,0.03,0.12,29,16,3.9,3.9,0.3,0.4,0.12,0.14,6.6,1,144,4,5.44,1.74,NA,NA,NA,NA,1.01e+08,20718,17167,0,33514,1529204,0,0,0
"RR","P8",37.97817,-121.3823,0,"2016-06-10",6,1,2016,900,24.34,6.65,NA,88,536,0.24,8.5,7.4,NA,4.8,0.07,0.69,90,21,5.5,4.7,0.4,0.7,0.18,0.23,9.3,1,289,10,3.9,1.63,NA,NA,NA,NA,26500000,7046,5036,0,4327,504154,0,0,0
"CV","D4",38.06248,-121.8205,0,"2016-06-13",6,1,2016,1120,20.42,8.51,NA,24,3878,2.03,35.9,7.87,NA,4.1,0.06,0.26,1081,36,3.7,2.5,0.2,0.4,0.06,0.12,9.9,8,2130,45,4.59,2.17,NA,NA,NA,NA,4600000,29,0,0,33,180585,0,0,0
"","D8",38.05992,-121.99,0,"2016-06-13",6,1,2016,925,20.19,8.51,NA,40,9231,5.15,21.6,7.87,NA,3.8,0.07,0.28,2765,74,1.8,1.9,0.3,0.4,0.07,0.1,9.6,7,5388,34,0.78,0,NA,NA,NA,NA,1880000,32,0,0,432,436821,0,0,0
"","D22",38.08453,-121.7391,0,"2016-06-13",6,1,2016,1235,20.88,8.66,NA,32,264,0.11,31.7,7.87,NA,6.2,0.11,0.3,37,10,2.1,2.6,0.2,0.5,0.06,0.11,12.2,7,140,39,10.62,3.44,NA,NA,NA,NA,945000,0,64,0,4715,6502240,0,0,0
"FieldCont","FieldCont",NA,NA,1,"",6,1,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,67,0,0,0
"AT","D12",38.02161,-121.8063,0,"2016-07-11",7,2,2016,905,21.66,8.2,NA,48,1912,0.95,19.8,7.64,NA,2.8,0.06,0.24,479,20,1.9,2.1,0.2,0.4,0.06,0.09,10.1,3,997,18,4.54,0.83,NA,NA,NA,NA,1.14e+09,2748,1680,0,46660,381708,0,0,0
"FT","D19",38.04376,-121.6148,0,"2016-07-11",7,2,2016,1015,22.11,8.49,NA,100,524,0.24,8.2,7.78,NA,2.1,0.02,0.16,106,12,2,2.1,0.2,0.3,0.04,0.06,10.2,0,274,6,4.23,1.27,NA,NA,NA,NA,3.29e+09,95241,82359,306,26824,802127,1.57,0,0
"OR","D28A",37.97048,-121.573,0,"2016-07-11",7,2,2016,1115,23.09,8.36,NA,180,377,0.17,5.1,7.86,NA,4.5,0,0.06,70,12,2.2,2.2,0.3,0.4,0.04,0.06,8.5,0,209,4,4.3,1.69,NA,NA,NA,NA,2.51e+09,62388,39284,0,18695,1360501,1.59,0,0.26
"","D16",38.0969,-121.6691,0,"2016-07-12",7,2,2016,855,22.17,8.41,NA,88,457,0.21,8.6,7.74,NA,2.6,0.04,0.2,90,11,2,2.1,0.3,0.4,0.04,0.09,10.2,1,241,9,4.88,1.48,NA,NA,NA,NA,7.78e+09,108146,64642,0,12577,647939,0.06,0,0
"","D26",38.07664,-121.5669,0,"2016-07-12",7,2,2016,945,22.27,9.13,NA,108,162,0.07,5.7,7.75,NA,7,0.05,0.17,15,9,1.8,1.9,0.2,0.4,0.04,0.07,10.6,2,87,8,16.05,2.75,NA,NA,NA,NA,4.73e+09,229758,153077,0,7786,9588844,0.16,0,0.21
"","MD10A",38.04226,-121.4199,0,"2016-07-12",7,2,2016,1110,24.62,9.75,NA,68,202,0.09,9.2,8.4,NA,11.2,0.02,0.01,17,13,4,3.9,0.4,0.9,0.04,0.12,11.4,4,114,11,40.19,4.8,NA,NA,NA,NA,2.21e+08,418444,10613,470,97504,17957427,0,0,0.26
