"DWR_Site","EMP_Site","Lat","Lon","RepCont","Collection_Date","Collection_Month","Collection_ID","Survey_Year","field.PST","field.Water.temp","field.DO.mgL","field.DO.perc","field.Secchi","field.SC.uScm","field.Salinity","field.NTU","field.pH","field.Chla","field.Fluor","bryte.NH4.mgL","bryte.NO3.mgL","bryte.Chloride.mgL","bryte.Calcium.mgL","bryte.DOC.mgL","bryte.TOC.mgL","bryte.DON.mgL","bryte.total.kjeldahl.n.mgL","bryte.SRP.mgL","bryte.TP.mgL","bryte.SiO2.mgL","bryte.VSS.mgL","bryte.TDS.mgL","bryte.TSS.mgL","bryte.amb.Chla.ugL","bryte.amb.Pheo.ugL","bryte.towNet.Chla.ave.ugL","bryte.towNet.Chla.corrected","bryte.towNet.Pheo.uncorrected","bryte.towNet.Pheo.corrected","dwr.MIC_totbvL","ucd.qpcr.total.MIC","ucd.qpcr.toxin.MIC","ucd.qpcr.DOLICO","ucd.qpcr.APHA","ucd.qpcr.total.CYA","ucd.ppia.MC.total.ugL","ucd.elisa.STX.dissolved.ugL","ucd.elisa.ANA.a.dissolved.ugL"
"OR","D28A",37.9706,-121.5725,0,"2014-08-11",8,3,2014,1229,25.09,6.85,83.2,NA,622,0.29,3.7,7.97,2.6,NA,0.02,0.05,125,NA,3.3,3.6,0.3,NA,0.1,0.12,10.3,1,348,3,NA,NA,2499.12,1.370802592,147.38,0.1678,3.95e+09,92300,13146,8129,24500,456682,0.48,0,0
"RR","P8",37.9633,-121.3663,0,"2014-08-11",8,3,2014,1227,27.3,8.14,104.2,NA,1314,0.64,2.3,7.96,4.5,NA,0.05,1.42,290,NA,5,5.4,0.6,NA,0.45,0.5,12.1,2,720,6,NA,NA,9078,4.561507857,509.97,0.21419,6.11e+09,283000,13152,0,290794,1581523,0.63,0,0
"SJ","",38.0347,-121.4834,0,"2014-08-11",8,3,2014,1143,25.12,7.06,85.6,NA,356,0.16,5.7,7.76,2.4,NA,0.02,0.14,57,NA,3.3,3.4,0.4,NA,0.075,0.12,14.3,2,197,6,NA,NA,1164.12,0.267591792,73.16,0.0918,3.32e+08,64200,12585,157,21600,347619,0.82,0,0
"VC","",37.872,-121.5277,0,"2014-08-11",8,3,2014,1155,25.4,6.64,81.7,NA,494,0.22,6.2,7.71,4.4,NA,0.04,0.17,88,NA,4.2,4.4,0.5,NA,0.09,0.12,11.6,1,291,4,NA,NA,4773.96,1.597621448,193.84,0.04399,1.19e+10,228000,37164,88,69600,939065,0.62,0,0
"AT","D12",38.0232,-121.8071,0,"2014-08-25",8,4,2014,840,21.15,8.35,95.2,NA,4164,2.19,13.1,8.03,1.6,NA,0.02,0.24,1188,NA,3,2.6,1.6,NA,0.06,0.12,13.7,3,2322,20,NA,NA,6381.3,1.080253151,403.17,0.079,6.76e+09,95500,72439,0,22200,293554,0,0,0
"BI","",38.1159,-121.6845,0,"2014-08-25",8,4,2014,852,21.88,8.42,96.4,NA,1290,0.62,9.8,7.85,2,NA,0.01,0.27,312,NA,3.1,2.6,0.2,NA,0.08,0.1,15,2,710,13,NA,NA,4485.6,1.149900157,149.52,0.04593,1.49e+09,165000,110334,0,46700,527331,0.65,0,0
"CV","D4",38.0602,-121.824,0,"2014-08-25",8,4,2014,918,20.62,8.45,95.8,NA,5954,3.21,10.8,7.94,1.2,NA,0.02,0.3,1629,NA,3,2.4,0.2,NA,0.06,0.12,14.1,3,3362,19,NA,NA,6167.7,0.284206494,224.28,0.00776,1.13e+09,102000,2224,0,6440,308638,0,0,0
"FieldCont","",NA,NA,1,"",8,4,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,0,3,332,0,0,0
"FT","D19",38.0468,-121.6192,0,"2014-08-25",8,4,2014,1349,22.03,8.47,96.9,NA,784,0.37,5.5,8.08,1.9,NA,0.01,0.18,173,NA,2.7,2.8,0.2,NA,0.07,0.1,14.1,1,742,5,NA,NA,5553.6,1.207061006,165.54,0.03316,3.44e+08,197000,38797,323,116000,596147,0.74,0,0
"JP","",38.0517,-121.6953,0,"2014-08-25",8,4,2014,933,21.89,8.46,97,NA,1325,0.64,12.2,8.01,1.8,NA,0,0.26,310,NA,2.8,3.1,0.1,NA,0.07,0.11,15.4,2,729,13,NA,NA,4832.7,1.061353102,194.91,0.04681,2.92e+09,303000,222825,9090,52800,690749,0.81,0,0
"MI","",37.9952,-121.5222,0,"2014-08-25",8,4,2014,1306,23.76,8.96,105.5,NA,425,0.19,-0.1,8.18,2.3,NA,0,0.04,75,NA,3.4,3.6,0.2,NA,0.07,0.11,13.8,1,240,3,NA,NA,5046.3,1.95197145,56.07,0.07042,4.05e+09,164000,55888,3815,55900,742025,0.93,0,0
"OR","D28A",37.9706,-121.5725,0,"2014-08-25",8,4,2014,1308,24.11,7.57,90.2,NA,623,0.29,4.8,7.9,2.8,NA,0,0.02,129,NA,3.5,3.6,0.2,NA,0.08,0.11,11.7,1,349,4,NA,NA,5740.5,1.779127933,34.71,0.03609,5.25e+09,96300,34539,83,77300,510763,0.78,0,0
"RR","P8",37.9633,-121.3663,0,"2014-08-25",8,4,2014,1219,25.97,7.29,90,NA,1408,0.68,1.8,7.85,2.8,NA,0.04,1.3,321,NA,5.4,5.6,0.5,NA,0.41,0.52,13.3,2,785,6,NA,NA,7582.8,2.261780825,267,0.12465,3.52e+09,304000,14706,0,104000,1344624,0.64,0,0
"SJ","",38.0347,-121.4834,0,"2014-08-25",8,4,2014,1142,23.85,7.96,94.8,NA,370,0.16,1.2,8.07,2.2,NA,0,0.14,61,NA,3.3,3.6,0.3,NA,0.06,0.01,14.5,2,211,4,NA,NA,3524.4,1.583632613,45.39,0.03959,5.64e+09,177000,43821,75,96900,660859,0.7,0,0
"VC","",37.872,-121.5277,0,"2014-08-25",8,4,2014,1205,24.3,7.43,88.9,NA,487,0.22,8.3,7.82,3.7,NA,0.02,0.06,85,NA,4.1,4.5,0.5,NA,0.07,0.13,13,2,275,8,NA,NA,9745.5,3.818576901,477.93,0.15154,1.69e+10,370000,120246,0,121000,1317605,1.13,0,0
"VCrep","",37.872,-121.5277,1,"2014-08-25",8,4,2014,1206,24.27,7.33,87.8,NA,487,0.22,8.6,7.73,4.1,NA,0.01,0.06,85,NA,4.4,4.4,0.3,0.1,0.08,0.12,12.5,2,277,8,NA,NA,7823.1,5.141446344,176.22,NA,1.27e+10,355000,48653,1353,166000,997190,1.17,0,0
"AT","D12",38.0232,-121.8071,0,"2014-09-11",9,5,2014,924,20.65,8.25,93.4,NA,5404,2.89,21.2,7.83,2.3,NA,0.03,0.32,1492,NA,2.1,2.1,0.4,NA,0.09,0.12,13.5,5,3020,29,NA,NA,2330.18,0.881685193,170.88,0.06457,4.53e+09,13800,23857,0,6650,185442,1.06,0,0
"BI","",38.1159,-121.6845,0,"2014-09-11",9,5,2014,903,21.6,8.23,93.6,NA,945,0.45,14.6,7.73,1.6,NA,0.03,0.34,218,NA,1.9,2.2,0.5,NA,0.08,0.1,17,1,525,15,NA,NA,5024.45,3.075667662,548.56,0.20931,3.96e+09,90400,89988,0,22100,468285,1.14,0,0
"BIrep","",38.1159,-121.6845,1,"2014-09-11",9,5,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.33,210,NA,2.2,2.2,0.2,NA,0.08,0.1,16.9,2,526,14,NA,NA,6165.27,4.105790454,155.35,NA,2.41e+09,108000,92688,0,16800,400336,0,0,0
