Station ID,Station Name,State ,Date,Time,Sample Type,Data qualifiers for Total  microcystins plus nodularins,Total microcystins plus nodularins (ug/L),Data qualifiers for Total cylindrospermopsins,Total cylindrospermopsins (ug/L),Data qualifiers for Total saxitoxins,Total saxitoxins (ug/L),Data qualifiers for Anatoxin-a (method IMM24),Anatoxin-a (method IMM24) (ug/L),Chlorophyll-a (ug/L),Pheophytin-a (ug/L),Data qualifiers for Anatoxin-a gene anaC,Anatoxin-a gene anaC (cp/100 mL),Data qualifiers for Saxitoxin gene sxtA,Saxitoxin gene sxtA (cp/100 mL),Data qualifiers for Cylindrospermopsin gene cyrA,Cylindrospermopsin gene cyrA (cp/100 mL),Data qualifiers for Microcystis mcyE toxin gene,Microcystis mcyE toxin gene (cp/100 mL),Data qualifiers for  Dolichospermum mcyE toxin gene, Dolichospermum mcyE toxin gene (cp/100 mL) ,Data qualifiers for Planktothrix mcyE toxin gene,Planktothrix mcyE toxin gene (cp/100 mL),Data qualifiers for Anatoxin-a (method LCM78),Anatoxin-a (method LCM78) (ug/L),Data qualifiers for Cylindrospermopsin,Cylindrospermopsin (ug/L),Data qualifiers for Domoic acid,Domoic acid (ug/L),Data qualifiers for Microcystin-HiLR,Microcystin-HiLR (ug/L),Data qualifiers for Microcystin-HtYR,Microcystin- HtYR (ug/L),Data qualifiers for Microcystin-LA,Microcystin-LA (ug/L),Data qualifiers for Microcystin-LF,Microcystin-LF (ug/L),Data qualifiers for Microcystin-LR,Microcystin-LR (ug/L),Data qualifiers for Microcystin-LW,Microcystin-LW (ug/L),Data qualifiers for Microcystin-LY,Microcystin-LY (ug/L),Data qualifiers for Microcystin-RR,Microcystin-RR (ug/L),Data qualifiers for Microcystin-WR,Microcystin-WR (ug/L),Data qualifiers for Microcystin-YR,Microcystin-YR (ug/L),Data qualifiers for Nodularin,Nodularin (ug/L)
05331580,"Mississippi River at Hastings, MN",MN,8/8/2017,10:01,Field Replicate,,0.34,<,0.05,<,0.02,<,0.15,33.8,21.3,,"9,500",,"13,000",<,"1,900",,"67,000",<,"2,800",,"1,500,000",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
06892350,"Kansas River at De Soto, KS",KS,6/5/2017,8:50,Regular,<,0.10,<,0.05,<,0.02,<,0.15,3.20,4.10,<,"3,800",<,840,<,"1,900",E,"1,500",<,"2,800",<,"6,100",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
06892350,"Kansas River at De Soto, KS",KS,6/5/2017,8:51,Field Replicate,<,0.10,<,0.05,<,0.02,<,0.15,3.00,4.00,<,"9,600",<,840,E,"4,000",<,780,<,"2,800",<,"15,000",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
06892350,"Kansas River at De Soto, KS",KS,6/19/2017,9:10,Regular,<,0.10,<,0.05,<,0.02,<,0.15,6.00,6.90,<,"1,900",,"3,600",<,"1,900",,"6,400",<,"2,800",<,"3,100",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
06892350,"Kansas River at De Soto, KS",KS,7/10/2017,9:10,Regular,,0.18,<,0.05,<,0.02,<,0.15,64.4,16.2,<,"1,400",E,"3,700",<,"1,300",,"40,000",<,"2,000",<,"2,200",<,0.08,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.08,<,0.30,<,0.10,<,0.05
06892350,"Kansas River at De Soto, KS",KS,8/7/2017,9:30,Regular,<,0.10,<,0.05,<,0.02,<,0.15,35.5,21.3,<,"1,900",E,900,<,"1,900",,"6,900",<,"2,800",<,"3,100",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
06892350,"Kansas River at De Soto, KS",KS,9/26/2017,10:20,Regular,<,0.10,<,0.05,<,0.02,<,0.15,64.1,20.3,<,"1,900",<,840,E,"4,200",E,"1,600",<,"2,800",<,"3,100",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
06934500,"Missouri River at Hermann, MO",MO,6/7/2017,13:00,Regular,<,0.10,<,0.05,<,0.02,<,0.15,17.4,8.30,<,"12,000",<,"1,000",,"6,900",,"11,000",<,"3,400",E,"31,000",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
06934500,"Missouri River at Hermann, MO",MO,6/21/2017,13:10,Regular,<,0.10,<,0.05,<,0.02,<,0.15,12.2,14.1,<,"1,300",E,"1,000",<,"1,200",E,"1,800",<,"1,800",E,"2,400",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
06934500,"Missouri River at Hermann, MO",MO,6/21/2017,NA,Laboratory Replicate,,NM,,NM,,NM,,NM,NM,NM,<,"1,300",E,"1,000",<,"1,200",,"5,000",<,"1,800",E,"2,200",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
