Station Abbrev. DS,Station ID DS,Timestamp (PST) DS,"Latitude (Decimal Degrees, NAD83)","Longitude (Decimal Degrees, NAD83)",NH4 (µM) DS,NO2 + NO3 (µM) DS,NO2 (µM) DS,PO4 (µM) DS,TDN (µM) DS,Chla (µg/L) DS,Pheophytin (µg/L) DS,5 micron Chla (µg/L) DS,5 micron Pheophytin (µg/L) DS,Phycocyanin (µg/L) DS,Allophycocyanin (µg/L) DS,Phycoerythrin (µg/L) DS,DOC (mg/L) DS,A254 (AU/cm) DS,A280 (AU/cm) DS,A370 (AU/cm) DS,A412 (AU/cm) DS,A440 (AU/cm) DS,Sag 275-295 nm DS,Sag 290-350 nm DS,Sag 350-400 nm DS,Sag 412-600 nm DS,Peak A (RU) DS,Peak B (RU) DS,Peak T (RU) DS,Peak N (RU) DS,Peak M (RU) DS,Peak C (RU) DS,Peak D (RU) DS,fDOM (RU) DS,HIX DS,FI DS,Picocyanobacteria aliquot (mL) DS,Picocyanobacteria PC-Rich Tally DS,Picocyanobacteria PC-Rich Density (cells/L) DS,Picocyanobacteria PE-Rich Tally DS,Picocyanobacteria PE-Rich Density (cells/L) DS,Picocyanobacteria Total Tally DS,Picocyanobacteria Total Density (cells/L) DS
LPSTERM,11336800,10/18/2018 12:05,38.06855,-121.50062,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRVI,380301121294500,10/18/2018 12:11,38.04051,-121.49411,,,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14MILE,380232121241801,10/18/2018 12:15,38.04775,-121.46812,,,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14MILE,380232121241801,10/18/2018 12:20,38.03890,-121.43982,,,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14MILE,380232121241801,10/18/2018 12:32,38.03989,-121.40493,,,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRTIDE,375950121250600,10/18/2018 12:39,38.00734,-121.39688,,,,8.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRST,375649121202101,10/18/2018 13:03,37.93786,-121.33522,2.95,118.86,0.60,6.17,143.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIGHT40,11311150,10/18/2018 13:15,37.95490,-121.34815,,,,9.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRBC,375831121223701,10/18/2018 13:25,37.97500,-121.37838,3.86,164.29,0.96,10.60,189.18,2.88,1.86,1.11,0.67,1.31,0.78,0.00,2.88,0.070,0.050,0.010,0.005,0.003,0.018,0.018,0.019,0.013,0.636,0.302,0.175,0.231,0.348,0.362,0.125,0.245,0.811,1.634,5,329,33922768,4,412435,333,34335203
SJRBC FD,375831121223701,10/18/2018 13:26,37.97500,-121.37838,3.57,167.05,0.93,9.85,187.04,2.80,1.80,1.27,0.70,2.76,3.32,0.00,3.00,0.075,0.054,0.011,0.005,0.003,0.018,0.018,0.019,0.014,0.683,0.191,0.191,0.259,0.392,0.406,0.134,0.275,0.838,1.676,5,307,53674812,0,0,307,53674812
SJRBC,375831121223701,10/18/2018 13:30,37.97393,-121.37766,3.56,,0.59,7.06,147.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIGHT40,11311150,10/18/2018 13:40,37.98993,-121.40225,,,,10.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRN,11311300,10/18/2018 13:50,37.99752,-121.44502,4.33,,1.00,10.25,169.91,2.41,1.07,,,3.03,1.56,0.00,2.99,0.078,0.056,0.011,0.005,0.003,0.018,0.018,0.018,0.014,0.725,0.139,0.203,0.271,0.400,0.408,0.136,0.272,0.848,1.685,,,,,,,
SJRVI,380301121294500,10/18/2018 14:01,38.01494,-121.45974,,,,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRVI,380301121294500,10/18/2018 14:10,38.04265,-121.49749,2.05,33.05,0.67,3.01,44.98,1.59,1.07,,,0.00,0.98,0.00,2.61,0.071,0.051,0.011,0.005,0.003,0.018,0.017,0.018,0.013,0.663,0.108,0.157,0.233,0.348,0.352,0.124,0.241,0.858,1.594,,,,,,,
MTP,380338121322001,10/18/2018 14:24,38.05473,-121.52221,,,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPT,11313460,10/18/2018 14:30,38.06067,-121.55698,3.08,20.43,1.01,2.07,32.84,1.49,1.04,0.36,0.29,0.00,0.00,0.00,2.01,0.054,0.039,0.008,0.004,0.003,0.018,0.017,0.018,0.012,0.463,0.124,0.111,0.157,0.234,0.237,0.087,0.163,0.844,1.523,5,114,9168427,28,2251894,142,11420322
SJRT10,380536121342901,10/18/2018 14:44,38.08221,-121.57095,,,,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRT9,380604121372401,10/18/2018 14:49,38.10098,-121.59667,,,,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRT8,380542121393501,10/18/2018 14:53,38.09923,-121.62586,,,,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMS,11337080,10/18/2018 14:58,38.09411,-121.65702,,,,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRT8,380542121393501,10/19/2018 7:28,38.09277,-121.67693,,,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRT9,380604121372401,10/19/2018 7:44,38.08757,-121.64062,,,,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRT10,380536121342901,10/19/2018 7:50,38.10218,-121.61435,,,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEBB,380433121341501,10/19/2018 7:55,38.09340,-121.57631,,,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPT,11313460,10/19/2018 7:59,38.07180,-121.56000,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,380125121303601,10/19/2018 8:03,38.05681,-121.53853,,,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRH,11312685,10/19/2018 8:08,38.02935,-121.52296,,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRH,11312685,10/19/2018 8:15,37.99579,-121.57170,1.86,20.99,0.58,2.21,32.84,1.46,0.99,0.25,0.26,3.81,0.57,0.00,2.03,0.059,0.043,0.009,0.005,0.003,0.018,0.017,0.018,0.012,0.455,0.116,0.111,0.153,0.223,0.234,0.085,0.157,0.844,1.524,5,314,97128412,3,927978,317,98056391
MRH FD,11312685,10/19/2018 8:16,37.99579,-121.57170,2.14,22.77,0.57,2.20,32.13,0.40,0.20,0.36,0.24,1.31,0.78,0.00,2.10,0.059,0.043,0.009,0.005,0.003,0.018,0.016,0.019,0.011,0.453,0.131,0.116,0.160,0.246,0.234,0.087,0.156,0.840,1.609,5,337,39857585,9,1064446,346,40922031
EMP,375817121300001,10/19/2018 8:43,37.97354,-121.51019,,,,7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MID,375721121314301,10/19/2018 8:50,37.96031,-121.53160,,,,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMBO,11312677,10/19/2018 8:55,37.93983,-121.53353,,,,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMBO,11312677,10/19/2018 9:02,37.91502,-121.51291,,,,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRB,11312674,10/19/2018 9:10,37.89140,-121.48896,1.24,38.77,0.50,3.44,51.40,1.68,1.05,0.16,0.26,0.00,0.00,0.00,2.39,0.068,0.049,0.010,0.005,0.003,0.018,0.017,0.019,0.012,0.559,0.060,0.122,0.189,0.281,0.290,0.108,0.195,0.866,1.616,5,310,83105627,2,536165,312,83641792
VIC,11312672,10/19/2018 9:32,37.87298,-121.52574,,,,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,11312672,10/19/2018 9:36,37.85949,-121.55164,,,,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORCC,11313250,10/19/2018 9:47,37.82833,-121.55445,1.18,22.14,0.34,2.52,32.13,1.90,1.04,,,1.31,0.78,0.00,2.18,0.062,0.045,0.010,0.005,0.003,0.018,0.017,0.018,0.012,0.474,0.091,0.112,0.172,0.247,0.243,0.091,0.166,0.852,1.592,5,285,49828409,28,4895423,313,54723831
ORCC,11313250,10/19/2018 10:13,37.85924,-121.56731,,,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORB,11313315,10/19/2018 10:19,37.88595,-121.57524,,,,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORB,11313315,10/19/2018 10:23,37.89953,-121.56683,,,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORI,11313325,10/19/2018 10:44,37.91399,-121.50413,1.72,11.44,0.26,2.04,23.56,3.77,1.60,1.73,0.91,1.52,0.78,0.00,2.18,0.059,0.043,0.009,0.005,0.003,0.019,0.017,0.018,0.011,0.439,0.110,0.117,0.154,0.221,0.223,0.082,0.152,0.838,1.590,5,312,83641792,1,268083,313,83909875
HNB,375627121333701,10/19/2018 11:02,37.93570,-121.56139,,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,11313405,10/19/2018 11:11,37.96756,-121.57324,1.51,10.97,0.34,1.90,20.70,1.72,1.10,,,0.00,0.00,0.00,2.06,0.055,0.040,0.009,0.004,0.003,0.019,0.017,0.018,0.011,0.391,0.083,0.101,0.140,0.196,0.197,0.074,0.133,0.837,1.568,5,279,22438519,5,402124,284,22840643
CONN,380000121340801,10/19/2018 11:28,37.99730,-121.57982,,,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOL,11313431,10/19/2018 11:32,38.02092,-121.58256,,,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORF,380300121344801,10/19/2018 11:38,38.04335,-121.57552,2.05,15.05,0.69,2.02,25.70,1.57,1.57,0.53,0.82,0.00,0.00,0.00,1.88,0.052,0.038,0.008,0.004,0.003,0.019,0.017,0.018,0.010,0.369,0.087,0.091,0.133,0.183,0.186,0.068,0.126,0.846,1.587,5,87,6996958,6,482549,93,7479506
OLDTERM,11313452,10/19/2018 11:53,38.06697,-121.58012,,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRT10,380536121342901,10/19/2018 11:58,38.09148,-121.57531,,,,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAM,380749121344701,10/19/2018 12:15,38.13012,-121.57953,35.85,18.18,2.00,3.01,62.82,0.81,0.53,,,0.00,0.00,10.40,1.50,0.037,0.027,0.006,0.003,0.002,0.019,0.017,0.019,0.009,0.244,0.047,0.076,0.100,0.135,0.135,0.048,0.091,0.817,1.729,5,11,884673,30,2412744,41,3297417
GAM,380749121344701,10/19/2018 12:46,38.14692,-121.60028,,,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAM,380749121344701,10/19/2018 13:03,38.15730,-121.58931,,,,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAM,380749121344701,10/19/2018 13:25,38.20010,-121.54455,,,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSL,11447903,10/19/2018 13:35,38.22324,-121.54164,,,,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSL,11447903,10/19/2018 13:41,38.23446,-121.51889,,,,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGA,11447890,10/19/2018 14:02,38.25778,-121.51722,2.85,5.80,0.09,1.15,14.28,0.82,0.44,0.58,0.17,0.00,0.00,0.00,1.30,0.035,0.025,0.006,0.003,0.002,0.019,0.016,0.018,0.007,0.210,0.123,0.065,0.080,0.105,0.109,0.039,0.074,0.787,1.577,5,25,2010620,86,6916533,111,8927153
GSL,11447903,10/19/2018 14:16,38.25853,-121.51879,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGA,11447890,10/19/2018 14:30,38.28194,-121.54945,,7.40,0.19,1.25,17.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILE30,381703121331101,10/19/2018 14:35,38.30420,-121.57259,72.21,10.89,1.19,4.31,97.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILE30 FD,381703121331101,10/19/2018 14:36,38.30568,-121.57359,68.53,10.78,1.14,4.17,93.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OXF,381823121342901,10/19/2018 14:37,38.31052,-121.57651,54.07,10.59,0.88,3.46,74.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUT,11447830,10/19/2018 14:41,38.32823,-121.57448,62.54,10.46,0.66,3.94,82.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENS,11447810,10/19/2018 14:50,38.34672,-121.54253,,,,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOOD,382205121311300,10/19/2018 14:56,38.36784,-121.52132,33.72,8.28,0.47,2.63,51.40,0.48,0.37,,,0.00,0.00,0.00,1.37,0.035,0.025,0.005,0.003,0.002,0.020,0.017,0.019,0.008,0.229,0.068,0.070,0.086,0.118,0.128,0.048,0.086,0.807,1.625,5,10,804248,72,5790586,82,6594834
HOOD,382205121311300,10/19/2018 15:10,38.39420,-121.51365,26.81,8.80,0.40,2.26,42.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOOD,382205121311300,10/19/2018 15:15,38.42149,-121.52665,,,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILE 44,382605121310401,10/19/2018 15:20,38.43471,-121.51972,,,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USFPT,382740121301201,10/19/2018 15:33,38.45622,-121.50223,1.05,4.93,0.04,0.98,12.14,0.79,0.49,0.50,0.23,0.00,0.00,0.00,1.28,0.034,0.025,0.005,0.003,0.002,0.020,0.016,0.018,0.007,0.211,0.136,0.064,0.073,0.113,0.107,0.041,0.070,0.764,1.547,5,6,482549,190,15280712,196,15763261
USFPT,382740121301201,10/19/2018 15:49,38.46072,-121.50324,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USFPT FD,382740121301201,10/19/2018 15:50,38.46423,-121.50388,,,,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USFPT,382740121301201,10/19/2018 15:54,38.47404,-121.52612,0.72,6.19,0.04,0.89,9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWH,383155121314101,10/19/2018 16:04,38.49890,-121.55915,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWH,383155121314101,10/19/2018 16:11,38.52116,-121.52488,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSPIER,11447540,10/19/2018 16:25,38.55577,-121.51495,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
