Dataset_Label,Dataset_Description,Definition_Source,Column_Label,Column_Definition,range_min,range_max,attribute_unit,attribute_resolution,enumerated_value,enumerated_definition
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,BGA_FPM,Bluegreen algae; field measurement using Fluoroprobe BBE Instrument; measures algal pigments,0.02,10.09,(ug/L) micrograms of chlorophyll-a per liter,0.01,<<BLANK CELL>>,"null, no value"
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,Diatoms_FPM,Diatoms; field measurement using Fluoroprobe BBE Instrument; measures algal pigments,0.00,14.29,(ug/L) micrograms of chlorophyll-a per liter,0.01,<<BLANK CELL>>,"null, no value"
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,Crypto_FPM,Cryptophyceae; field measurement using Fluoroprobe BBE Instrument; measures algal pigments,0.00,4.63,(ug/L) micrograms of chlorophyll-a per liter,0.01,<<BLANK CELL>>,"null, no value"
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,Yellow_subs_FPM,Yellow substances correction; field measurement using Fluoroprobe BBE Instrument; measures algal pigments,0.00,3.70,(ug/L) micrograms per liter,0.01,<<BLANK CELL>>,"null, no value"
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,TotAlgae_FPM,Total chlorophyll-a; field measurement using Fluoroprobe BBE Instrument; measures algal pigments,0.37,30.81,(ug/L) micrograms of chlorophyll-a per liter,0.01,<<BLANK CELL>>,"null, no value"
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,Tr_FPM,"Transmittance, the ratio of the output signal in a water sample to the signal in clear water blank; field measurement using Fluoroprobe BBE Instrument; measures algal pigments",0.4,100.0,(%) percent,0.1,<<BLANK CELL>>,"null, no value"
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,WTemp_00010_FPM,"Temperature, water; NWIS parameter code (pCode) = 00010; field measurement using Fluoroprobe BBE Instrument (FPM)",7.5,27.0,(DEG C) degrees Celsius,0.1,<<BLANK CELL>>,"null, no value"
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,DateTime,Sample Collection timestamp,2019/10/09 09:14:51,2021/04/07 14:10:40,(YYYY/MM/DD hh:mm:ss) Year/month/day hour:minute:second,,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,SampleEvent,The field sampling event year and month,2019/10,2021/04,YYYY/MM,,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,LAT_MAP,"Latitude in decimal degrees, Garmin GPS16X-HVS, NAD 1983, measurement while mapping underway",37.85306,38.55743,decimal degrees,0.00001,<<BLANK CELL>>,"null, no value"
