CL ID,"Latitude (Decimal Degrees, NAD83)","Longitude (Decimal Degrees, NAD83)",Location,Subregions,"Time Period (Month, Year)",NH4 (?M) (Tline) SA,NO3 (?M) (SUNA) SA,DIN (µM) SA,estDON (?M) SA,TDN (µM) SA,estDOC (mg/L) SA,fDOM (QSU) (WS) SA,fCHL (?g/L) (WS) SA, Temp (?C) (TSG) SA, Cond (?S/cm) (TSG) SA, Salinity (PSU) (TSG) SA, Temp (?C) (EXO) SA,Sp Cond (?S/cm) (EXO) SA,pH (EXO) SA,DO (mg/L) (EXO) SA,DO (%) (EXO) SA,Turb (FNU) (EXO) SA,fDOM (QSU) (EXO) SA,fCHL (?g/L) (EXO) SA,Bluegreen (?g/L) (EXO) SA,Green Algae (?g/L) (FP) SA,Bluegreen (?g/L) (FP) SA,Diatoms (?g/L) (FP) SA,Cryptophyta (?g/L) (FP) SA,Total Conc (?g/L) (FP) SA,? (days) (Picarro) SA
A2255,38.321896,-121.685215,Prospect Slough,Cache Slough Complex,May 2018,0.922048,3.857436,4.782647,21.44867,26.21488,4.283898,55.56997,3.850364,20.79298,284.8186,0.149647,20.76566,310.4695,7.693752,7.81768,87.35265,11.76832,44.86263,0.768497,0.076822,0.299889,1.211482,0.987641,0,2.502696,44.00644
A2257,38.321769,-121.688931,Prospect Slough,Cache Slough Complex,May 2018,0.860878,3.891461,4.756583,21.94462,26.6929,4.381607,56.96584,4.053469,20.728,291.4781,0.153329,20.6989,318.9649,7.67804,7.686434,85.7744,12.4766,45.60846,0.847954,0.089975,0.453482,1.20961,1.026829,0,2.693397,45.44641
A2353,38.321738,-121.692938,Shag Slough,Cache Slough Complex,May 2018,0.754608,3.986654,4.740834,22.42705,27.17358,4.476788,58.32551,4.493286,20.66468,302.1762,0.159171,20.64057,333.0933,7.69058,7.331704,81.7163,12.1127,36.79696,1.044819,0.094762,0.832557,1.347363,1.147068,0,3.335642,47.43008
A2186,38.322591,-121.654255,Toe Drain Canal,Cache Slough Complex,May 2018,1.714686,6.571044,8.286572,15.618,23.92741,3.154736,39.43909,3.226261,21.73627,219.6799,0.113529,21.69531,234.704,8.21001,7.826447,89.01613,38.96191,32.51723,0.705985,0.103843,0.001013,1.500154,0.741773,0,2.280828,31.55851
A2267,38.323482,-121.667222,Liberty Cut,Cache Slough Complex,May 2018,1.120198,3.988414,5.11049,18.3468,23.24539,3.640911,46.38445,3.214375,21.01992,248.6451,0.13014,20.93471,272.7512,7.916497,8.292007,92.93216,18.98867,23.41353,0.571982,0.0959,0.200644,1.467654,0.658256,0,2.332639,37.01385
A2253,38.324537,-121.68488,Prospect Slough,Cache Slough Complex,May 2018,0.958436,3.896942,4.856007,21.0132,25.86622,4.201141,54.38772,3.711504,20.85116,279.4537,0.146673,20.80847,306.1275,7.702981,7.599026,84.97823,12.90283,46.53906,0.735327,0.076366,0.320835,1.289534,0.847736,0,2.46833,43.0987
A2351,38.324809,-121.693483,Shag Slough,Cache Slough Complex,May 2018,0.819441,3.994065,4.806297,21.87931,26.70329,4.371749,56.82492,4.160908,20.72803,292.3464,0.153799,20.66882,325.9825,7.678977,7.201837,80.3223,12.69914,39.34894,0.919782,0.084243,0.676109,1.33399,0.956036,0,2.982998,46.50108
A2184,38.325448,-121.653554,Toe Drain Canal,Cache Slough Complex,May 2018,1.776963,6.818117,8.601808,15.58918,24.12971,3.13232,39.11887,3.127435,21.87716,219.7383,0.113225,21.83307,234.2534,8.227746,7.814814,89.12921,36.70225,32.85952,0.663105,0.097182,0,1.472706,0.680744,0,2.190091,31.46846
A2265,38.326372,-121.667242,Liberty Cut,Cache Slough Complex,May 2018,1.03675,3.770265,4.792386,18.96291,23.55934,3.752745,47.98207,3.348046,20.79554,254.0513,0.133566,20.71874,278.3259,7.901987,8.572022,95.6654,20.98512,26.67591,0.630488,0.087462,0.210465,1.418501,0.685177,0,2.319351,38.47108
A2251,38.327436,-121.684858,Prospect Slough,Cache Slough Complex,May 2018,0.963315,3.931033,4.89417,20.55275,25.44745,4.111703,53.11004,3.62134,20.92244,275.3282,0.144303,20.86467,302.6288,7.723081,7.523421,84.22074,13.34627,45.98532,0.717096,0.077974,0.409002,1.344511,0.759894,0,2.528917,42.77208
A2182,38.328291,-121.652863,Toe Drain Canal,Cache Slough Complex,May 2018,1.82122,6.893762,8.725616,15.68309,24.39469,3.159993,39.51419,3.040251,22.00514,222.3329,0.114252,21.97423,236.4787,8.236181,7.841784,89.7026,35.05012,32.88981,0.624036,0.090261,0,1.430364,0.633097,0,2.102309,31.80305
A2249,38.329038,-121.682719,Prospect Slough,Cache Slough Complex,May 2018,0.941808,3.980974,4.92181,19.9886,24.91329,4.001887,51.54124,3.523232,20.98647,270.6667,0.141671,20.95135,295.3228,7.776958,7.48589,83.9386,14.07051,44.89409,0.711691,0.077582,0.534884,1.404099,0.695267,0,2.64704,42.23172
A2247,38.32905,-121.679072,Prospect Slough,Cache Slough Complex,May 2018,0.899208,3.926318,4.826157,20.01191,24.84251,4.008123,51.63032,3.52344,20.92757,270.0526,0.141492,20.92585,291.9869,7.81788,7.461918,83.63321,14.53988,43.98432,0.702936,0.078583,0.537062,1.424589,0.729286,0,2.694065,41.92301
A2263,38.329293,-121.667258,Liberty Cut,Cache Slough Complex,May 2018,1.018319,3.700432,4.695992,19.23791,23.74068,3.803013,48.70019,3.411587,20.69585,256.0406,0.134879,20.63672,280.1198,7.898739,8.718624,97.1563,21.90815,28.73987,0.668204,0.087016,0.213635,1.378803,0.699628,0,2.29804,39.08655
A2245,38.329448,-121.6758,Prospect Slough,Cache Slough Complex,May 2018,0.874115,3.716451,4.5829,19.89916,24.55691,3.998471,51.49243,3.48364,20.79763,267.98,0.140743,20.77276,291.4563,7.821666,7.696249,85.98566,15.25579,40.21669,0.667089,0.077667,0.460121,1.424289,0.71666,0,2.597873,41.55676
A2180,38.331143,-121.652191,Toe Drain Canal,Cache Slough Complex,May 2018,1.846357,6.900795,8.756208,15.78575,24.55533,3.185394,39.87706,3.019655,22.06833,224.2186,0.115063,22.04533,238.0697,8.244582,7.869972,90.15253,34.40998,33.07222,0.612732,0.083247,0.000856,1.406692,0.632543,0,2.070732,31.97267
A2261,38.332197,-121.667274,Liberty Cut,Cache Slough Complex,May 2018,1.020335,3.682534,4.724859,19.22341,24.03652,3.863369,49.56242,3.53028,20.62064,258.1413,0.136202,20.59218,282.9034,7.898324,8.30285,92.4653,23.47633,36.09517,0.740967,0.090499,0.314958,1.325856,0.730929,0,2.375671,39.8153
A2243,38.33233,-121.675706,Prospect Slough,Cache Slough Complex,May 2018,0.862795,3.761014,4.61677,19.99369,24.63132,4.011405,51.67722,3.521732,20.72025,268.2893,0.141148,20.72103,290.9412,7.829053,7.462122,83.29658,18.06652,43.57185,0.715369,0.081572,0.460644,1.419686,0.709683,0,2.594929,41.75095
A2178,38.333988,-121.6515,Toe Drain Canal,Cache Slough Complex,May 2018,1.902836,7.048477,8.951569,15.96465,24.8572,3.205947,40.17068,2.981662,22.217,226.4823,0.115846,22.19607,239.4002,8.269905,7.949561,91.34186,33.14268,33.35617,0.590389,0.077842,0,1.376404,0.615201,0,2.016097,32.16131
A2259,38.335066,-121.667346,Liberty Cut,Cache Slough Complex,May 2018,1.039716,3.702099,4.85762,19.01863,24.15819,3.889345,49.9335,3.580966,20.62518,258.8363,0.13657,20.59894,285.2002,7.891044,7.997955,89.08309,23.88647,38.34873,0.765605,0.092154,0.383021,1.328579,0.747256,0,2.450489,39.935
A2241,38.335204,-121.675645,Prospect Slough,Cache Slough Complex,May 2018,0.856165,3.720855,4.582266,20.08864,24.63806,4.026958,51.89939,3.54504,20.66927,269.0278,0.141696,20.67805,291.3773,7.827515,7.348065,81.96096,19.3701,44.32868,0.738032,0.083869,0.447252,1.404585,0.715475,0,2.578115,41.67105
A2239,38.336198,-121.67292,Prospect Slough,Cache Slough Complex,May 2018,0.86031,3.568864,4.493947,20.26723,24.5479,4.057257,52.33224,3.607914,20.5707,269.7337,0.142363,20.57062,293.2144,7.826962,7.288764,81.1208,21.00824,44.68436,0.779956,0.08768,0.450991,1.364229,0.745329,0,2.575068,41.34356
A2237,38.336123,-121.669162,Prospect Slough,Cache Slough Complex,May 2018,0.96026,3.541146,4.688671,20.05481,24.33122,3.994735,51.43908,3.643369,20.56348,264.5647,0.139703,20.54232,291.4889,7.852856,7.471868,83.12485,22.76542,42.95928,0.799716,0.09308,0.476168,1.339728,0.762372,0,2.566922,40.66593
A2176,38.336852,-121.650756,Toe Drain Canal,Cache Slough Complex,May 2018,1.930649,7.128099,9.057129,16.21704,25.26785,3.265789,41.02556,2.951373,22.35575,231.2901,0.117951,22.32358,243.3201,8.288406,8.127202,93.6194,30.96676,33.7485,0.565263,0.063854,0.000463,1.321266,0.601982,0,1.954973,32.66608
A2174,38.339709,-121.649785,Toe Drain Canal,Cache Slough Complex,May 2018,1.979631,7.228101,9.206579,16.43829,25.60877,3.301102,41.53003,2.952134,22.49023,234.622,0.119291,22.45297,245.3093,8.30859,8.413198,97.16022,30.4683,33.72665,0.568682,0.06087,0,1.280087,0.597639,0,1.921804,33.01591
A2172,38.342478,-121.64862,Toe Drain Canal,Cache Slough Complex,May 2018,2.127845,7.255545,9.402235,16.78821,26.21983,3.37671,42.61015,3.003149,22.62837,240.6935,0.122002,22.59357,250.1668,8.331908,9.113915,105.5323,30.10592,33.09815,0.597281,0.063329,0.006502,1.209891,0.564733,0,1.868964,33.87543
A2170,38.345183,-121.647351,Toe Drain Canal,Cache Slough Complex,May 2018,2.237109,7.364854,9.612549,16.98038,26.5852,3.407859,43.05513,3.035718,22.74633,243.7829,0.123248,22.71766,252.5199,8.360393,9.681219,112.3279,30.53374,32.46544,0.62763,0.069881,0,1.172912,0.483274,0,1.808281,34.38147
A2168,38.347822,-121.645979,Toe Drain Canal,Cache Slough Complex,May 2018,2.30491,7.391937,9.711028,17.09418,26.79926,3.431766,43.39665,3.057303,22.79557,245.7641,0.12412,22.77166,254.4107,8.374067,10.02899,116.4576,30.5754,31.98849,0.643994,0.075093,0,1.147828,0.444058,0,1.776695,34.77383
