CL ID,"Latitude (Decimal Degrees, NAD83)","Longitude (Decimal Degrees, NAD83)",Location,Subregions,"Time Period (Month, Year)",NH4 (?M) (Tline) SA,NO3 (?M) (SUNA) SA,DIN (µM) SA,estDON (?M) SA,TDN (µM) SA,estDOC (mg/L) SA,fDOM (QSU) (WS) SA,fCHL (?g/L) (WS) SA, Temp (?C) (TSG) SA, Cond (?S/cm) (TSG) SA, Salinity (PSU) (TSG) SA, Temp (?C) (EXO) SA,Sp Cond (?S/cm) (EXO) SA,pH (EXO) SA,DO (mg/L) (EXO) SA,DO (%) (EXO) SA,Turb (FNU) (EXO) SA,fDOM (QSU) (EXO) SA,fCHL (?g/L) (EXO) SA,Bluegreen (?g/L) (EXO) SA,Green Algae (?g/L) (FP) SA,Bluegreen (?g/L) (FP) SA,Diatoms (?g/L) (FP) SA,Cryptophyta (?g/L) (FP) SA,Total Conc (?g/L) (FP) SA,? (days) (Picarro) SA
A664,38.171934,-121.671539,Sacramento River,Western Delta Tidal Zone,October 2018,17.18384,21.18543,38.36425,8.675742,47.03815,1.798915,20.07022,2.115743,17.81917,131.7884,0.074637,17.75521,152.69,7.76954,8.54621,89.8458,2.577552,19.02879,0.069098,0.116108,0.391626,0.527145,0.392428,0.032732,1.377219,3.88304
A662,38.173881,-121.668833,Sacramento River,Western Delta Tidal Zone,October 2018,17.0428,21.03007,38.07194,8.721897,46.7907,1.807902,20.1986,2.107573,17.80858,131.7874,0.074668,17.73771,152.9759,7.770344,8.54653,89.80038,2.577096,19.10745,0.083071,0.116987,0.379983,0.52939,0.372724,0.041231,1.364467,3.89993
A659,38.178146,-121.667403,Sacramento River,Western Delta Tidal Zone,October 2018,16.67488,20.80891,37.48499,8.786087,46.2711,1.820401,20.37715,2.060254,17.75425,131.8981,0.074826,17.68477,153.2426,7.776946,8.585724,90.11858,2.667986,19.25097,0.06644,0.117919,0.371361,0.556265,0.328823,0.018012,1.321616,3.928647
A2522,38.18426,-121.662277,Cache Slough,Western Delta Tidal Zone,October 2018,16.27663,20.63202,36.90829,8.846063,45.75548,1.832079,20.54399,1.987146,17.70545,132.2294,0.075089,17.64485,153.32,7.796861,8.714224,91.40609,3.070837,19.38069,0.029872,0.118878,0.322731,0.599612,0.270186,0.000376,1.218784,4.115078
A2520,38.186798,-121.660554,Cache Slough,Western Delta Tidal Zone,October 2018,16.05563,20.59388,36.64828,8.860482,45.50566,1.834887,20.5841,1.972368,17.7019,132.4395,0.07519,17.64429,153.3637,7.810306,8.819183,92.50318,3.383343,19.40487,0.022164,0.123286,0.31267,0.615464,0.257661,0.000098,1.212987,4.177149
A2518,38.189525,-121.659164,Cache Slough,Western Delta Tidal Zone,October 2018,15.74068,20.60343,36.34092,8.878736,45.21011,1.838441,20.63487,1.970291,17.70952,132.6781,0.0753,17.65396,153.4127,7.822211,8.954085,93.93539,3.721338,19.41693,0.016378,0.131509,0.304944,0.612448,0.25671,0,1.206313,4.21705
A2516,38.192144,-121.657581,Cache Slough,Western Delta Tidal Zone,October 2018,15.15097,20.58751,35.70631,8.89484,44.59356,1.841577,20.67967,1.977201,17.80243,133.2518,0.075506,17.74188,153.8729,7.846028,9.051311,95.04926,3.663117,19.43121,0.031473,0.134063,0.316378,0.58065,0.297198,0,1.217776,4.125425
A2514,38.194945,-121.6568,Cache Slough,Western Delta Tidal Zone,October 2018,14.9787,20.49685,35.4445,8.891786,44.34546,1.840982,20.67117,1.981715,17.86267,133.5235,0.075587,17.79846,154.1458,7.85489,9.000926,94.61649,3.355709,19.4284,0.04272,0.130013,0.33592,0.555619,0.328805,0,1.231593,4.061253
A2512,38.197816,-121.657129,Cache Slough,Western Delta Tidal Zone,October 2018,14.86558,20.35478,35.19748,8.864821,44.10426,1.835732,20.59616,1.996541,17.91318,133.7422,0.075641,17.84553,154.4539,7.860702,8.910754,93.75313,3.010974,19.41255,0.055484,0.124351,0.358187,0.532568,0.36967,0,1.263864,4.010913
A2510,38.200742,-121.657218,Cache Slough,Western Delta Tidal Zone,October 2018,14.82467,20.03306,34.87998,8.820007,43.7729,1.827006,20.47151,2.034486,17.93502,133.8132,0.075638,17.86367,154.6014,7.856414,8.753356,92.20012,2.697029,19.37545,0.060521,0.120046,0.390583,0.493062,0.414988,0,1.300861,4.063734
A2508,38.203528,-121.657584,Cache Slough,Western Delta Tidal Zone,October 2018,14.84524,19.90807,34.7675,8.826872,43.64737,1.828342,20.4906,2.045977,17.92353,133.7822,0.07563,17.84839,154.7703,7.852851,8.720906,91.83689,2.707017,19.37954,0.058288,0.120966,0.400097,0.483753,0.412583,0,1.303548,4.080295
A2506,38.206251,-121.658567,Cache Slough,Western Delta Tidal Zone,October 2018,14.9226,19.64263,34.53683,8.872171,43.39116,1.837163,20.61661,2.029958,17.88875,133.8746,0.075723,17.80596,154.9173,7.853611,8.705947,91.6153,2.789589,19.46722,0.057141,0.120317,0.388012,0.493367,0.370211,0,1.266046,4.043673
A2504,38.208268,-121.660959,Cache Slough,Western Delta Tidal Zone,October 2018,14.92463,19.44835,34.34208,8.885702,43.20792,1.839797,20.65425,2.009966,17.8729,134.0619,0.075848,17.78848,154.9409,7.859859,8.718403,91.71936,2.835871,19.53676,0.062991,0.115753,0.376186,0.506628,0.351338,0.000034,1.251118,4.080472
A2502,38.210161,-121.663743,Cache Slough,Western Delta Tidal Zone,October 2018,14.85281,19.24814,34.08783,8.904328,42.98622,1.843424,20.70606,1.989408,17.86358,134.2979,0.075983,17.78072,154.8996,7.869752,8.742972,91.96776,2.862304,19.58765,0.065137,0.112874,0.378352,0.515891,0.32917,0.000035,1.240667,4.209183
A2500,38.212207,-121.66637,Cache Slough,Western Delta Tidal Zone,October 2018,14.63851,19.01497,33.65362,8.91561,42.56796,1.845621,20.73744,1.989342,17.86938,134.6728,0.076171,17.79178,155.3968,7.889368,8.791437,92.50574,2.815242,19.59856,0.066898,0.109418,0.401965,0.514231,0.318074,0.000111,1.25095,4.34552
A2498,38.214506,-121.668684,Cache Slough,Western Delta Tidal Zone,October 2018,14.46319,18.88483,33.34753,8.908785,42.25293,1.844292,20.71846,2.021813,17.88683,134.9919,0.076322,17.81373,155.9044,7.904133,8.827026,92.927,2.727403,19.57235,0.073489,0.115489,0.416637,0.509654,0.333671,0.00009,1.278276,4.498358
A2496,38.216962,-121.670663,Cache Slough,Western Delta Tidal Zone,October 2018,14.29229,18.76203,33.05243,8.912763,41.96093,1.845066,20.72952,2.089324,17.92051,135.4924,0.076549,17.85341,156.5818,7.920203,8.869409,93.4516,2.640926,19.55399,0.109669,0.12386,0.414799,0.510072,0.381572,0.00008,1.328499,4.718218
A2494,38.219574,-121.672372,Cache Slough,Western Delta Tidal Zone,October 2018,14.07518,18.68604,32.75852,8.922099,41.6777,1.846884,20.75549,2.190869,17.96199,136.0902,0.076809,17.89602,157.2173,7.935734,8.918492,94.04856,2.573598,19.55263,0.167522,0.129205,0.415565,0.5111,0.461219,0.000071,1.416089,4.906295
A2492,38.222361,-121.673463,Cache Slough,Western Delta Tidal Zone,October 2018,13.73864,18.64626,32.3913,8.915552,41.30399,1.84561,20.73728,2.229915,17.93941,136.2502,0.076898,17.87521,156.7233,7.938091,8.952143,94.36192,2.559858,19.52265,0.214308,0.131117,0.400111,0.51438,0.527909,0,1.46727,4.865362
A2490,38.22521,-121.674359,Cache Slough,Western Delta Tidal Zone,October 2018,13.44666,18.66473,32.11041,8.941087,41.05075,1.850582,20.80831,2.213349,17.93012,136.3009,0.076935,17.86433,156.7515,7.957971,9.01401,94.98407,2.578969,19.61318,0.191962,0.12734,0.401427,0.521699,0.528571,0.00002,1.47166,4.827512
A2488,38.228135,-121.674614,Cache Slough,Western Delta Tidal Zone,October 2018,13.41465,18.64632,32.05961,9.040285,41.10226,1.869897,21.08424,1.97352,17.80714,135.9113,0.076901,17.74979,156.3639,7.951209,9.034245,94.97652,2.774754,19.70709,0.176484,0.124502,0.346349,0.527685,0.358414,0.000018,1.238475,4.738858
A2072,38.230677,-121.673394,Sacramento Deep Water Shipping Channel,Cache Slough Complex,October 2018,13.9306,18.53762,32.48764,9.083988,41.57352,1.878407,21.20581,1.793038,17.62228,135.425,0.076907,17.57878,155.0835,7.870958,8.906403,93.30706,3.064016,19.47405,0.329464,0.13145,0.26148,0.515657,0.254114,0,1.051095,4.27814
A2485,38.232118,-121.675732,Cache Slough,Cache Slough Complex,October 2018,14.26048,18.67033,32.88373,9.076928,41.99282,1.877032,21.18617,1.730082,17.62096,134.2998,0.076325,17.58331,155.8931,7.899518,8.949072,93.76499,3.109221,19.56971,0.290205,0.137461,0.235289,0.513699,0.226415,0.000008,0.980298,4.487842
A2070,38.234032,-121.674063,Sacramento Deep Water Shipping Channel,Cache Slough Complex,October 2018,14.87122,18.70052,33.51267,9.068419,42.62038,1.875375,21.16248,1.63639,17.51739,133.0921,0.075811,17.4946,155.1499,7.861876,8.868424,92.73816,3.387672,19.4259,0.350916,0.147538,0.165853,0.505706,0.185922,0.000009,0.864059,4.299318
A2816,38.23442,-121.666742,Miner Slough,North Delta Tidal Transition Zone,October 2018,13.99722,17.4406,31.42832,8.256419,39.68605,1.717267,18.90381,1.444129,17.29646,126.3129,0.0724,17.28253,145.2666,7.612407,8.424871,87.71529,4.38376,17.01142,0.56841,0.149714,0.144491,0.439865,0.253612,0.00005,0.886639,3.182581
A2818,38.233398,-121.670213,Miner Slough,North Delta Tidal Transition Zone,October 2018,14.34012,18.25456,32.60083,8.916746,41.52796,1.845842,20.7406,1.604471,17.41653,132.8162,0.07578,17.38852,151.3808,7.751508,8.683875,90.61501,3.411777,18.71961,0.501533,0.143343,0.165751,0.488684,0.209153,0.000004,0.898035,3.718481
A2482,38.234828,-121.679782,Cache Slough,Cache Slough Complex,October 2018,13.32592,18.93669,31.97285,9.047071,41.06213,1.871218,21.1031,1.70878,17.68317,134.0644,0.076106,17.64137,155.4516,7.915123,8.995531,94.35976,3.237813,19.58366,0.116197,0.141984,0.234789,0.544255,0.22035,0.000097,0.992208,5.115504
A2068,38.236723,-121.672989,Sacramento Deep Water Shipping Channel,Cache Slough Complex,October 2018,15.6809,18.40714,34.06809,8.937409,43.02902,1.849866,20.798,1.522932,17.36998,130.9222,0.074821,17.3651,152.0614,7.77494,8.690921,90.62143,3.973421,18.8654,0.467795,0.159843,0.091818,0.479083,0.15935,0,0.752601,3.6942
A2814,38.23704,-121.665631,Miner Slough,North Delta Tidal Transition Zone,October 2018,15.71433,17.05315,32.75794,7.928489,40.68922,1.653414,17.99162,1.375032,17.30089,122.3091,0.070242,17.29236,144.6411,7.592607,8.406592,87.54799,6.872321,16.42345,0.585356,0.153072,0.148877,0.391421,0.295564,0.000139,0.895952,2.787398
A2480,38.23681,-121.681742,Cache Slough,Cache Slough Complex,October 2018,13.02268,19.16735,31.70836,9.064172,40.80441,1.874548,21.15064,1.641722,17.6034,133.3498,0.075836,17.56812,154.9374,7.865487,8.97861,94.02081,3.623657,19.49674,0.073468,0.147324,0.175424,0.55743,0.179364,0.000143,0.915345,5.699005
A2478,38.239062,-121.684637,Cache Slough,Cache Slough Complex,October 2018,12.38074,18.86032,30.90138,9.049703,39.9373,1.871731,21.11045,1.765754,17.77172,134.7979,0.076386,17.73667,156.3347,7.967056,9.157367,96.244,3.246287,19.62574,0.042405,0.132725,0.257659,0.536682,0.252862,0,1.099783,5.748248
A2812,38.239784,-121.66556,Miner Slough,North Delta Tidal Transition Zone,October 2018,17.77988,16.95063,34.72663,7.891363,42.62049,1.646185,17.88835,1.351019,17.32608,121.4717,0.06976,17.31902,143.931,7.601538,8.446937,88.01638,9.248615,16.44632,0.597847,0.157914,0.15142,0.360203,0.311694,0.000069,0.896997,2.489226
A2810,38.241797,-121.662959,Miner Slough,North Delta Tidal Transition Zone,October 2018,20.63248,16.87735,37.51148,7.898826,45.41188,1.647638,17.90911,1.328968,17.34955,121.0225,0.06949,17.33548,143.3081,7.598659,8.525011,88.85555,13.66079,16.58171,0.630177,0.163773,0.155265,0.335824,0.31583,0.000094,0.902789,2.127919
A2808,38.243309,-121.659859,Miner Slough,North Delta Tidal Transition Zone,October 2018,22.79394,16.88081,39.67689,7.987164,47.66378,1.664839,18.15484,1.327215,17.34488,121.1326,0.069552,17.32957,142.7272,7.597939,8.642358,90.06177,16.54704,16.83895,0.663006,0.178611,0.15283,0.344973,0.305102,0.000074,0.888741,1.979203
A2324,38.242741,-121.676563,Prospect Slough,Cache Slough Complex,October 2018,14.47472,18.86306,33.33076,9.125489,42.46107,1.886487,21.32071,1.564496,17.44833,132.5268,0.075604,17.43321,154.268,7.808466,9.139896,95.43305,5.693145,19.41109,0.190327,0.193928,0.123177,0.550578,0.148,0,0.851152,5.084044
A2474,38.242598,-121.6849,Cache Slough,Cache Slough Complex,October 2018,11.67868,18.58819,30.20859,9.092232,39.31913,1.880012,21.22874,1.845555,17.93199,136.4624,0.077097,17.90031,157.1574,8.063169,9.759485,102.9288,3.303296,19.66949,0.050457,0.143041,0.33394,0.52713,0.33746,0,1.255549,5.862896
A2472,38.244255,-121.688731,Cache Slough,Cache Slough Complex,October 2018,9.554251,17.42156,27.49458,9.273977,36.66328,1.9154,21.73429,2.152664,18.11378,140.5994,0.079036,18.06409,161.938,8.202202,9.517078,100.6914,2.578406,20.3867,0.119469,0.131013,0.500912,0.403063,0.386493,0,1.551455,5.509034
A2806,38.24585,-121.658992,Miner Slough,North Delta Tidal Transition Zone,October 2018,24.35031,16.82975,41.17191,8.077633,49.24306,1.682454,18.40649,1.326372,17.32833,121.249,0.069623,17.31783,141.889,7.592516,8.780952,91.48288,17.00785,17.01544,0.683415,0.197271,0.144571,0.370981,0.299627,0.000285,0.867554,2.195685
A2322,38.245732,-121.675616,Prospect Slough,Cache Slough Complex,October 2018,14.85528,18.44051,33.30486,9.08419,42.38612,1.878446,21.20592,1.542875,17.47063,132.4464,0.075531,17.45475,155.0339,7.816696,9.02689,94.29648,5.659743,19.39166,0.247602,0.191541,0.124788,0.534461,0.196785,0,0.881665,4.378686
A2470,38.246695,-121.687069,Cache Slough,Cache Slough Complex,October 2018,9.117188,17.71202,27.13161,9.270179,36.34585,1.914661,21.72374,2.091531,18.09065,140.288,0.078918,18.05292,161.3664,8.16708,9.830185,104.0054,2.905078,20.22338,0.111533,0.137953,0.465692,0.452234,0.379362,0.005744,1.485482,5.486684
A2804,38.248176,-121.657549,Miner Slough,North Delta Tidal Transition Zone,October 2018,27.55082,16.58122,44.09648,8.213841,52.28668,1.708976,18.78537,1.266858,17.33647,121.8988,0.069961,17.33166,142.4754,7.579558,9.062907,94.45354,17.07603,17.24583,0.690137,0.225601,0.118004,0.372825,0.27992,0.000295,0.812867,3.157914
A2320,38.248112,-121.674218,Prospect Slough,Cache Slough Complex,October 2018,14.0536,18.41874,32.47044,9.145804,41.61378,1.890443,21.37777,1.571274,17.53454,133.8852,0.076237,17.51491,156.5208,7.8616,9.040976,94.59171,4.581079,19.59936,0.198621,0.180678,0.148368,0.55512,0.227015,0.004761,0.945986,4.210272
A2468,38.24954,-121.68753,Cache Slough,Cache Slough Complex,October 2018,8.441139,17.47309,26.24644,9.32718,35.49893,1.92576,21.88231,2.166716,18.08285,141.3027,0.07944,18.04936,162.3589,8.174722,9.805835,103.7434,2.915363,20.3808,0.132436,0.139732,0.501467,0.435232,0.372202,0.030209,1.539497,5.679755
A2318,38.250636,-121.672971,Prospect Slough,Cache Slough Complex,October 2018,14.71815,18.31541,33.03573,9.078802,42.11367,1.877397,21.19138,1.543622,17.51434,132.9459,0.075756,17.49568,156.4953,7.848172,8.922971,93.32313,4.883881,19.40946,0.217946,0.1736,0.137719,0.542869,0.232186,0,0.907748,3.883481
A2802,38.250899,-121.656649,Miner Slough,North Delta Tidal Transition Zone,October 2018,29.55158,16.45889,45.96788,8.297563,54.23729,1.725278,19.01825,1.240374,17.34659,122.3465,0.070197,17.33928,143.0708,7.575297,9.21809,96.08932,18.31703,17.36969,0.696447,0.243567,0.10824,0.36361,0.27259,0.000037,0.790365,3.35641
A2466,38.252413,-121.687613,Cache Slough,Cache Slough Complex,October 2018,7.895651,16.91585,25.12429,9.431534,34.51051,1.946079,22.17259,2.329345,18.08385,143.1496,0.080423,18.05313,164.377,8.185644,9.520343,100.723,2.702415,20.70902,0.222775,0.140652,0.5796,0.369472,0.35404,0.324369,1.693496,5.903004
A2316,38.25335,-121.671988,Prospect Slough,Cache Slough Complex,October 2018,14.26261,18.33876,32.60336,9.120208,41.72405,1.885459,21.30656,1.558043,17.51553,133.4476,0.07603,17.49618,156.3121,7.861441,8.905545,93.14645,4.315322,19.5002,0.164967,0.166871,0.143283,0.550306,0.203359,0.005643,0.899832,4.02817
A2800,38.253719,-121.655996,Miner Slough,North Delta Tidal Transition Zone,October 2018,32.12555,16.38666,48.47667,8.39377,56.83984,1.744011,19.28587,1.237029,17.34406,122.9608,0.070539,17.33413,143.8051,7.572703,9.359141,97.55219,17.28375,17.45271,0.693082,0.254452,0.094674,0.360407,0.256567,0,0.764376,3.278979
A2798,38.25479,-121.653121,Miner Slough,North Delta Tidal Transition Zone,October 2018,41.85044,16.58178,58.32314,8.646061,66.85381,1.793136,19.98765,1.210901,17.24597,124.3623,0.07143,17.23958,145.2999,7.53252,8.483646,88.25379,5.372903,18.06402,0.521752,0.187224,0.026403,0.394771,0.209973,0.000454,0.679674,8.25581
A2464,38.255343,-121.687939,Cache Slough,Cache Slough Complex,October 2018,7.15868,16.45255,23.82822,9.513927,33.31234,1.962122,22.40175,2.418074,18.11833,144.8114,0.081275,18.07466,166.4675,8.219945,9.393059,99.40615,2.628886,21.00188,0.256394,0.142356,0.655709,0.321607,0.349984,0.434742,1.840944,6.183653
A2314,38.256153,-121.671668,Prospect Slough,Cache Slough Complex,October 2018,14.38358,18.11844,32.50547,9.146718,41.6545,1.890621,21.3803,1.543451,17.47955,133.4114,0.076068,17.45876,155.5727,7.845346,8.852892,92.51398,4.902127,19.5404,0.110233,0.163714,0.147479,0.558141,0.164974,0,0.863696,3.908806
A2796,38.257244,-121.652096,Miner Slough,North Delta Tidal Transition Zone,October 2018,45.1542,16.65845,61.73815,8.754519,70.39944,1.814254,20.28934,1.205469,17.24037,125.2079,0.0719,17.23334,146.1514,7.526434,8.398422,87.35592,3.488179,18.26682,0.478783,0.179421,0.022104,0.3839,0.20873,0.000177,0.677388,7.424319
A2462,38.256835,-121.691001,Cache Slough,Cache Slough Complex,October 2018,6.581418,16.16413,22.83081,9.591436,32.41264,1.977214,22.61735,2.395333,18.09173,145.6231,0.081755,18.03345,167.688,8.244109,9.399412,99.38127,2.746677,21.21425,0.253481,0.147678,0.690248,0.319701,0.322548,0.370003,1.913258,6.380066
A2460,38.258353,-121.693986,Cache Slough,Cache Slough Complex,October 2018,5.852481,15.75145,21.62577,9.783215,31.40087,2.014556,23.1508,2.328263,17.94504,146.1315,0.082261,17.87572,168.752,8.292114,9.480969,99.90924,2.934939,21.70466,0.225084,0.151894,0.661406,0.387596,0.257698,0.033167,1.772923,6.852073
A2312,38.258947,-121.670739,Prospect Slough,Cache Slough Complex,October 2018,13.62175,18.10698,31.72816,9.191832,40.92297,1.899405,21.50579,1.555473,17.47688,134.0652,0.076423,17.45399,155.7717,7.849963,8.815535,92.11584,4.332758,19.68025,0.071628,0.16026,0.149812,0.570144,0.147241,0.0049,0.863583,4.00169
A2794,38.26014,-121.651911,Miner Slough,North Delta Tidal Transition Zone,October 2018,49.30316,16.88033,66.17773,8.933185,75.08284,1.849043,20.78633,1.184708,17.23942,126.6635,0.072694,17.22925,147.8645,7.521853,8.320381,86.53829,2.318533,18.64119,0.407903,0.179829,0.017962,0.360862,0.189725,0,0.670183,4.386051
A2396,38.260071,-121.692022,Shag Slough,Cache Slough Complex,October 2018,5.817257,15.76228,21.53554,9.751373,31.30972,2.008356,23.06223,2.189545,17.97236,145.8555,0.082075,17.91389,168.4685,8.313832,9.683678,102.1417,2.969314,21.55308,0.14797,0.15202,0.577024,0.399555,0.259118,0.05692,1.728021,6.685822
A2792,38.261988,-121.65041,Miner Slough,North Delta Tidal Transition Zone,October 2018,51.90674,16.9411,68.82342,8.948471,77.73437,1.852019,20.82885,1.156456,17.22331,126.6384,0.072694,17.21421,146.9052,7.513136,8.134786,84.57645,1.763415,18.75743,0.396903,0.170574,0.007906,0.370758,0.179553,0.000002,0.647294,5.099928
A2310,38.261803,-121.669811,Prospect Slough,Cache Slough Complex,October 2018,14.49755,17.9873,32.49104,9.206045,41.70167,1.902173,21.54533,1.532896,17.45224,133.909,0.076374,17.42735,154.7008,7.822162,8.799532,91.89671,5.083218,19.6972,0.0989,0.163504,0.130718,0.566133,0.152587,0,0.845028,3.761692
A2457,38.262404,-121.69607,Cache Slough,Cache Slough Complex,October 2018,5.171308,15.27142,20.43083,9.96979,30.40754,2.050885,23.66979,2.499895,17.82264,146.3736,0.082601,17.76501,169.5933,8.376262,9.860759,103.7337,3.241633,21.89965,0.431359,0.165058,0.651821,0.464043,0.302872,0,1.718783,7.124978
A2394,38.262785,-121.691562,Shag Slough,Cache Slough Complex,October 2018,5.818957,15.85771,21.56329,9.701597,31.32068,1.998664,22.92378,2.136142,17.99546,145.3522,0.081767,17.94981,167.8625,8.335328,9.912932,104.6307,3.313471,21.32468,0.133248,0.149492,0.514222,0.405502,0.295018,0.110488,1.69166,6.445073
A2790,38.263528,-121.647531,Miner Slough,North Delta Tidal Transition Zone,October 2018,54.71394,17.0006,71.70281,8.931228,80.62395,1.848662,20.78088,1.123549,17.20075,126.387,0.072593,17.18759,147.1469,7.517741,8.193573,85.14197,1.846868,18.74964,0.341583,0.173549,0.003733,0.372172,0.144473,0.00017,0.6252,3.655757
A2308,38.264747,-121.669771,Prospect Slough,Cache Slough Complex,October 2018,12.35309,17.92426,30.28074,9.347893,39.63105,1.929793,21.9399,1.561987,17.46162,135.8038,0.077396,17.4333,156.3532,7.848772,8.737317,91.26639,3.861476,20.04053,0.049345,0.147271,0.114005,0.588361,0.155705,0,0.867969,4.725143
A2788,38.265068,-121.644495,Miner Slough,North Delta Tidal Transition Zone,October 2018,54.5817,16.90425,71.48224,8.884078,80.36449,1.839481,20.64973,1.114738,17.17439,125.7747,0.072305,17.1569,147.0211,7.524482,8.264771,85.82816,2.162245,18.67937,0.244904,0.169955,0.005046,0.370814,0.127221,0,0.622907,2.646935
A2392,38.26524,-121.692884,Shag Slough,Cache Slough Complex,October 2018,5.308264,15.53342,20.7023,9.81503,30.58433,2.020751,23.23931,2.057374,17.95354,146.0468,0.082219,17.91097,168.5669,8.40874,10.22108,107.8262,3.506354,21.51002,0.082853,0.153049,0.418744,0.452041,0.303258,0.037739,1.533196,6.705674
A2455,38.265377,-121.696866,Cache Slough,Cache Slough Complex,October 2018,4.864907,15.15624,19.98413,9.996719,30.00051,2.056129,23.7447,2.678658,17.80175,146.6402,0.082784,17.74879,169.7355,8.407874,10.05934,105.8351,3.437504,21.83891,0.60138,0.175383,0.70199,0.4774,0.379457,0.008724,1.816392,7.131054
A2786,38.266969,-121.641805,Miner Slough,North Delta Tidal Transition Zone,October 2018,52.88399,16.44765,69.33784,8.766176,78.10491,1.816524,20.32177,1.126743,17.11508,124.3186,0.07159,17.09427,145.9326,7.532681,8.304274,86.11697,2.353492,18.49252,0.030956,0.162133,0,0.38011,0.107491,0.000074,0.614537,1.823499
