Abbreviation,Description,Detection Range,Equation
A488 (AU/cm) DS,"Absorbance at 488 nm, filtered, absorbance units per centimeter",MDL 0.005 AU/cm,
A510 (AU/cm) DS,"Absorbance at 510 nm, filtered, absorbance units per centimeter",MDL 0.005 AU/cm,
A532 (AU/cm) DS,"Absorbance at 532 nm, filtered, absorbance units per centimeter",MDL 0.004 AU/cm,
A555 (AU/cm) DS,"Absorbance at 555 nm, filtered, absorbance units per centimeter",MDL 0.004 AU/cm,
Sag 275-295 nm DS,"Absorption spectral slope calculated for wavelengths 275-295 nm, unitless",MDL varies by wavelength,
Sag 290-350 nm DS,"Absorption spectral slope calculated for wavelengths 290-350 nm, unitless",MDL varies by wavelength,
Sag 350-400 nm DS,"Absorption spectral slope calculated for wavelengths 350-400 nm, unitless",MDL varies by wavelength,
Sag 412-600 nm DS,"Absorption spectral slope calculated for wavelengths 412-600 nm, unitless",MDL varies by wavelength,
Peak A (RU) DS,"Fluorescence at excitation 260 nm / emission at 450 nm, filtered, Raman units",MDL 0.030 RU,
Peak B (RU) DS,"Fluorescence at excitation 275 nm / emission at 304 nm, filtered, Raman units ",MDL 0.048 RU,
Peak T (RU) DS,"Fluorescence at excitation 275 nm / emission at 340 nm, filtered, Raman units ",MDL 0.079 RU,
Peak N (RU) DS,"Fluorescence at excitation 280 nm / emission at 370 nm, filtered, Raman units ",MDL 0.107 RU,
Peak M (RU) DS,"Fluorescence at excitation 300 nm / emission at 390 nm, filtered, Raman units ",MDL 0.032 RU,
Peak C (RU) DS,"Fluorescence at excitation 340 nm / emission at 440 nm, filtered, Raman units ",MDL 0.006 RU,
Peak D (RU) DS,"Fluorescence at excitation 390 nm / emission at 510 nm, filtered, Raman units ",MDL 0.007 RU,
Peak fDOM (RU) DS,"Fluorescence at excitation 370 nm / emission at 460 nm, filtered, Raman units ",MDL 0.007 RU,
FI DS,"Fluorescence Index, ratio of emission intensities at 470 nm to 520 nm at an excitation wavelength of 370 nm",MDL varies by wavelength,
HIX DS,"Humification Index, calculated by dividing the fluorescence intensity in the 435-480 nm region by the total intensities in the 300-345 and 435-480 nm regions, unitless",MDL varies by wavelength,
Picocyanobacteria aliquot (mL) DS,Volume of sample used for picocyanobacteria counts,--,
Picocyanobacteria PC-Rich Tally DS,"Picocyanobacteria counts, phycocyanin rich tally, number of cells counted",--,
Picocyanobacteria PC-Rich Density (cells/L) DS,"Picocyanobacteria counts, phycocyanin rich, cells per liter",--,
Picocyanobacteria PE-Rich Tally DS,"Picocyanobacteria counts, phycoerythrin rich tally, number of cells counted",minimum of 5 random microscopic fields of view examined,
Picocyanobacteria PE-Rich Density (cells/L) DS,"Picocyanobacteria counts, phycoerythrin rich, cells per liter",--,
Picocyanobacteria Total Tally DS,"Picocyanobacteria counts, sum of PE-Rich and PE-Rich tally, number of cells counted",minimum of 5 random microscopic fields of view examined,
Picocyanobacteria Total Density (cells/L)  DS,"Picocyanobacteria counts, sum of PE-Rich and PE-Rich, cells per liter",--,
OMRL HI Ohno 2008,"Humification Index, calculated by dividing the fluorescence intensity in the 435-480 nm region by the total intensities in the 300-345 and 435-480 nm regions, unitless",MDL varies by wavelength,
<< Empty Cell >>,No Data,--,
,,,
"Entity Type Definition: Spatially Aligned (Centerline Extracted) and interpolated, water chemistry data from the Sacramento-San Joaquin Delta Study Area. ",,,
CL ID,"Centerline point identifier, see metadata for details",--,
"Latitude (Decimal Degrees, NAD83)","NAD 1983, decimal degrees",--,
"Longitude (Decimal Degrees, NAD83)","NAD 1983, decimal degrees",--,
Location,Name of the approximate location for center line points,,
Subregions,Name of the approximate subregion for center line points,,
"Time Period (Month, Year)","Sampling time period: month, year",--,
NH4 (µM) (TLine) SA,"Ammonium, micromolar",,
NO3 (µM) (SUNA) SA,"Nitrate plus nitrite, micromolar",--,
estDON (µM) SA,"Dissolved organic nitrogen, micromolar; modeled based on fDOM, see metadata for details",--,
TDN (µM) SA,"Total dissolved nitrogen, micromolar; modeled, see metadata for details",--,
estDOC (mg/L) SA,"Dissolved organic carbon, milligrams per liter; modeled based on fDOM, see metadata for details",--,
fDOM (QSU) (WS) SA,"Fluorescence of dissolved organic matter, quinine sulfate units (1 QSU = 1 part per billion quininie sulfate); corrected for turbidity and inner filter effects",--,
fCHL (µg/L) (WS) SA,"Fluorescent chlorophyll, micrograms per liter; corrected for temperature",--,
Temp (C) (TSG) SA,"Temperature, degrees Celsius",--,
Cond (µS/cm) (TSG) SA,"Conductivity, microsiemens per centimeter",--,
Salinity (PSU) (TSG) SA,"Salinity, practical salinity unit",--,
Temp (C) (EXO) SA,"Temperature, degrees Celsius",--,
Sp Cond (µS/cm) (EXO) SA,"Specific conductance, microsiemens per centimeter at 25 degrees Celsius",--,
pH (EXO) SA,"pH, standard units",--,
DO (mg/L) (EXO) SA,"Dissolved oxygen, milligrams per liter",--,
DO (%) (EXO) SA,"Dissolved oxygen, percent of saturation",--,
Turb (FNU) (EXO) SA,"Turbidity, formazin nephelometric units",--,
fDOM (QSU) (EXO) SA,"Fluorescence of dissolved organic matter, quinine sulfate units (1 QSU = 1 part per billion quininie sulfate); corrected for turbidity and inner filter effects",--,
fCHL (µg/L) (EXO) SA,"Fluorescent chlorophyll, micrograms per liter; corrected for temperature",--,
Bluegreen (µg/L) (EXO) SA,"Bluegreen algae, micrograms of chlorophyll-a per liter",--,
Green Algae (µg/L) (FP) SA,"Green algae, micrograms of chlorophyll-a per liter  ",--,
Bluegreen (µg/L) (FP) SA,"Bluegreen algae, micrograms of chlorophyll-a per liter",--,
Diatoms (µg/L) (FP) SA,"Diatoms, micrograms of chlorophyll-a per liter",--,
Cryptophyta (µg/L) (FP) SA,"Cryptophyceae, micrograms of chlorophyll-a per liter",--,
Total Conc (µg/L) (FP) SA,"Total chlorophyll-a, micrograms of chlorophyll-a per liter",--,
t (days) (Picarro) SA,"Residence time, calculated",,
DIN (µM) SA,"Total dissolved inorganic nitrogen (DIN) concentration calculated as the sum of nitrate, nitrite and ammonium ([NO3] + [NO2] + [NH4]), micromolar",--,
<< Empty Cell >>,No Data,--,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
