CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	Orthophosphate (uM) SA
A290	38.495721	-121.558063	North Delta tidal transition zone	Sacramento River	7/1/2020	1.76	1.32	22.20	137.60	7.85	8.30	95.35	5.21	1.21	13.11	2.46	15.26	22.19	129.97	0.07	0.00	0.92	0.85	0.00	1.77	0.00	42.68	48.29	0.00	3.08	0.89
A288	38.498447	-121.559110	North Delta tidal transition zone	Sacramento River	7/1/2020	1.76	1.48	22.19	137.42	7.85	8.31	95.37	5.22	1.20	13.11	2.48	15.25	22.18	129.77	0.07	0.00	0.92	0.86	0.00	1.78	0.00	49.44	48.45	0.00	3.23	0.89
A286	38.501349	-121.559009	North Delta tidal transition zone	Sacramento River	7/1/2020	1.75	1.57	22.18	137.25	7.84	8.31	95.39	5.21	1.20	13.12	2.52	15.25	22.17	129.58	0.07	0.00	0.92	0.87	0.00	1.79	0.00	49.63	48.68	0.00	3.31	0.88
A284	38.504129	-121.558058	North Delta tidal transition zone	Sacramento River	7/1/2020	1.69	1.64	22.15	136.85	7.84	8.32	95.43	5.25	1.21	13.13	2.62	15.25	22.14	129.14	0.07	0.00	0.92	0.87	0.00	1.80	0.01	48.87	48.65	0.00	3.33	0.88
A282	38.506827	-121.556716	North Delta tidal transition zone	Sacramento River	7/1/2020	1.63	1.67	22.14	136.66	7.84	8.32	95.45	5.25	1.21	13.13	2.66	15.25	22.13	128.93	0.07	0.00	0.93	0.88	0.00	1.80	0.00	50.01	48.60	0.00	3.30	0.87
A280	38.509514	-121.555311	North Delta tidal transition zone	Sacramento River	7/1/2020	1.61	1.59	22.13	136.46	7.85	8.33	95.48	5.24	1.22	13.11	2.66	15.24	22.12	128.73	0.07	0.00	0.93	0.89	0.00	1.82	0.00	49.22	48.85	0.00	3.21	0.87
A278	38.512153	-121.553708	North Delta tidal transition zone	Sacramento River	7/1/2020	1.70	1.38	22.11	136.18	7.85	8.33	95.52	5.29	1.23	13.08	2.62	15.24	22.11	128.42	0.07	0.00	0.93	0.92	0.00	1.85	0.00	49.38	49.61	0.00	3.08	0.86
A276	38.514111	-121.551112	North Delta tidal transition zone	Sacramento River	7/1/2020	1.77	1.23	22.11	136.07	7.85	8.34	95.59	5.39	1.25	13.07	2.62	15.26	22.10	128.28	0.07	0.00	0.94	0.93	0.00	1.87	0.00	49.95	49.63	0.00	3.02	0.86
A274	38.515089	-121.547644	North Delta tidal transition zone	Sacramento River	7/1/2020	1.79	1.13	22.10	136.03	7.85	8.35	95.66	5.41	1.30	13.05	2.66	15.26	22.09	128.21	0.07	0.00	0.95	0.91	0.00	1.87	0.00	50.03	48.93	0.00	2.94	0.86
A272	38.515912	-121.544114	North Delta tidal transition zone	Sacramento River	7/1/2020	1.75	1.13	22.08	135.87	7.85	8.35	95.49	5.29	1.32	13.07	2.63	15.28	22.08	128.00	0.07	0.00	0.96	0.90	0.00	1.85	0.00	49.50	48.46	0.00	2.89	0.86
A270	38.516576	-121.540556	North Delta tidal transition zone	Sacramento River	7/1/2020	1.73	1.16	22.07	135.82	7.85	8.34	95.41	5.22	1.30	13.08	2.61	15.28	22.07	127.94	0.07	0.00	0.96	0.89	0.00	1.84	0.00	41.57	48.33	0.00	2.89	0.85
A268	38.516971	-121.536897	North Delta tidal transition zone	Sacramento River	7/1/2020	1.72	1.16	22.07	135.73	7.85	8.34	95.33	5.13	1.26	13.08	2.58	15.28	22.06	127.83	0.07	0.00	0.95	0.88	0.00	1.83	0.00	39.46	48.15	0.00	2.88	0.85
A266	38.517114	-121.533202	North Delta tidal transition zone	Sacramento River	7/1/2020	1.69	1.12	22.07	135.65	7.85	8.33	95.32	5.15	1.25	13.10	2.58	15.28	22.06	127.79	0.07	0.00	0.95	0.88	0.00	1.83	0.00	38.06	48.02	0.00	2.82	0.85
A264	38.517476	-121.529518	North Delta tidal transition zone	Sacramento River	7/1/2020	1.67	1.07	22.08	135.68	7.86	8.32	95.33	5.25	1.30	13.11	2.63	15.30	22.06	127.83	0.07	0.00	0.95	0.89	0.00	1.84	0.00	29.98	48.29	0.00	2.74	0.85
A262	38.518533	-121.526073	North Delta tidal transition zone	Sacramento River	7/1/2020	1.63	1.08	22.07	135.61	7.86	8.33	95.35	5.26	1.33	13.09	2.66	15.30	22.06	127.75	0.07	0.00	0.95	0.92	0.00	1.88	0.04	41.16	49.19	0.00	2.71	0.85
A260	38.520866	-121.524064	North Delta tidal transition zone	Sacramento River	7/1/2020	1.60	1.11	22.07	135.56	7.86	8.34	95.38	5.23	1.33	13.06	2.66	15.30	22.06	127.69	0.07	0.00	0.95	0.94	0.00	1.90	0.19	46.53	49.83	0.00	2.72	0.85
A258	38.523342	-121.525793	North Delta tidal transition zone	Sacramento River	7/1/2020	1.63	1.16	22.07	135.49	7.86	8.33	95.37	5.35	1.33	13.07	2.66	15.29	22.06	127.60	0.07	0.00	0.95	0.93	0.00	1.89	0.18	50.00	49.31	0.00	2.78	0.85
A256	38.525339	-121.528465	North Delta tidal transition zone	Sacramento River	7/1/2020	1.67	1.17	22.06	135.22	7.86	8.34	95.53	5.43	1.32	13.08	2.66	15.28	22.05	127.39	0.07	0.00	0.96	0.91	0.00	1.88	0.09	51.82	48.49	0.00	2.83	0.85
A254	38.527691	-121.530580	North Delta tidal transition zone	Sacramento River	7/1/2020	1.66	1.07	22.06	135.05	7.86	8.37	95.87	5.21	1.32	13.04	2.67	15.27	22.05	127.23	0.07	0.00	0.96	0.91	0.00	1.87	0.18	51.38	48.43	0.00	2.71	0.85
A252	38.530434	-121.530507	North Delta tidal transition zone	Sacramento River	7/1/2020	1.65	0.91	22.07	135.37	7.86	8.43	96.50	4.61	1.32	12.91	2.66	15.28	22.07	127.44	0.07	0.02	0.93	0.96	0.00	1.92	1.24	48.63	50.09	0.00	2.50	0.86
A250	38.532139	-121.527613	North Delta tidal transition zone	Sacramento River	7/1/2020	1.61	0.89	22.09	136.11	7.87	8.44	96.72	4.88	1.36	12.73	2.69	15.33	22.08	128.24	0.07	0.06	0.92	1.04	0.00	2.02	2.93	44.67	51.51	0.00	2.49	0.86
A248	38.533344	-121.524278	North Delta tidal transition zone	Sacramento River	7/1/2020	1.60	0.89	22.09	136.26	7.87	8.44	96.69	5.19	1.36	12.72	2.74	15.34	22.09	128.44	0.07	0.06	0.93	1.06	0.00	2.05	2.86	38.09	51.84	0.00	2.49	0.86
A246	38.534619	-121.520922	North Delta tidal transition zone	Sacramento River	7/1/2020	1.58	0.87	22.08	136.30	7.87	8.43	96.57	5.51	1.39	12.84	2.86	15.36	22.08	128.47	0.07	0.05	0.94	1.11	0.00	2.11	2.44	35.59	52.62	0.00	2.46	0.87
A244	38.536239	-121.517964	North Delta tidal transition zone	Sacramento River	7/1/2020	1.62	0.95	22.04	136.01	7.87	8.37	95.80	5.44	1.39	13.03	2.88	15.35	22.04	127.82	0.07	0.03	0.95	1.09	0.00	2.10	1.51	45.31	52.26	0.00	2.57	0.87
A242	38.538283	-121.515312	North Delta tidal transition zone	Sacramento River	7/1/2020	1.71	1.05	22.02	136.08	7.87	8.33	95.30	5.52	1.38	13.05	2.88	15.35	22.01	127.72	0.07	0.04	0.95	1.08	0.00	2.09	1.70	43.05	51.76	0.00	2.76	0.87
A240	38.540594	-121.513191	North Delta tidal transition zone	Sacramento River	7/1/2020	1.80	1.15	22.02	136.33	7.87	8.30	94.91	5.56	1.38	13.07	2.89	15.37	22.00	128.02	0.07	0.05	0.94	1.08	0.00	2.10	2.34	32.59	51.64	0.00	2.95	0.88
A238	38.543148	-121.511439	North Delta tidal transition zone	Sacramento River	7/1/2020	1.82	1.27	22.02	136.30	7.87	8.29	94.76	5.60	1.38	13.08	2.88	15.39	22.00	128.23	0.07	0.06	0.94	1.09	0.00	2.10	2.84	26.03	51.86	0.00	3.09	0.88
A236	38.545963	-121.511518	North Delta tidal transition zone	Sacramento River	7/1/2020	1.84	1.43	22.01	135.92	7.87	8.28	94.70	5.71	1.39	13.08	2.87	15.38	22.00	127.80	0.07	0.04	0.95	1.10	0.00	2.10	1.85	35.31	52.49	0.00	3.27	0.89
A234	38.548763	-121.512516	North Delta tidal transition zone	Sacramento River	7/1/2020	1.89	1.50	22.03	136.16	7.87	8.28	94.75	5.62	1.40	13.07	2.86	15.39	22.01	127.83	0.07	0.03	0.95	1.10	0.00	2.09	1.39	46.09	52.66	0.00	3.39	0.90
A232	38.551553	-121.513507	North Delta tidal transition zone	Sacramento River	7/1/2020	1.94	1.49	22.04	136.52	7.87	8.28	94.78	5.46	1.37	13.07	2.82	15.40	22.02	128.05	0.07	0.02	0.95	1.11	0.00	2.08	0.97	45.56	53.09	0.00	3.42	0.90
A230	38.554373	-121.514365	North Delta tidal transition zone	Sacramento River	7/1/2020	2.01	1.17	22.08	137.38	7.87	8.32	95.27	5.16	1.35	13.05	2.79	15.47	22.07	129.18	0.07	0.03	0.93	1.10	0.00	2.06	1.27	45.21	53.40	0.00	3.18	0.92
A228	38.557157	-121.515387	North Delta tidal transition zone	Sacramento River	7/1/2020	1.99	1.01	22.09	137.64	7.87	8.35	95.65	5.13	1.36	13.05	2.82	15.51	22.08	129.49	0.07	0.04	0.93	1.11	0.00	2.09	1.91	44.65	53.32	0.00	3.00	0.92
A226	38.559790	-121.516888	North Delta tidal transition zone	Sacramento River	7/1/2020	1.94	0.83	22.06	136.73	7.87	8.48	97.11	5.18	1.41	12.90	2.95	15.59	22.05	128.76	0.07	0.08	0.95	1.16	0.00	2.18	3.46	43.58	53.17	0.00	2.77	0.93
A224	38.561683	-121.520018	North Delta tidal transition zone	Sacramento River	7/1/2020	1.95	0.82	22.04	136.00	7.87	8.49	97.20	5.22	1.43	12.87	2.97	15.56	22.03	128.18	0.07	0.08	0.95	1.17	0.00	2.19	3.55	43.45	53.28	0.00	2.77	0.94
A222	38.564517	-121.520985	North Delta tidal transition zone	Sacramento River	7/1/2020	1.93	0.80	22.00	134.79	7.87	8.57	98.07	5.17	1.45	12.71	3.03	15.58	22.00	127.10	0.07	0.10	0.96	1.19	0.00	2.23	4.21	43.06	53.30	0.00	2.73	0.95
A4909	38.055149	-121.651923	Central Delta tidal zone	False River	7/1/2020	6.90	0.28	22.84	535.35	8.44	9.11	105.97	2.75	1.75	19.19	3.56	21.00	22.90	515.64	0.26	0.94	4.37	1.60	0.01	6.97	13.40	62.79	23.05	0.09	7.15	2.00
A4912	38.055805	-121.646504	Central Delta tidal zone	False River	7/1/2020	6.72	0.34	22.87	528.01	8.48	9.23	107.48	2.65	1.75	19.25	3.51	21.03	22.93	507.53	0.25	0.86	4.37	1.58	0.00	6.82	12.56	64.03	23.16	0.01	7.27	2.00
A4395	38.059787	-121.582220	Central Delta tidal zone	Old River	7/1/2020	2.54	0.00	23.10	378.19	8.86	8.67	101.36	3.19	2.02	20.96	4.01	23.00	23.15	363.65	0.18	0.91	3.99	1.83	0.01	6.78	14.18	60.41	24.90	0.30	2.95	1.92
A3494	38.081580	-121.681090	Central Delta tidal zone	San Joaquin River	7/1/2020	8.49	0.60	22.54	581.86	8.23	8.63	99.87	3.73	2.05	18.97	4.10	20.76	22.58	540.08	0.27	0.72	5.22	2.11	0.04	8.10	8.87	64.45	26.05	0.46	9.90	1.93
A3622	38.093158	-121.576492	Central Delta tidal zone	San Joaquin River	7/1/2020	8.97	0.98	22.89	218.39	8.24	8.61	100.19	3.46	4.29	19.60	7.81	21.99	22.90	208.85	0.10	0.30	5.58	5.35	0.00	11.25	4.05	48.86	46.90	0.00	9.91	1.71
A3836	37.951555	-121.336346	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	94.06	6.80	26.67	296.56	7.62	6.53	81.55	6.69	3.56	36.49	7.10	40.05	26.70	305.42	0.14	3.70	4.82	2.49	0.03	11.08	33.43	43.55	22.41	0.28	100.86	9.80
A3833	37.952834	-121.341639	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	90.56	6.24	26.80	298.58	7.62	6.57	82.29	6.40	3.65	36.00	7.18	39.40	26.84	308.62	0.14	3.95	4.89	2.62	0.01	11.47	34.32	42.77	22.77	0.09	96.80	9.42
A5652	37.971580	-121.509407	South Delta tidal transition zone	Empire Cut	7/1/2020	19.04	0.59	25.86	295.80	8.05	8.62	105.98	3.90	3.94	48.52	7.57	52.90	25.89	299.58	0.14	4.02	8.27	1.93	0.42	14.67	27.50	56.28	13.14	2.84	19.61	3.86
A5630	37.975780	-121.514527	South Delta tidal transition zone	Latham Slough	7/1/2020	11.13	0.33	25.53	266.43	8.23	8.94	109.28	3.30	3.29	40.46	6.30	43.43	25.56	261.90	0.13	2.37	8.29	2.14	0.22	13.06	18.03	63.56	16.42	1.67	11.45	3.41
A3771	37.993339	-121.435155	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	42.30	1.15	25.65	355.74	7.80	7.67	94.05	4.33	3.05	45.96	5.98	50.46	25.67	359.73	0.17	2.08	7.66	1.80	0.17	11.66	17.95	65.61	15.56	1.42	43.37	5.84
A3784	37.993899	-121.412254	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	58.26	1.57	26.05	403.28	7.70	7.32	90.45	4.71	3.27	51.16	6.47	56.28	26.08	411.29	0.19	2.32	9.96	1.94	0.29	14.51	15.98	68.64	13.36	2.01	59.84	7.31
A3776	37.995205	-121.426432	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	48.34	1.42	25.86	373.88	7.77	7.59	93.39	4.41	3.21	47.75	6.29	52.41	25.89	380.86	0.18	2.34	8.87	1.80	0.27	13.26	17.66	66.81	13.64	2.05	49.79	6.46
A3780	37.995390	-121.419244	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	55.03	1.54	25.99	393.75	7.73	7.43	91.64	4.57	3.24	49.92	6.38	54.88	26.03	402.32	0.19	2.38	9.62	1.86	0.29	14.16	16.83	67.91	13.14	2.08	56.59	7.03
A5672	37.996421	-121.445814	San Joaquin tidal transition zone	Turner Cut	7/1/2020	37.09	0.99	25.41	337.91	7.82	7.72	94.24	4.25	2.74	43.79	5.45	48.71	25.43	339.38	0.17	1.69	7.26	1.74	0.12	10.84	15.75	66.67	16.31	0.93	31.63	5.05
A5011	37.998936	-121.513803	Central Delta tidal zone	Middle River	7/1/2020	3.43	0.21	24.42	218.13	8.42	9.05	108.41	2.87	2.77	25.35	5.31	27.46	24.45	214.37	0.11	1.64	7.91	2.20	0.10	11.87	13.82	66.65	18.57	0.86	4.34	2.03
A3696	38.035150	-121.492807	Central Delta tidal zone	San Joaquin River	7/1/2020	6.36	0.56	23.70	197.55	8.07	8.45	99.80	3.35	4.54	28.82	9.09	31.76	23.73	192.33	0.10	0.45	6.21	5.56	0.00	12.12	3.75	51.24	45.83	0.00	6.98	1.71
A3694	38.037437	-121.495730	Central Delta tidal zone	San Joaquin River	7/1/2020	6.23	0.54	23.63	197.89	8.08	8.47	99.94	3.40	4.69	28.31	9.44	31.25	23.67	192.37	0.10	0.41	6.44	5.88	0.00	12.67	3.24	50.81	46.40	0.00	6.81	1.74
A3691	38.040138	-121.500875	Central Delta tidal zone	San Joaquin River	7/1/2020	6.16	0.34	23.54	198.53	8.10	8.52	100.30	3.45	5.01	27.24	10.00	30.34	23.57	192.62	0.10	0.30	6.97	6.59	0.00	13.85	2.26	50.24	47.64	0.00	6.51	1.82
A4425	38.042895	-121.577084	Central Delta tidal zone	Old River	7/1/2020	1.84	0.34	23.26	391.61	8.88	8.66	101.49	2.64	2.17	20.54	3.94	22.48	23.33	377.78	0.19	1.21	3.54	1.76	0.12	6.63	18.14	53.50	26.43	1.84	2.18	2.05
A3689	38.044925	-121.499377	Central Delta tidal zone	San Joaquin River	7/1/2020	6.35	0.34	23.57	197.70	8.10	8.53	100.54	3.36	5.21	27.29	10.04	30.68	23.60	192.11	0.10	0.40	6.35	6.58	0.00	13.28	3.03	47.70	49.60	0.00	6.69	1.85
A4974	38.052643	-121.519188	Central Delta tidal zone	Three River Reach	7/1/2020	6.63	0.36	23.18	209.96	8.20	8.61	100.66	3.49	4.46	24.05	8.83	26.73	23.19	203.81	0.10	0.06	5.84	5.91	0.00	11.86	0.50	49.23	49.83	0.00	7.01	1.66
A4955	38.055024	-121.534759	Central Delta tidal zone	Mandeville Reach	7/1/2020	6.60	0.58	23.18	207.62	8.20	8.63	101.01	3.38	5.36	24.38	10.82	27.58	23.21	199.37	0.10	0.21	6.23	7.25	0.00	13.74	1.49	44.98	52.73	0.00	7.18	1.63
A3657	38.056959	-121.543059	Central Delta tidal zone	San Joaquin River	7/1/2020	7.16	0.59	23.05	216.83	8.23	8.64	100.89	3.47	4.96	22.60	9.13	25.23	23.07	208.40	0.10	0.06	6.71	6.46	0.00	13.34	0.42	40.98	48.37	0.00	7.75	1.68
A3650	38.059013	-121.555544	Central Delta tidal zone	San Joaquin River	7/1/2020	7.41	0.64	23.05	219.28	8.26	8.70	101.60	3.54	4.64	21.55	8.98	24.44	23.07	211.31	0.10	0.22	6.47	6.44	0.00	13.15	1.81	49.40	49.05	0.00	8.04	1.77
A3509	38.059876	-121.679834	Central Delta tidal zone	San Joaquin River	7/1/2020	7.76	0.25	22.59	591.21	8.27	8.72	101.00	3.58	1.94	19.04	3.84	20.76	22.64	570.82	0.29	0.84	4.42	1.80	0.02	7.08	11.82	62.44	25.38	0.22	7.80	2.01
A4394	38.061265	-121.582183	Central Delta tidal zone	Old River	7/1/2020	2.56	0.00	23.10	372.64	8.85	8.66	101.32	3.18	2.19	21.04	4.31	23.15	23.14	359.80	0.18	0.89	4.05	2.12	0.01	7.12	13.89	59.75	25.77	0.29	3.04	1.91
A3493	38.082684	-121.681430	Central Delta tidal zone	San Joaquin River	7/1/2020	8.72	0.64	22.50	551.89	8.22	8.59	99.22	3.80	2.01	19.00	4.05	20.95	22.49	509.79	0.26	0.58	5.36	2.05	0.04	8.03	7.19	66.82	25.52	0.45	10.10	1.92
A3490	38.086827	-121.679979	Central Delta tidal zone	San Joaquin River	7/1/2020	9.49	0.87	22.39	459.24	8.17	8.52	98.09	3.96	1.96	18.90	4.03	21.41	22.32	426.86	0.22	0.29	5.80	1.93	0.03	8.04	3.54	72.13	24.04	0.31	10.67	1.90
A3462	38.087711	-121.636532	Central Delta tidal zone	San Joaquin River	7/1/2020	10.85	0.96	22.94	255.51	8.11	8.51	99.10	3.46	2.47	18.40	4.67	20.39	22.98	247.04	0.12	0.53	5.52	2.23	0.07	8.38	6.35	65.88	26.56	0.79	11.84	1.81
A3621	38.094606	-121.579508	Central Delta tidal zone	San Joaquin River	7/1/2020	9.15	1.79	22.93	213.93	8.21	8.58	99.92	3.29	4.18	19.35	7.62	21.68	22.94	203.76	0.10	0.35	5.57	5.35	0.00	11.28	4.78	48.41	46.74	0.01	10.91	1.71
A3959	38.104972	-121.697305	Western Delta tidal zone	Threemile Slough	7/1/2020	9.97	4.00	22.23	587.37	8.14	8.54	98.29	4.40	2.12	18.09	4.01	20.05	22.28	559.12	0.29	0.82	3.65	1.87	0.01	6.35	13.00	57.31	29.53	0.10	13.93	1.93
A3962	38.106552	-121.702675	Western Delta tidal zone	Threemile Slough	7/1/2020	10.44	4.34	22.18	521.25	8.11	8.47	97.39	4.41	2.03	17.50	3.77	19.43	22.21	488.35	0.25	0.85	2.97	1.75	0.00	5.57	15.24	53.27	31.42	0.05	14.68	1.95
A3388	38.128449	-121.577559	Mokelumne tidal transition zone	Mokelumne River	7/1/2020	9.41	12.41	23.41	145.96	7.71	7.96	93.59	1.98	1.86	15.48	3.18	17.46	23.45	141.36	0.07	1.43	0.84	1.43	0.01	3.70	38.66	19.49	39.17	0.16	21.82	1.97
A3068	38.146370	-121.588994	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.64	14.40	23.30	147.50	7.67	7.93	92.98	2.17	1.53	13.89	2.44	16.41	23.35	142.67	0.07	0.83	0.71	1.22	0.00	2.76	29.90	25.98	43.95	0.04	22.03	1.72
A3057	38.157410	-121.588893	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.55	15.45	23.30	146.97	7.65	7.83	91.78	2.13	1.41	14.52	2.35	16.60	23.34	142.03	0.07	0.78	0.69	1.19	0.00	2.64	29.36	19.20	44.93	0.09	23.00	1.65
A626	38.163434	-121.612003	North Delta tidal transition zone	Sacramento River	7/1/2020	6.56	13.31	23.66	148.28	7.73	8.12	95.87	4.00	2.14	14.52	3.31	15.80	23.72	144.28	0.07	1.70	0.82	1.52	0.00	4.05	41.99	20.35	37.56	0.06	19.87	1.67
A656	38.175484	-121.663260	North Delta tidal transition zone	Sacramento River	7/1/2020	8.17	11.76	23.66	146.71	7.77	8.00	94.38	3.11	1.87	14.11	2.85	15.36	23.74	142.43	0.07	1.32	0.87	1.21	0.00	3.39	38.73	25.79	35.76	0.00	19.93	1.85
A543	38.238282	-121.531701	North Delta tidal transition zone	Sacramento River	7/1/2020	4.12	17.49	23.17	137.74	7.65	7.97	93.26	2.98	1.55	13.81	2.47	15.68	23.20	132.68	0.07	0.77	0.65	1.26	0.05	2.73	27.66	18.62	46.21	1.74	21.62	1.75
A530	38.245078	-121.512283	North Delta tidal transition zone	Sacramento River	7/1/2020	3.53	14.81	23.09	135.42	7.69	8.20	95.80	2.41	1.31	13.08	1.95	15.56	23.12	130.39	0.07	0.54	0.67	0.97	0.00	2.18	24.97	30.80	44.54	0.00	18.33	1.73
A528	38.247895	-121.510971	North Delta tidal transition zone	Sacramento River	7/1/2020	3.46	15.14	23.02	135.79	7.69	8.21	95.73	2.42	1.39	13.42	1.97	15.81	23.06	130.53	0.07	0.52	0.67	0.97	0.00	2.16	23.91	31.70	44.99	0.00	18.59	1.72
A459	38.327076	-121.575535	North Delta tidal transition zone	Sacramento River	7/1/2020	5.41	28.36	22.66	146.19	7.62	8.02	92.93	2.93	1.06	15.22	1.76	18.49	22.65	139.11	0.08	0.15	0.72	0.78	0.00	1.64	9.36	28.91	44.94	0.06	33.76	1.79
A357	38.434772	-121.517201	North Delta tidal transition zone	Sacramento River	7/1/2020	2.78	13.11	22.48	141.47	7.69	8.12	93.75	4.29	1.07	13.30	2.10	17.21	22.48	134.55	0.07	0.11	0.84	0.82	0.00	1.77	5.95	44.04	36.91	0.00	15.89	1.25
A312	38.473787	-121.531956	North Delta tidal transition zone	Sacramento River	7/1/2020	1.89	0.99	22.30	138.02	7.81	8.26	95.09	5.98	1.31	13.22	2.68	15.27	22.29	130.59	0.07	0.02	0.93	0.99	0.00	1.94	0.82	47.24	48.79	0.00	2.88	0.93
A3867	37.935489	-121.331374	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	91.22	8.25	25.92	243.14	7.57	6.47	79.75	10.98	2.86	37.68	5.66	42.49	25.98	247.53	0.12	2.94	3.75	1.44	0.14	8.24	42.16	39.02	18.64	0.50	99.46	9.15
A3865	37.936773	-121.334451	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	93.38	8.31	25.94	240.22	7.53	6.41	78.94	10.84	2.78	37.57	5.51	42.27	25.99	244.11	0.12	3.01	2.90	1.38	0.03	7.29	42.92	37.97	19.26	0.13	101.69	9.17
A3863	37.938889	-121.336807	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	94.24	8.20	26.01	247.82	7.53	6.37	78.57	10.44	2.82	37.52	5.63	42.06	26.05	251.91	0.12	2.98	2.89	1.45	0.01	7.32	41.30	38.94	19.81	0.05	102.44	9.32
A3861	37.939072	-121.340331	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	95.12	8.23	26.11	261.87	7.53	6.29	77.70	9.77	2.79	37.52	5.57	41.74	26.15	267.96	0.13	2.84	3.08	1.47	0.00	7.38	38.35	41.75	19.99	0.00	103.35	9.45
A3859	37.939517	-121.343659	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	95.54	8.20	26.15	268.26	7.53	6.26	77.43	9.39	2.76	37.52	5.53	41.60	26.20	276.00	0.13	2.71	3.20	1.47	0.00	7.38	36.59	43.52	19.89	0.00	103.74	9.50
A3857	37.941859	-121.345892	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	96.78	7.90	26.30	284.11	7.55	6.27	77.70	8.59	2.87	37.34	5.81	41.31	26.34	292.48	0.14	2.70	3.68	1.66	0.00	8.06	33.51	45.71	20.56	0.02	104.68	9.71
A3855	37.943500	-121.343193	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	96.82	7.94	26.27	281.11	7.55	6.28	77.85	8.81	2.89	37.36	5.84	41.40	26.31	288.57	0.14	2.76	3.63	1.66	0.00	8.07	34.28	44.93	20.59	0.01	104.76	9.76
A3853	37.945836	-121.341100	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	97.21	7.39	26.43	289.18	7.57	6.38	79.27	7.94	3.12	37.04	6.30	40.98	26.46	296.70	0.14	3.07	4.16	2.00	0.00	9.24	33.29	45.11	21.55	0.03	104.60	9.95
A3851	37.947241	-121.337986	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	96.26	7.16	26.42	286.33	7.59	6.43	79.95	7.82	3.29	37.05	6.67	40.98	26.45	293.69	0.14	3.28	4.23	2.15	0.02	9.71	34.23	43.38	21.90	0.21	103.42	9.90
A3849	37.949764	-121.336068	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	93.21	6.86	26.69	299.75	7.64	6.54	81.65	6.55	3.66	36.51	7.26	40.05	26.72	308.15	0.14	3.73	4.84	2.60	0.07	11.28	33.12	42.87	22.96	0.63	100.07	9.81
A3838	37.951978	-121.332779	San Joaquin tidal transition zone	Port of Stockton	7/1/2020	90.51	6.95	26.79	309.12	7.69	6.57	82.17	6.09	3.76	36.34	7.38	39.76	26.82	317.96	0.15	3.71	4.99	2.73	0.14	11.61	32.01	42.94	23.56	1.18	97.46	9.75
A3840	37.952202	-121.329098	San Joaquin tidal transition zone	Port of Stockton	7/1/2020	84.63	6.70	26.86	328.12	7.76	6.59	82.50	5.58	3.84	36.36	7.42	39.62	26.90	337.62	0.16	3.43	5.25	2.76	0.26	11.75	29.59	44.22	23.66	2.10	91.33	9.89
A3842	37.952408	-121.325447	San Joaquin tidal transition zone	Port of Stockton	7/1/2020	77.21	6.28	26.95	353.44	7.90	6.77	84.93	5.22	4.11	36.69	7.90	40.02	26.98	363.18	0.17	3.22	7.51	2.92	0.52	14.23	24.44	50.38	21.39	3.33	83.49	10.10
A3844	37.952601	-121.321791	San Joaquin tidal transition zone	Port of Stockton	7/1/2020	70.35	5.91	27.02	380.51	8.09	7.07	88.86	5.23	4.60	37.28	8.91	40.90	27.05	395.84	0.18	2.97	13.67	3.44	1.09	21.17	16.37	61.50	17.29	4.79	76.26	10.35
A3846	37.952409	-121.318090	San Joaquin tidal transition zone	Port of Stockton	7/1/2020	64.21	4.92	27.09	406.09	8.33	7.47	94.03	5.40	5.22	37.76	10.17	41.70	27.12	425.19	0.19	2.91	19.46	4.14	1.58	28.06	11.16	68.53	14.89	5.53	69.13	10.56
