CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	Orthophosphate (uM) SA
A3754	38.010212	-121.456260	Central Delta tidal zone	San Joaquin River	7/1/2020	19.66	0.69	24.64	262.74	7.92	7.97	95.93	3.32	2.62	37.02	5.36	41.15	24.67	265.50	0.13	1.07	7.81	1.78	0.05	10.71	9.96	72.89	16.67	0.46	20.39	3.71
A5603	38.009884	-121.551916	South Delta tidal transition zone	Connection Slough	7/1/2020	2.25	0.95	24.00	314.18	8.54	8.62	102.44	3.01	3.18	24.93	5.43	27.13	24.04	313.51	0.16	1.63	5.43	2.62	0.29	9.97	16.37	53.14	26.29	2.87	3.20	2.14
A3732	38.012729	-121.457927	Central Delta tidal zone	San Joaquin River	7/1/2020	18.72	0.68	24.60	257.89	7.93	8.01	96.24	3.34	2.64	36.55	5.37	40.67	24.63	261.11	0.13	1.07	7.66	1.80	0.04	10.57	10.13	72.45	17.07	0.40	19.39	3.59
A5607	38.014739	-121.555934	South Delta tidal transition zone	Connection Slough	7/1/2020	2.08	0.92	23.94	323.04	8.55	8.58	101.86	3.01	3.03	24.60	5.09	26.79	23.98	317.79	0.16	1.45	5.43	2.44	0.18	9.54	15.21	52.77	25.62	1.92	3.00	2.14
A3730	38.015583	-121.459030	Central Delta tidal zone	San Joaquin River	7/1/2020	16.44	0.68	24.49	246.33	7.94	8.06	96.62	3.35	2.67	35.49	5.42	39.52	24.53	251.27	0.12	1.07	7.36	1.86	0.04	10.34	10.31	71.18	17.99	0.43	17.12	3.36
A4454	38.017290	-121.557311	Central Delta tidal zone	Old River	7/1/2020	1.95	0.88	23.90	326.28	8.55	8.56	101.52	3.00	2.95	24.36	4.95	26.50	23.92	321.81	0.16	1.36	5.42	2.39	0.12	9.30	14.60	58.97	25.65	1.34	2.83	2.14
A3728	38.017600	-121.461865	Central Delta tidal zone	San Joaquin River	7/1/2020	13.61	0.67	24.37	232.20	7.96	8.10	96.97	3.30	2.72	34.13	5.52	37.94	24.42	237.67	0.12	1.03	7.12	2.00	0.03	10.20	10.06	69.81	19.61	0.29	14.29	3.14
A3726	38.019689	-121.464463	Central Delta tidal zone	San Joaquin River	7/1/2020	11.04	0.63	24.27	218.52	8.00	8.19	97.86	3.15	2.83	32.52	5.80	36.06	24.31	219.39	0.11	0.93	6.84	2.30	0.02	10.11	9.24	67.67	22.76	0.20	11.68	2.81
A4452	38.019944	-121.558644	Central Delta tidal zone	Old River	7/1/2020	1.64	0.79	23.79	336.04	8.59	8.53	100.95	2.93	2.84	23.83	4.78	25.94	23.80	334.39	0.17	1.24	5.15	2.33	0.12	8.85	13.96	58.68	26.27	1.32	2.43	2.14
A3724	38.022530	-121.465325	Central Delta tidal zone	San Joaquin River	7/1/2020	9.87	0.60	24.24	212.12	8.02	8.28	98.82	3.09	3.05	31.78	6.22	35.17	24.28	211.86	0.10	0.99	7.11	2.65	0.01	10.77	9.17	66.08	24.54	0.05	10.48	2.63
