CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A601	38.187492	-121.581012	North Delta tidal transition zone	Sacramento River	10/1/2020	10.68	18.98	19.79	141.12	7.67	11.04	120.92	1.36	0.69	11.28	1.54	14.68	19.84	127.21	0.07	0.33	0.58	0.33	1.41	20.69	41.09	24.13	29.63	1.26	2.56
A3171	38.188166	-121.526016	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	16.17	13.50	19.26	138.47	7.53	7.81	84.72	1.95	0.92	15.97	1.71	16.85	19.27	122.96	0.05	0.88	0.77	0.00	1.73	49.21	44.46	0.23	29.67	1.53	2.59
A2558	38.188185	-121.659876	Western Delta tidal zone	Cache Slough	10/1/2020	13.83	5.15	19.91	157.59	7.79	8.44	92.69	3.35	1.49	15.83	2.43	18.54	19.94	142.59	0.07	2.14	0.53	0.96	3.66	58.32	14.63	26.15	18.98	1.52	2.62
A3026	38.189194	-121.557958	North Delta tidal transition zone	Georgiana Slough	10/1/2020	5.48	8.79	19.32	127.58	7.75	8.52	92.47	1.68	0.76	12.88	1.46	13.05	19.35	113.38	0.07	0.76	0.81	0.00	2.00	37.84	40.73	0.02	14.27	1.35	1.94
A599	38.189177	-121.578054	North Delta tidal transition zone	Sacramento River	10/1/2020	10.64	19.10	19.84	141.69	7.68	11.42	125.22	1.26	0.68	10.76	1.47	14.59	19.87	128.12	0.07	0.35	0.65	0.28	1.38	25.08	47.14	20.63	29.71	1.23	2.66
A597	38.190383	-121.574700	North Delta tidal transition zone	Sacramento River	10/1/2020	10.57	18.86	19.85	141.52	7.68	11.49	125.98	1.21	0.68	10.61	1.42	14.52	19.88	128.07	0.07	0.34	0.65	0.29	1.38	25.14	47.24	20.19	29.43	1.22	2.70
A3024	38.190953	-121.555073	North Delta tidal transition zone	Georgiana Slough	10/1/2020	5.11	8.35	19.33	127.19	7.76	8.55	92.75	1.67	0.76	12.75	1.46	12.90	19.36	113.06	0.07	0.76	0.81	0.00	2.01	37.70	40.41	0.01	13.46	1.34	1.90
A3169	38.190843	-121.527336	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	16.05	13.37	19.27	138.46	7.53	7.81	84.68	1.91	0.91	15.95	1.69	16.84	19.28	123.02	0.05	0.88	0.76	0.00	1.75	49.51	43.51	0.28	29.42	1.52	2.57
A2556	38.190870	-121.658472	Western Delta tidal zone	Cache Slough	10/1/2020	13.86	5.05	19.93	157.14	7.79	8.41	92.41	3.36	1.48	16.15	2.45	18.54	19.96	142.29	0.07	2.14	0.53	0.98	3.70	57.88	14.45	26.45	18.91	1.53	2.63
A595	38.191553	-121.571382	North Delta tidal transition zone	Sacramento River	10/1/2020	9.99	17.70	19.76	139.55	7.69	11.08	121.32	1.27	0.71	10.99	1.42	14.38	19.81	125.97	0.07	0.42	0.68	0.23	1.50	27.37	46.64	14.95	27.69	1.24	2.65
A593	38.192615	-121.567915	North Delta tidal transition zone	Sacramento River	10/1/2020	9.70	16.55	19.70	138.68	7.69	11.17	122.21	1.34	0.72	10.80	1.48	14.38	19.76	125.25	0.07	0.42	0.71	0.23	1.52	27.59	47.37	15.39	26.25	1.23	2.61
A3022	38.192788	-121.552238	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.83	7.91	19.34	126.93	7.77	8.56	92.95	1.67	0.75	12.66	1.46	12.80	19.37	112.89	0.07	0.76	0.82	0.00	2.02	37.70	40.55	0.01	12.74	1.34	1.88
A3167	38.193423	-121.529020	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	15.83	13.22	19.28	138.39	7.53	7.82	84.75	1.88	0.89	15.90	1.68	16.80	19.29	123.01	0.05	0.88	0.75	0.00	1.75	50.01	42.71	0.29	29.05	1.52	2.56
