CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A3180	38.176938	-121.526261	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	15.80	14.60	19.26	138.56	7.55	7.95	86.21	1.93	0.85	15.61	1.63	16.51	19.26	123.19	0.05	0.84	0.76	0.02	1.66	51.51	37.98	1.16	30.40	1.50	2.72
A610	38.176939	-121.590579	North Delta tidal transition zone	Sacramento River	10/1/2020	10.61	14.61	19.95	137.33	7.71	10.67	118.91	1.24	0.69	10.62	1.61	13.63	19.99	123.51	0.07	0.32	0.70	0.27	1.56	20.78	44.55	18.16	25.21	1.21	2.23
A659	38.178146	-121.667403	Western Delta tidal zone	Sacramento River	10/1/2020	14.11	5.80	19.91	163.16	7.78	8.46	92.94	3.29	1.50	14.82	2.33	18.45	19.95	146.28	0.08	1.97	0.56	0.91	3.51	56.00	16.07	25.91	19.91	1.46	2.58
A3041	38.178019	-121.579516	North Delta tidal transition zone	Georgiana Slough	10/1/2020	9.76	19.13	19.32	135.42	7.65	8.33	90.49	1.65	0.71	15.18	1.41	15.64	19.35	120.42	0.07	0.77	0.75	0.00	1.88	30.06	40.09	0.18	28.85	1.47	2.64
A608	38.179434	-121.588751	North Delta tidal transition zone	Sacramento River	10/1/2020	10.74	15.56	19.98	138.78	7.70	10.73	117.65	1.17	0.66	10.84	1.53	13.82	20.03	124.86	0.07	0.29	0.60	0.33	1.45	20.16	41.33	23.19	26.30	1.23	2.27
A3178	38.179640	-121.526731	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	15.90	14.44	19.25	138.56	7.55	7.92	85.80	1.96	0.86	15.68	1.63	16.58	19.25	123.18	0.05	0.84	0.76	0.01	1.65	51.23	36.37	1.18	30.34	1.51	2.71
A3039	38.180644	-121.578141	North Delta tidal transition zone	Georgiana Slough	10/1/2020	9.47	18.39	19.32	134.99	7.66	8.35	90.68	1.65	0.71	15.01	1.39	15.42	19.34	119.86	0.07	0.77	0.74	0.00	1.86	26.86	40.08	0.09	27.83	1.47	2.57
A3037	38.181763	-121.575002	North Delta tidal transition zone	Georgiana Slough	10/1/2020	9.10	17.78	19.31	134.45	7.66	8.38	90.90	1.64	0.71	14.82	1.38	15.20	19.34	119.18	0.07	0.78	0.74	0.00	1.84	27.14	40.14	0.01	26.87	1.46	2.50
A3035	38.181962	-121.571385	North Delta tidal transition zone	Georgiana Slough	10/1/2020	8.45	16.74	19.31	133.37	7.68	8.41	91.29	1.64	0.71	14.50	1.37	14.83	19.34	118.00	0.07	0.78	0.73	0.00	1.85	29.15	39.46	0.00	25.18	1.44	2.39
A606	38.181918	-121.586857	North Delta tidal transition zone	Sacramento River	10/1/2020	10.89	16.93	19.94	140.28	7.68	10.90	119.72	1.18	0.66	10.92	1.49	14.17	20.00	126.33	0.07	0.27	0.54	0.38	1.38	19.34	38.89	27.68	27.82	1.24	2.37
A3176	38.182215	-121.527557	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	16.14	14.04	19.25	138.59	7.53	7.86	85.13	2.00	0.89	15.84	1.67	16.74	19.25	123.20	0.05	0.86	0.75	0.02	1.66	51.50	36.15	1.18	30.18	1.52	2.67
A3033	38.183429	-121.568212	North Delta tidal transition zone	Georgiana Slough	10/1/2020	7.68	14.76	19.30	131.73	7.69	8.43	91.50	1.65	0.73	14.07	1.40	14.36	19.33	116.67	0.07	0.77	0.74	0.00	1.89	32.77	39.27	0.01	22.44	1.42	2.28
A3174	38.184140	-121.524709	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	16.21	13.81	19.25	138.56	7.53	7.84	84.91	2.00	0.91	15.92	1.70	16.81	19.25	123.08	0.05	0.87	0.76	0.01	1.69	50.36	43.50	1.03	30.02	1.52	2.64
A604	38.184324	-121.584783	North Delta tidal transition zone	Sacramento River	10/1/2020	10.89	17.80	19.89	140.96	7.68	11.05	121.23	1.26	0.68	10.95	1.51	14.39	19.95	127.00	0.07	0.25	0.52	0.40	1.36	18.63	37.78	29.50	28.69	1.24	2.44
A2561	38.184260	-121.662277	Western Delta tidal zone	Cache Slough	10/1/2020	13.81	5.51	19.89	159.10	7.78	8.44	92.66	3.42	1.50	15.25	2.39	18.57	19.92	143.79	0.08	2.15	0.52	0.95	3.64	59.17	14.23	26.19	19.31	1.49	2.60
A3031	38.185075	-121.565208	North Delta tidal transition zone	Georgiana Slough	10/1/2020	6.89	12.52	19.29	130.09	7.71	8.45	91.70	1.66	0.74	13.63	1.43	13.88	19.32	115.41	0.07	0.76	0.77	0.00	1.93	40.14	40.07	0.02	19.41	1.39	2.19
A3029	38.186208	-121.561849	North Delta tidal transition zone	Georgiana Slough	10/1/2020	6.03	9.87	19.30	128.36	7.74	8.48	92.00	1.67	0.76	13.15	1.47	13.35	19.32	114.07	0.07	0.76	0.81	0.00	1.98	38.85	40.96	0.03	15.90	1.36	2.05
A3172	38.186741	-121.525547	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	16.24	13.65	19.25	138.54	7.53	7.82	84.77	1.98	0.92	15.96	1.72	16.84	19.26	123.04	0.05	0.88	0.76	0.01	1.71	50.09	44.19	0.72	29.89	1.53	2.62
A602	38.186563	-121.582418	North Delta tidal transition zone	Sacramento River	10/1/2020	10.84	18.67	19.85	141.51	7.67	11.21	122.90	1.32	0.69	10.97	1.55	14.57	19.91	127.64	0.07	0.26	0.53	0.39	1.36	19.25	38.70	28.93	29.50	1.24	2.51
A2559	38.186798	-121.660554	Western Delta tidal zone	Cache Slough	10/1/2020	13.78	5.34	19.90	158.45	7.78	8.45	92.72	3.41	1.51	15.41	2.41	18.57	19.92	143.26	0.08	2.17	0.51	0.96	3.66	59.15	14.10	26.17	19.13	1.49	2.61
A3027	38.188073	-121.559113	North Delta tidal transition zone	Georgiana Slough	10/1/2020	5.65	9.00	19.31	127.78	7.75	8.50	92.30	1.68	0.76	12.95	1.47	13.13	19.34	113.56	0.07	0.76	0.81	0.00	1.99	38.07	40.88	0.02	14.66	1.35	1.97
A600	38.188368	-121.579570	North Delta tidal transition zone	Sacramento River	10/1/2020	10.70	19.19	19.84	141.74	7.67	11.36	124.58	1.30	0.68	10.86	1.52	14.63	19.87	128.09	0.07	0.32	0.61	0.32	1.36	23.12	44.45	23.80	29.85	1.24	2.62
A3170	38.189537	-121.526488	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	16.20	13.52	19.26	138.56	7.53	7.81	84.67	1.94	0.92	15.96	1.71	16.86	19.27	123.13	0.05	0.88	0.76	0.01	1.73	50.62	43.71	0.45	29.72	1.53	2.60
A2557	38.189525	-121.659164	Western Delta tidal zone	Cache Slough	10/1/2020	13.83	5.15	19.91	157.59	7.79	8.44	92.69	3.35	1.49	15.83	2.43	18.54	19.94	142.59	0.07	2.14	0.53	0.96	3.66	58.32	14.63	26.15	18.98	1.52	2.62
A3025	38.190150	-121.556606	North Delta tidal transition zone	Georgiana Slough	10/1/2020	5.32	8.56	19.33	127.39	7.76	8.53	92.61	1.67	0.76	12.82	1.46	12.97	19.35	113.21	0.07	0.76	0.81	0.00	2.00	37.89	40.67	0.01	13.87	1.35	1.92
A598	38.189802	-121.576381	North Delta tidal transition zone	Sacramento River	10/1/2020	10.62	19.04	19.84	141.63	7.68	11.43	125.36	1.25	0.68	10.72	1.46	14.58	19.88	128.10	0.07	0.34	0.64	0.29	1.37	24.70	46.71	21.46	29.63	1.23	2.67
A596	38.190971	-121.573026	North Delta tidal transition zone	Sacramento River	10/1/2020	10.30	18.32	19.81	140.58	7.68	11.29	123.70	1.22	0.69	10.79	1.41	14.44	19.85	127.06	0.07	0.38	0.66	0.27	1.44	25.53	46.56	18.01	28.63	1.23	2.68
A3023	38.191783	-121.553567	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.83	7.91	19.34	126.93	7.77	8.56	92.95	1.67	0.75	12.66	1.46	12.80	19.37	112.89	0.07	0.76	0.82	0.00	2.02	37.70	40.55	0.01	12.74	1.34	1.88
A3168	38.192043	-121.528358	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	15.83	13.22	19.28	138.39	7.53	7.82	84.75	1.88	0.89	15.90	1.68	16.80	19.29	123.01	0.05	0.88	0.75	0.00	1.75	50.01	42.71	0.29	29.05	1.52	2.56
A594	38.192128	-121.569682	North Delta tidal transition zone	Sacramento River	10/1/2020	10.16	17.59	19.78	140.08	7.69	11.42	125.04	1.26	0.71	10.60	1.45	14.43	19.84	126.74	0.07	0.39	0.69	0.26	1.47	26.47	47.80	16.55	27.75	1.22	2.68
A2555	38.192144	-121.657581	Western Delta tidal zone	Cache Slough	10/1/2020	13.89	5.04	19.95	156.41	7.80	8.44	92.76	3.46	1.51	16.47	2.49	18.53	19.99	141.88	0.07	2.13	0.51	1.03	3.79	56.32	13.51	27.18	18.93	1.55	2.64
A592	38.193051	-121.566170	North Delta tidal transition zone	Sacramento River	10/1/2020	9.25	15.52	19.64	137.34	7.70	10.95	119.68	1.42	0.73	10.98	1.50	14.31	19.68	123.79	0.07	0.45	0.72	0.21	1.56	28.23	46.30	14.64	24.77	1.24	2.54
A3021	38.193763	-121.550916	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.59	7.48	19.34	126.86	7.77	8.57	93.03	1.66	0.75	12.64	1.47	12.78	19.37	112.96	0.07	0.76	0.82	0.00	2.02	37.60	40.73	0.00	12.07	1.34	1.87
A3262	38.194625	-121.478393	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	13.27	6.64	19.57	123.92	7.58	8.39	91.56	1.74	1.35	15.80	2.45	16.21	19.61	111.33	0.06	1.15	0.91	0.01	2.96	39.72	31.64	0.28	19.91	1.51	1.95
A590	38.194463	-121.562967	North Delta tidal transition zone	Sacramento River	10/1/2020	9.81	16.21	19.71	138.88	7.70	11.59	126.81	1.37	0.71	10.33	1.52	14.48	19.73	125.37	0.07	0.37	0.67	0.28	1.46	24.74	46.20	19.61	26.02	1.20	2.61
A4077	38.195045	-121.472816	Mokelumne tidal transition zone	Beaver Slough	10/1/2020	13.16	6.66	19.53	122.16	7.58	8.38	91.32	1.83	1.34	15.63	2.44	16.08	19.57	109.70	0.06	1.12	0.89	0.02	2.95	40.79	32.69	0.63	19.82	1.50	1.96
A2553	38.194945	-121.656800	Western Delta tidal zone	Cache Slough	10/1/2020	13.84	5.13	19.95	156.43	7.80	8.46	92.93	3.61	1.52	16.31	2.49	18.57	19.99	141.89	0.07	2.16	0.47	1.08	3.86	56.09	12.23	27.85	18.97	1.54	2.65
A3166	38.194922	-121.529026	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	15.54	13.07	19.28	138.19	7.53	7.83	84.94	1.86	0.88	15.85	1.67	16.73	19.29	122.78	0.05	0.88	0.74	0.00	1.75	49.86	42.50	0.20	28.61	1.52	2.52
A3019	38.195570	-121.547978	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.33	7.14	19.33	127.01	7.77	8.57	92.98	1.65	0.76	12.67	1.48	12.82	19.37	113.21	0.07	0.76	0.82	0.00	2.03	37.45	40.54	0.00	11.47	1.34	1.86
A3260	38.196812	-121.478077	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	13.19	6.64	19.53	122.25	7.58	8.39	91.47	1.83	1.34	15.64	2.43	16.06	19.56	109.88	0.06	1.11	0.89	0.01	2.91	40.34	32.76	0.44	19.82	1.51	1.94
A3164	38.196938	-121.526473	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	15.10	12.92	19.28	137.76	7.53	7.87	85.31	1.83	0.87	15.78	1.65	16.62	19.28	122.31	0.05	0.87	0.73	0.00	1.74	47.41	42.30	0.19	28.02	1.52	2.47
A588	38.196721	-121.560664	North Delta tidal transition zone	Sacramento River	10/1/2020	10.10	16.50	19.77	139.59	7.70	11.94	130.71	1.30	0.71	9.92	1.52	14.50	19.78	126.17	0.07	0.32	0.63	0.32	1.40	22.46	44.92	23.10	26.60	1.18	2.65
A2551	38.197816	-121.657129	Western Delta tidal zone	Cache Slough	10/1/2020	13.61	5.34	19.93	156.75	7.80	8.62	94.73	3.79	1.52	15.40	2.45	18.70	19.96	141.99	0.07	2.23	0.40	1.15	3.95	56.25	10.14	29.09	18.95	1.49	2.68
A3017	38.198043	-121.546193	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.19	7.04	19.33	127.79	7.77	8.57	92.95	1.64	0.78	12.80	1.50	12.96	19.36	114.04	0.07	0.77	0.82	0.00	2.01	37.93	40.68	0.00	11.23	1.35	1.85
A3258	38.199215	-121.477073	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	13.07	6.60	19.50	120.98	7.58	8.39	91.40	1.88	1.31	15.56	2.38	15.96	19.54	108.69	0.06	1.08	0.88	0.02	2.87	36.38	29.59	0.75	19.67	1.50	1.93
A3162	38.199161	-121.524568	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	14.62	12.75	19.27	137.22	7.54	7.91	85.74	1.79	0.86	15.68	1.62	16.49	19.27	121.77	0.05	0.87	0.73	0.00	1.73	39.04	42.24	0.22	27.37	1.51	2.42
A586	38.199258	-121.558874	North Delta tidal transition zone	Sacramento River	10/1/2020	10.03	16.04	19.81	139.24	7.70	12.01	131.56	1.24	0.71	9.71	1.51	14.36	19.82	125.93	0.07	0.30	0.61	0.34	1.39	21.55	43.74	24.44	26.08	1.17	2.63
A3015	38.200385	-121.544153	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.27	7.37	19.33	128.54	7.76	8.55	92.85	1.63	0.78	12.94	1.52	13.11	19.36	114.68	0.07	0.76	0.82	0.00	2.00	38.12	41.16	0.00	11.64	1.35	1.85
A2549	38.200742	-121.657218	Western Delta tidal zone	Cache Slough	10/1/2020	13.62	5.31	19.91	156.53	7.81	9.07	99.61	3.70	1.50	14.66	2.42	18.86	19.93	141.68	0.07	2.18	0.42	1.15	3.89	55.83	11.12	29.48	18.93	1.45	2.69
A3256	38.201341	-121.476395	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	12.92	6.58	19.49	119.73	7.57	8.39	91.33	1.93	1.28	15.51	2.34	15.88	19.52	107.47	0.06	1.06	0.86	0.03	2.83	36.03	29.33	1.01	19.50	1.50	1.91
A3013	38.201655	-121.540846	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.30	7.60	19.33	128.86	7.76	8.54	92.72	1.63	0.79	13.00	1.53	13.17	19.35	114.92	0.07	0.76	0.83	0.00	2.01	37.65	41.41	0.00	11.90	1.36	1.85
A3160	38.201474	-121.522319	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	14.18	12.57	19.26	136.65	7.54	7.95	86.14	1.75	0.84	15.56	1.60	16.38	19.26	121.22	0.05	0.87	0.71	0.00	1.70	24.71	42.01	0.29	26.75	1.50	2.36
A584	38.202038	-121.557801	North Delta tidal transition zone	Sacramento River	10/1/2020	9.96	15.16	19.85	138.44	7.70	12.07	132.43	1.17	0.73	9.40	1.46	14.21	19.86	125.43	0.07	0.28	0.59	0.35	1.36	20.87	43.73	25.90	25.12	1.15	2.57
A3156	38.202946	-121.515678	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	13.47	11.97	19.25	134.90	7.54	8.04	87.08	1.68	0.80	15.44	1.57	16.20	19.25	119.66	0.05	0.89	0.69	0.00	1.65	40.40	41.87	0.02	25.44	1.50	2.23
A3158	38.203110	-121.519375	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	13.70	12.28	19.25	135.73	7.54	8.00	86.66	1.70	0.82	15.42	1.58	16.25	19.25	120.31	0.05	0.87	0.70	0.00	1.66	18.04	41.97	0.20	25.98	1.49	2.28
A3154	38.202709	-121.512273	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	13.44	11.81	19.24	134.57	7.54	8.05	87.27	1.69	0.81	15.46	1.59	16.18	19.25	119.43	0.05	0.90	0.68	0.00	1.65	51.07	41.41	0.01	25.25	1.50	2.19
A3254	38.203707	-121.478486	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	12.79	6.61	19.48	119.08	7.58	8.39	91.35	1.99	1.26	15.58	2.31	15.87	19.50	106.64	0.06	1.04	0.86	0.03	2.79	34.17	27.92	0.97	19.40	1.50	1.87
A2547	38.203528	-121.657584	Western Delta tidal zone	Cache Slough	10/1/2020	13.69	5.24	19.89	156.33	7.81	9.24	101.42	3.52	1.53	13.50	2.37	18.88	19.90	141.42	0.07	2.01	0.54	1.06	3.77	52.88	14.83	27.99	18.93	1.38	2.70
A3011	38.204247	-121.540640	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.43	8.18	19.34	129.58	7.76	8.56	92.89	1.61	0.78	13.13	1.51	13.35	19.36	115.62	0.06	0.76	0.81	0.00	1.97	31.11	41.36	0.00	12.62	1.37	1.84
A582	38.204908	-121.557668	North Delta tidal transition zone	Sacramento River	10/1/2020	9.91	14.78	19.87	138.06	7.70	12.09	132.71	1.15	0.73	9.29	1.43	14.16	19.88	125.21	0.07	0.29	0.60	0.34	1.36	21.11	44.36	25.56	24.68	1.14	2.55
A3152	38.204887	-121.509733	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	13.34	11.39	19.25	133.62	7.55	8.11	87.87	1.79	0.89	15.42	1.71	16.13	19.26	118.57	0.05	0.95	0.73	0.00	1.78	50.11	41.05	0.01	24.80	1.50	2.09
A3252	38.206151	-121.480254	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	12.65	6.67	19.46	118.71	7.58	8.41	91.58	2.14	1.22	15.75	2.24	15.93	19.47	105.78	0.06	1.03	0.85	0.03	2.68	37.32	31.22	1.03	19.31	1.51	1.78
A3009	38.207114	-121.541210	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.47	8.48	19.35	129.86	7.76	8.57	93.04	1.60	0.78	13.18	1.50	13.42	19.38	115.90	0.06	0.76	0.80	0.00	1.96	30.48	41.01	0.00	12.96	1.37	1.84
A2545	38.206251	-121.658567	Western Delta tidal zone	Cache Slough	10/1/2020	13.64	5.10	19.86	155.88	7.81	9.80	107.54	3.30	1.85	12.24	2.44	19.26	19.86	140.98	0.07	1.88	0.70	1.00	3.75	49.68	19.01	26.41	18.74	1.31	2.74
A3250	38.207599	-121.483211	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	12.76	6.74	19.47	119.99	7.59	8.44	91.89	2.15	1.18	15.78	2.19	15.98	19.48	107.04	0.06	1.03	0.84	0.03	2.63	39.36	31.57	1.11	19.51	1.51	1.76
A3150	38.207450	-121.508345	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	13.34	11.30	19.26	133.54	7.55	8.13	87.99	1.80	0.90	15.36	1.71	16.11	19.27	118.53	0.05	0.97	0.76	0.00	1.84	48.39	41.42	0.02	24.69	1.49	2.07
A580	38.207817	-121.557605	North Delta tidal transition zone	Sacramento River	10/1/2020	9.61	14.01	19.90	137.19	7.71	12.13	133.27	1.12	0.74	9.04	1.40	14.02	19.92	124.58	0.07	0.30	0.63	0.33	1.36	21.43	45.51	24.70	23.62	1.13	2.48
A3248	38.208189	-121.486738	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	12.44	6.65	19.44	119.93	7.60	8.55	93.04	2.23	1.12	15.70	2.06	15.92	19.46	107.16	0.06	1.03	0.82	0.03	2.51	37.75	32.79	1.00	19.09	1.51	1.67
A2543	38.208268	-121.660959	Western Delta tidal zone	Cache Slough	10/1/2020	13.44	5.05	19.87	155.60	7.81	9.68	106.18	3.30	1.87	13.48	2.53	19.32	19.88	140.84	0.07	2.06	0.64	1.07	3.93	52.02	16.82	27.06	18.49	1.38	2.76
A3007	38.209759	-121.539941	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.48	9.09	19.37	130.28	7.76	8.58	93.22	1.57	0.80	13.24	1.50	13.48	19.39	116.11	0.06	0.76	0.79	0.00	1.96	32.36	40.27	0.00	13.57	1.37	1.81
A3148	38.209951	-121.507013	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	13.18	10.89	19.27	132.07	7.56	8.18	88.61	1.78	0.90	15.31	1.69	16.05	19.28	117.47	0.05	0.99	0.78	0.00	1.93	39.69	40.87	0.10	24.20	1.49	2.02
A3244	38.210273	-121.492821	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	11.01	6.33	19.33	113.67	7.56	8.61	93.45	2.28	1.09	15.69	2.07	15.59	19.36	101.99	0.06	1.04	0.82	0.01	2.50	38.69	33.09	0.27	17.61	1.51	1.62
A3005	38.210796	-121.536318	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.47	9.17	19.36	130.34	7.76	8.57	93.08	1.58	0.81	13.26	1.51	13.50	19.39	116.11	0.06	0.76	0.79	0.00	1.96	34.41	40.27	0.00	13.64	1.37	1.81
A578	38.210704	-121.557650	North Delta tidal transition zone	Sacramento River	10/1/2020	9.39	13.77	19.91	136.77	7.71	12.17	133.89	1.12	0.75	8.90	1.40	13.97	19.93	124.16	0.07	0.30	0.64	0.32	1.36	21.57	46.23	24.16	23.15	1.12	2.44
A2541	38.210161	-121.663743	Western Delta tidal zone	Cache Slough	10/1/2020	13.29	5.02	19.89	155.33	7.82	9.58	105.15	3.33	1.77	15.23	2.64	19.31	19.91	140.82	0.07	2.30	0.52	1.20	4.13	55.51	12.82	29.02	18.31	1.48	2.78
A3146	38.211893	-121.504459	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	12.28	10.05	19.25	125.95	7.54	8.24	89.32	1.81	0.93	15.25	1.75	15.83	19.27	111.96	0.05	1.00	0.78	0.00	2.04	36.25	38.88	0.12	22.76	1.48	1.96
A3242	38.212718	-121.494603	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	9.44	5.70	19.25	105.32	7.50	8.57	92.88	2.22	1.11	15.33	2.11	15.23	19.28	94.94	0.06	1.06	0.82	0.00	2.62	39.05	31.60	0.12	15.68	1.49	1.61
A2539	38.212207	-121.666370	Western Delta tidal zone	Cache Slough	10/1/2020	13.25	4.89	19.96	155.45	7.83	8.98	98.68	3.30	1.55	17.30	2.71	19.11	19.98	141.17	0.07	2.45	0.45	1.28	4.33	56.62	10.30	29.54	18.14	1.60	2.81
A3003	38.213076	-121.537264	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.42	9.28	19.37	130.15	7.76	8.58	93.21	1.56	0.81	13.21	1.52	13.43	19.40	115.84	0.06	0.76	0.79	0.00	1.96	35.03	40.27	0.00	13.71	1.36	1.79
A576	38.213606	-121.557744	North Delta tidal transition zone	Sacramento River	10/1/2020	9.19	13.76	19.92	136.45	7.71	12.24	134.69	1.12	0.75	8.78	1.40	13.98	19.93	123.68	0.07	0.29	0.63	0.31	1.35	21.84	46.42	23.77	22.95	1.12	2.37
A3144	38.214694	-121.504958	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	11.91	9.69	19.24	123.49	7.53	8.26	89.53	1.83	0.94	15.18	1.75	15.74	19.25	110.09	0.05	1.01	0.78	0.00	2.06	43.88	38.77	0.10	22.04	1.48	1.98
A3240	38.215012	-121.496718	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	7.59	4.91	19.15	94.88	7.44	8.52	92.16	2.14	1.15	14.81	2.17	14.79	19.18	86.10	0.05	1.08	0.83	0.00	2.77	33.73	30.09	0.01	13.30	1.46	1.64
A3001	38.215158	-121.539689	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.37	9.27	19.38	129.74	7.77	8.61	93.52	1.52	0.79	13.10	1.50	13.30	19.41	115.44	0.06	0.76	0.80	0.00	1.99	33.73	40.24	0.00	13.64	1.36	1.77
A2537	38.214506	-121.668684	Western Delta tidal zone	Cache Slough	10/1/2020	13.13	4.72	19.98	155.75	7.84	9.01	99.05	3.29	1.54	17.33	2.67	19.19	19.99	141.39	0.07	2.34	0.44	1.24	4.25	55.03	10.31	29.33	17.85	1.60	2.84
A574	38.216513	-121.557650	North Delta tidal transition zone	Sacramento River	10/1/2020	8.94	14.36	19.90	136.11	7.70	12.33	135.55	1.15	0.78	8.74	1.38	14.16	19.92	122.94	0.07	0.32	0.61	0.28	1.31	24.24	46.77	21.96	23.30	1.12	2.18
A2999	38.216889	-121.542559	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.31	9.08	19.39	129.04	7.78	8.65	93.89	1.48	0.75	12.94	1.48	13.13	19.42	114.84	0.06	0.76	0.80	0.00	1.98	35.46	40.27	0.00	13.39	1.35	1.76
A3142	38.217407	-121.506208	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	11.47	9.17	19.22	120.40	7.52	8.28	89.73	1.85	0.94	15.09	1.75	15.63	19.24	107.47	0.04	1.03	0.77	0.00	2.10	52.46	38.28	0.08	21.00	1.47	2.01
A3238	38.217540	-121.498721	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	6.35	4.34	19.06	87.28	7.40	8.47	91.38	2.10	1.19	14.41	2.19	14.47	19.10	79.15	0.04	1.09	0.83	0.00	2.87	33.44	29.60	0.02	11.48	1.44	1.70
A2535	38.216962	-121.670663	Western Delta tidal zone	Cache Slough	10/1/2020	13.06	4.54	19.98	156.08	7.84	9.12	100.23	3.29	1.48	17.24	2.59	19.30	20.00	141.63	0.07	2.25	0.38	1.24	4.19	53.63	9.15	29.74	17.60	1.60	2.86
A572	38.219378	-121.557306	North Delta tidal transition zone	Sacramento River	10/1/2020	8.78	14.89	19.86	135.85	7.70	12.22	134.19	1.20	0.79	8.93	1.40	14.29	19.88	122.48	0.06	0.35	0.63	0.25	1.33	26.47	47.91	19.67	23.68	1.14	2.07
A2997	38.219626	-121.543372	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.20	8.98	19.39	128.41	7.78	8.64	93.81	1.46	0.76	12.81	1.50	12.98	19.42	114.25	0.06	0.75	0.80	0.00	2.00	35.23	40.06	0.00	13.18	1.34	1.73
A3236	38.220013	-121.497885	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	4.15	2.21	18.92	72.17	7.37	8.44	90.80	2.22	1.36	13.93	2.43	13.91	18.95	65.17	0.04	1.12	0.88	0.00	3.22	28.39	27.56	0.05	6.35	1.41	1.59
A2533	38.219574	-121.672372	Western Delta tidal zone	Cache Slough	10/1/2020	13.02	4.41	19.98	156.26	7.83	9.20	101.17	3.31	1.48	17.10	2.61	19.38	20.00	141.78	0.07	2.26	0.32	1.30	4.26	53.01	7.57	30.46	17.43	1.59	2.88
A3140	38.220229	-121.507089	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	12.79	9.88	19.28	128.58	7.56	8.27	89.65	1.78	0.85	15.29	1.64	15.91	19.29	114.64	0.04	1.03	0.70	0.00	1.85	58.80	38.91	0.29	22.71	1.49	2.20
