CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A469	38.312656	-121.577551	North Delta tidal transition zone	Sacramento River	10/1/2021	20.27	0.24	19.78	161.52	7.88	8.62	94.36	1.58	0.41	11.90	1.27	11.46	19.79	146.44	0.08	1.11	2.07	0.54	0.00	3.72	29.85	55.17	14.50	0.00	20.91	1.38	0.97
A2398	38.312889	-121.692853	Cache Slough complex	Shag Slough	10/1/2021	4.08	0.25	20.97	286.32	7.77	7.21	80.91	4.59	2.62	40.08	7.13	44.06	21.02	266.93	0.14	1.44	1.63	3.55	1.15	7.72	17.90	21.78	46.07	14.73	4.33	2.94	5.14
A2312	38.314782	-121.667189	Cache Slough complex	Liberty Cut	10/1/2021	2.33	0.35	21.33	249.39	7.82	7.24	81.76	3.83	1.09	28.30	2.87	30.17	21.37	231.37	0.12	0.52	0.98	0.68	0.88	3.09	16.92	32.12	21.91	28.58	2.99	2.29	2.61
A467	38.315537	-121.577963	North Delta tidal transition zone	Sacramento River	10/1/2021	19.57	0.24	19.78	160.63	7.89	8.61	94.27	1.50	0.40	11.88	1.26	11.43	19.79	145.43	0.08	1.09	2.08	0.53	0.00	3.70	29.32	55.41	14.30	0.00	20.50	1.39	0.97
A2396	38.315775	-121.692982	Cache Slough complex	Shag Slough	10/1/2021	4.05	0.25	21.14	289.15	7.74	7.04	79.18	4.21	2.62	40.64	7.10	44.66	21.17	270.46	0.14	0.95	1.66	3.73	1.07	7.38	13.52	23.02	49.57	14.26	4.30	2.97	5.05
A2310	38.317689	-121.667196	Cache Slough complex	Liberty Cut	10/1/2021	2.39	0.39	21.33	252.84	7.79	7.14	80.64	3.91	1.14	28.83	3.02	30.67	21.37	234.33	0.12	0.56	1.00	0.79	0.90	3.29	17.09	30.78	23.80	27.44	3.09	2.32	2.66
A465	38.318434	-121.577793	North Delta tidal transition zone	Sacramento River	10/1/2021	17.41	0.23	19.76	158.36	7.89	8.61	94.27	1.47	0.40	11.89	1.26	11.44	19.77	143.27	0.08	1.06	2.10	0.52	0.00	3.68	28.89	54.29	12.34	0.00	19.67	1.39	0.96
A2394	38.318682	-121.692991	Cache Slough complex	Shag Slough	10/1/2021	4.06	0.24	21.18	290.60	7.72	6.93	78.05	4.08	2.59	40.97	6.98	45.07	21.19	271.91	0.14	0.98	1.64	3.48	0.98	7.06	14.83	23.86	48.00	13.61	4.30	2.99	4.98
A2308	38.320579	-121.667213	Cache Slough complex	Liberty Cut	10/1/2021	2.51	0.45	21.23	260.73	7.76	7.01	79.03	4.31	1.23	30.30	3.26	32.39	21.29	240.86	0.12	0.65	1.07	0.88	0.89	3.54	18.53	30.44	24.71	25.27	3.28	2.40	2.74
A463	38.321313	-121.577352	North Delta tidal transition zone	Sacramento River	10/1/2021	16.33	0.23	19.75	157.40	7.89	8.61	94.29	1.46	0.42	11.91	1.26	11.46	19.76	142.53	0.08	1.07	2.09	0.53	0.00	3.68	29.07	46.42	10.16	0.00	19.23	1.39	0.96
A2294	38.321896	-121.685215	Cache Slough complex	Stairstep	10/1/2021	3.96	0.70	20.03	293.89	7.62	6.33	69.70	5.31	1.95	43.19	5.06	48.09	20.08	267.81	0.14	1.27	1.68	1.61	0.44	5.01	25.81	34.00	31.33	8.69	4.67	3.11	4.11
A2296	38.321769	-121.688931	Cache Slough complex	Stairstep	10/1/2021	3.94	0.41	20.51	294.82	7.65	6.51	72.34	4.70	2.24	42.99	5.68	47.85	20.48	271.17	0.14	1.41	1.66	2.03	0.61	5.70	25.62	30.04	34.14	10.37	4.35	3.10	4.51
A2392	38.321738	-121.692938	Cache Slough complex	Shag Slough	10/1/2021	3.95	0.27	21.11	293.17	7.69	6.73	75.74	4.14	2.29	41.67	6.06	45.94	21.09	273.65	0.14	1.23	1.58	2.47	0.79	6.06	21.01	26.61	39.66	12.83	4.22	3.03	4.79
A2306	38.323482	-121.667222	Cache Slough complex	Liberty Cut	10/1/2021	2.55	0.48	21.18	264.99	7.75	6.99	78.70	4.74	1.31	31.15	3.51	33.35	21.25	244.70	0.13	0.69	1.13	1.02	0.89	3.76	18.37	30.16	26.68	23.80	3.36	2.45	2.77
A461	38.324125	-121.576525	North Delta tidal transition zone	Sacramento River	10/1/2021	15.08	0.23	19.74	156.72	7.89	8.63	94.39	1.46	0.45	11.96	1.26	11.53	19.76	142.32	0.08	1.07	2.08	0.54	0.00	3.69	28.93	47.10	10.58	0.00	18.35	1.39	0.95
A2292	38.324537	-121.684880	Cache Slough complex	Stairstep	10/1/2021	3.94	0.74	19.98	294.09	7.61	6.30	69.25	5.53	1.81	42.97	4.80	47.83	20.04	267.73	0.14	1.27	1.68	1.49	0.41	4.85	26.27	34.78	30.26	8.43	4.70	3.10	4.02
A2390	38.324809	-121.693483	Cache Slough complex	Shag Slough	10/1/2021	3.87	0.31	21.04	294.25	7.67	6.64	74.66	4.25	1.97	41.95	5.24	46.24	21.01	274.23	0.14	1.32	1.56	1.95	0.65	5.49	23.99	28.61	35.39	11.87	4.18	3.05	4.69
A2304	38.326372	-121.667242	Cache Slough complex	Liberty Cut	10/1/2021	2.64	0.53	21.19	272.71	7.74	6.98	78.58	5.79	1.41	32.46	3.74	35.01	21.25	252.75	0.13	0.85	1.25	1.24	0.88	4.22	20.40	29.93	28.48	20.92	3.45	2.52	2.80
A2290	38.327436	-121.684858	Cache Slough complex	Stairstep	10/1/2021	3.88	0.75	19.97	294.18	7.61	6.28	69.06	5.80	1.66	42.41	4.53	47.11	20.03	267.50	0.14	1.26	1.69	1.44	0.38	4.77	26.29	35.48	30.09	8.00	4.64	3.07	3.92
A2288	38.329038	-121.682719	Cache Slough complex	Stairstep	10/1/2021	3.74	0.67	19.98	291.24	7.61	6.34	69.76	6.27	1.57	40.53	4.32	44.79	20.06	264.46	0.14	1.22	1.71	1.51	0.41	4.83	25.23	35.41	31.08	8.48	4.45	2.97	3.67
A2286	38.329038	-121.679060	Cache Slough complex	Stairstep	10/1/2021	3.52	0.51	20.16	285.85	7.64	6.52	71.97	6.55	1.71	38.06	4.50	41.89	20.26	260.88	0.14	1.21	1.68	1.83	0.59	5.31	23.04	31.93	34.00	11.21	4.10	2.83	3.38
A2302	38.329293	-121.667258	Cache Slough complex	Liberty Cut	10/1/2021	2.63	0.56	21.17	275.94	7.73	6.95	78.28	6.49	1.42	32.93	3.85	35.61	21.24	255.98	0.13	0.94	1.31	1.34	0.82	4.42	21.65	29.90	29.61	18.71	3.48	2.55	2.80
A2284	38.329388	-121.675780	Cache Slough complex	Stairstep	10/1/2021	3.22	0.46	20.51	282.10	7.68	6.70	74.47	6.69	1.86	36.02	4.69	39.51	20.58	259.63	0.14	1.15	1.61	2.00	0.74	5.49	21.06	29.52	35.74	13.88	3.79	2.72	3.14
A457	38.329528	-121.573474	North Delta tidal transition zone	Sacramento River	10/1/2021	14.68	0.23	19.71	157.62	7.89	8.66	94.71	1.58	0.44	12.07	1.33	11.69	19.73	143.14	0.08	1.00	2.13	0.50	0.00	3.64	27.55	57.79	13.43	0.00	17.09	1.39	0.95
A2300	38.332197	-121.667274	Cache Slough complex	Liberty Cut	10/1/2021	2.70	0.63	20.88	282.16	7.70	6.84	76.66	8.50	1.42	33.88	4.03	37.27	20.98	261.00	0.14	1.19	1.47	1.36	0.64	4.68	25.48	31.43	28.76	14.09	3.53	2.60	2.80
A455	38.331947	-121.571451	North Delta tidal transition zone	Sacramento River	10/1/2021	14.71	0.24	19.68	158.81	7.89	8.69	94.94	1.60	0.48	12.19	1.42	11.82	19.69	144.16	0.08	1.06	2.11	0.50	0.00	3.67	28.95	56.78	13.54	0.00	16.12	1.40	0.95
A2282	38.332330	-121.675706	Cache Slough complex	Stairstep	10/1/2021	3.13	0.34	20.48	283.85	7.68	6.70	74.45	7.89	1.86	35.69	4.72	39.32	20.56	261.63	0.14	1.28	1.65	1.97	0.74	5.66	22.57	29.40	34.59	13.31	3.50	2.70	3.11
A453	38.334096	-121.569008	North Delta tidal transition zone	Sacramento River	10/1/2021	15.11	0.24	19.67	159.79	7.89	8.68	94.83	1.52	0.51	12.27	1.46	11.89	19.68	145.12	0.08	1.11	2.08	0.52	0.00	3.70	30.03	48.55	14.12	0.00	15.86	1.41	0.95
A2298	38.335066	-121.667346	Cache Slough complex	Liberty Cut	10/1/2021	2.72	0.67	20.70	284.56	7.69	6.79	75.82	9.65	1.54	34.33	4.29	38.04	20.80	262.83	0.14	1.27	1.59	1.57	0.59	5.01	25.39	31.72	31.04	12.06	3.56	2.63	2.80
A2280	38.335204	-121.675645	Cache Slough complex	Stairstep	10/1/2021	3.10	0.28	20.44	284.66	7.68	6.69	74.30	8.67	1.84	35.59	4.75	39.31	20.51	262.35	0.14	1.38	1.69	1.94	0.68	5.71	24.07	29.91	33.82	12.05	3.35	2.70	3.09
A2278	38.336198	-121.672920	Cache Slough complex	Stairstep	10/1/2021	2.97	0.35	20.32	286.23	7.67	6.67	73.91	10.62	1.92	35.38	5.07	39.40	20.39	263.22	0.14	1.56	1.76	2.03	0.67	6.02	25.70	29.47	33.62	11.10	3.27	2.68	3.00
A2276	38.336123	-121.669162	Cache Slough complex	Stairstep	10/1/2021	2.80	0.59	20.40	286.75	7.67	6.72	74.64	11.09	1.81	34.98	4.88	39.08	20.49	264.02	0.14	1.46	1.75	1.95	0.61	5.76	25.38	30.57	33.74	10.65	3.47	2.66	2.85
A451	38.336321	-121.566618	North Delta tidal transition zone	Sacramento River	10/1/2021	15.58	0.25	19.66	160.78	7.89	8.66	94.60	1.44	0.51	12.36	1.46	11.97	19.67	146.12	0.08	1.15	2.06	0.52	0.00	3.72	30.76	42.49	13.97	0.00	15.97	1.41	0.95
A449	38.338512	-121.564239	North Delta tidal transition zone	Sacramento River	10/1/2021	16.03	0.25	19.66	161.72	7.88	8.64	94.36	1.39	0.48	12.45	1.45	12.06	19.67	147.05	0.08	1.18	2.06	0.49	0.00	3.72	31.53	41.71	13.25	0.00	16.30	1.42	0.96
