"Citation: Graham, J.L., Dubrovsky, N.M., Loftin, K.A., Rosen, B.H., and Stelzer, E.A., 2021, Cyanotoxin, chlorophyll-a, and cyanobacterial toxin genetic data for samples collected at eleven large river sites throughout the United States, June through October 2018: U.S. Geological Survey data release, https://doi.org/10.5066/P98RPC1E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS Station ID,USGS Station Name,Sample Date,Sample Time,Sample Type,Data qualifiers for Total microcystins plus nodularins,Total microcystins plus nodularins (ug/L),Data qualifiers for Total cylindrospermopsins,Total cylindrospermopsins (ug/L),Data qualifiers for Total saxitoxins,Total saxitoxins (ug/L),Data qualifiers for Anatoxin-a (method IMM24),Anatoxin-a (method IMM24) (ug/L),Data qualifiers for Chlorophyll-a,Chlorophyll-a (ug/L),Data qualifiers for Pheophytin-a,Pheophytin-a (ug/L),Data qualifiers for Anatoxin-a gene anaC,Anatoxin-a gene anaC (cp/100 mL),Data qualifiers for Saxitoxin gene sxtA,Saxitoxin gene sxtA (cp/100 mL),Data qualifiers for Cylindrospermopsin gene cyrA,Cylindrospermopsin gene cyrA (cp/100 mL),Data qualifiers for Microcystis mcyE toxin gene,Microcystis mcyE toxin gene (cp/100 mL),Data qualifiers for  Dolichospermum mcyE toxin gene, Dolichospermum mcyE toxin gene (cp/100 mL) ,Data qualifiers for Planktothrix mcyE toxin gene,Planktothrix mcyE toxin gene (cp/100 mL)
06934500,"Missouri River at Hermann, MO",6/19/2018,1110,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,9.5,,14.6,<,"3,800",<,"1,700",<,"4,200",,"100,000",<,"5,500",E,"6,800"
06934500,"Missouri River at Hermann, MO",7/10/2018,1110,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,8.3,,13.6,<,"3,200",E,"3,400",<,"3,100",,"130,000",<,"4,600",,"25,000"
06934500,"Missouri River at Hermann, MO",7/25/2018,1220,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,6.7,,9.2,<,"3,200",,"9,000",E,"4,000",,"250,000",<,"4,600",<,"5,100"
06934500,"Missouri River at Hermann, MO",8/7/2018,1130,Regular,,0.11,<,0.05,<,0.02,<,0.15,,14.8,,11.8,<,"1,900",,"40,000",<,"2,100",,"5,500,000",<,"2,800",<,"3,100"
06934500,"Missouri River at Hermann, MO",10/3/2018,1200,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,8.0,,9.5,<,"1,900",E,"1,800",<,"1,900",,"320,000",<,"2,800",,"13,000"
06934500,"Missouri River at Hermann, MO",10/3/2018,1200,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
06934500,"Missouri River at Hermann, MO",10/3/2018,1201,Field Replicate,<,0.10,<,0.05,<,0.02,<,0.15,,7.7,,9.6,<,"3,800",,"13,000",E,"6,700",,"910,000",<,"2,800",E,"7,900"
06934500,"Missouri River at Hermann, MO",10/3/2018,1201,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
08057410,"Trinity River below Dallas, TX",6/5/2018,1120,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,15.4,E,11.3,<,"1,900",,"120,000",<,"2,100",,"85,000",<,"2,800",<,"3,100"
08057410,"Trinity River below Dallas, TX",6/19/2018,1130,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,21.6,,11,<,"1,900",<,840,<,"2,100",E,"2,000",<,"2,800",<,"3,100"
08057410,"Trinity River below Dallas, TX",7/10/2018,1120,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,12.6,,7.9,<,"2,100",<,930,<,"2,100",<,870,<,"3,100",<,"3,400"
08057410,"Trinity River below Dallas, TX",7/24/2018,1130,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,15,,7.4,<,"1,500",E,"1,400",<,"1,400",E,"7,200",<,"2,100",<,"2,400"
08057410,"Trinity River below Dallas, TX",8/7/2018,1130,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,12.8,,7.9,<,"1,600",<,700,E,"2,600",<,650,<,"2,300",<,"2,600"
08057410,"Trinity River below Dallas, TX",8/21/2018,1100,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,24.7,,9.7,<,"1,900",,"6,100",<,"1,900",,"40,000",<,"2,800",<,"3,100"
08057410,"Trinity River below Dallas, TX",8/21/2018,1101,Field Replicate,<,0.10,<,0.05,<,0.02,<,0.15,,25.9,,10.7,<,"1,900",,"17,000",<,"2,100",,"30,000",<,"2,800",<,"3,100"
08057410,"Trinity River below Dallas, TX",9/5/2018,1130,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,13.6,,6.6,<,"1,900",E,"2,000",<,"1,900",,"23,000",<,"2,800",<,"3,100"
08057410,"Trinity River below Dallas, TX",9/5/2018,1130,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
08057410,"Trinity River below Dallas, TX",9/18/2018,1130,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,6.7,,4.5,<,"1,300",,"3,300",E,"2,000",,"16,000",<,"1,800",<,"2,000"
08057410,"Trinity River below Dallas, TX",9/18/2018,1130,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
08057410,"Trinity River below Dallas, TX",10/10/2018,1210,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,8.5,,5.6,<,"9,600",,"16,000",,"69,000",,"53,000",<,"2,800",<,"15,000"
08057410,"Trinity River below Dallas, TX",10/10/2018,1210,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
11447650,"Sacramento River at Freeport, CA",6/14/2018,930,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,3.2,,2.2,<,"1,300",<,560,<,"1,200",<,520,<,"1,800",<,"2,000"
11447650,"Sacramento River at Freeport, CA",7/12/2018,1000,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,2.0,,1.7,<,960,<,420,<,930,<,390,<,"1,400",<,"1,500"
11447650,"Sacramento River at Freeport, CA",8/8/2018,930,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,2.7,,3.3,<,960,<,420,<,"1,100",<,390,<,"1,400",<,"1,500"
11447650,"Sacramento River at Freeport, CA",8/20/2018,1030,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,1.7,,2.3,E,"1,400",,"10,000",<,"1,400",<,520,<,"1,800",<,"2,000"
11447650,"Sacramento River at Freeport, CA",8/20/2018,1031,Field Replicate,<,0.10,<,0.05,<,0.02,<,0.15,E,1.6,,1.9,<,"1,900",<,840,E,"2,500",<,780,<,"2,800",<,"3,100"
11447650,"Sacramento River at Freeport, CA",8/20/2018,1031,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
11447650,"Sacramento River at Freeport, CA",10/17/2018,1130,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,0.9,,1.1,<,960,<,420,<,930,<,390,<,"1,400",<,"1,500"
11447650,"Sacramento River at Freeport, CA",10/17/2018,1130,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
