Timestamp (PST) DS	Station ID DS	Station Abbrev. DS	BGC ID DS	Chla (ug/L) DS	Chla Rmk DS	Pheophytin (ug/L) DS	5 micron Chla (ug/L) DS	5 micron Chla Rmk DS	5 micron Pheophytin (ug/L) DS	5 micron Pheophytin Rmk DS	NH4 (mg-N/L) DS lab reported	NH4 Rmk DS	NO2 (mg-N/L) DS lab reported	NO2 Rmk DS	NO2 + NO3 (mg-N/L) DS lab reported	NO2 + NO3 Rmk DS	PO4 (mg-P/L) DS lab reported	PO4 Rmk DS	TDN (mg-N/L) DS lab reported	TDN Rmk DS	TDP (mg-P/L) DS lab reported	TDP Rmk DS	NH4 (uM) DS	NO2 (uM) DS	NO2 + NO3 (uM) DS	PO4 (uM) DS	TDN (uM) DS	TDP (uM) DS	estDIN (uM) DS	estDON (uM) DS	PC (mg-C/L) DS lab reported	PC Rmk DS	PN (mg-N/L) DS lab reported	PN Rmk DS	SS mass recovered (g) DS	SSC (mg/L) DS	SSC Rmk DS	DOC (mg-C/L) DS	DOC Rmk DS	Peak fDOM (RU) DS	Peak fDOM Rmk DS	A254 (AU/cm) DS	A254 Rmk DS	A280 (AU/cm) DS	A280 Rmk DS	A370 (AU/cm) DS	A370 Rmk DS	A412 (AU/cm) DS	A412 Rmk DS	A440 (AU/cm) DS	A440 Rmk DS	Sag 275-295 nm DS	Sag 290-350 nm DS	Sag 350-400 nm DS	Sag 412-676 nm DS	Sag 412-676 nm Rmk DS	Peak A (RU) DS	Peak A Rmk DS	Peak B (RU) DS	Peak B Rmk DS	Peak C (RU) DS	Peak C Rmk DS	Peak D (RU) DS	Peak D Rmk DS	Peak M (RU) DS	Peak M Rmk DS	Peak N (RU) DS	Peak N Rmk DS	Peak T (RU) DS	Peak T Rmk DS	FI DS	HIX DS	HIX Rmk DS	Water Temp (deg. C) (EXO) DS	Sp Cond (uS/cm) (EXO) DS	Salinity (PSU) (EXO) DS	pH (EXO) DS	DO (mg/L) (EXO) DS	DO (%sat) (EXO) DS	Turb (FNU) (EXO) DS	fCHL (ug/L) (EXO) DS	fDOM (QSU) (EXO) DS
05/16/2023 08:57	5/16/2023-23	23	BGC009422	NA	NA	NA	NA	NA	NA	NA	0.012	E	0.0020	E	0.185	NA	0.0478	NA	NA	NA	NA	NA	0.86	0.14	13.19	1.54	NA	NA	14.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/16/2023 08:59	5/16/2023-24	24	BGC009423	NA	NA	NA	NA	NA	NA	NA	0.009	<	0.0020	E	0.141	NA	0.0450	NA	NA	NA	NA	NA	0.32	0.14	10.07	1.45	NA	NA	10.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/16/2023 09:01	5/16/2023-25	25	BGC009424	NA	NA	NA	NA	NA	NA	NA	0.009	<	0.0014	E	0.0939	NA	0.0412	NA	NA	NA	NA	NA	0.32	0.10	6.70	1.33	NA	NA	7.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/16/2023 09:03	5/16/2023-26	26	BGC009425	NA	NA	NA	NA	NA	NA	NA	0.010	E	0.0022	E	0.138	NA	0.0490	NA	NA	NA	NA	NA	0.71	0.16	9.84	1.58	NA	NA	10.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/16/2023 09:05	5/16/2023-27	27	BGC009426	NA	NA	NA	NA	NA	NA	NA	0.010	E	0.0011	E	0.0714	NA	0.0501	NA	NA	NA	NA	NA	0.71	0.08	5.10	1.62	NA	NA	5.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/16/2023 09:07	5/16/2023-28	28	BGC009427	NA	NA	NA	NA	NA	NA	NA	0.009	<	0.0009	<	0.0591	NA	0.0430	NA	NA	NA	NA	NA	0.32	0.03	4.22	1.39	NA	NA	4.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/16/2023 09:09	380631122032201	GRIZ	BGC009392	6.29	NA	2.94	4.31	NA	1.90	NA	0.009	<	0.0009	<	0.0693	NA	0.0426	NA	0.09	E	0.0411	NA	0.32	0.03	4.95	1.38	6.43	1.33	5.30	1.12	0.702	NA	0.106	NA	0.0034	22.7	NA	2.3	NA	0.186	NA	0.063	NA	0.0456	NA	0.0092	NA	0.0042	E	0.0030	E	0.0174	0.0183	0.0180	0.0135	NA	0.5350	NA	0.0186	NA	0.275	NA	0.1060	NA	0.2705	NA	0.1767	NA	0.0787	NA	1.551	0.8946	<	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/16/2023 09:23	5/16/2023-29	29	BGC009428	NA	NA	NA	NA	NA	NA	NA	0.023	E	0.0028	E	0.175	NA	0.0546	NA	NA	NA	NA	NA	1.64	0.20	12.47	1.76	NA	NA	14.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/16/2023 09:26	5/16/2023-30	30	BGC009429	NA	NA	NA	NA	NA	NA	NA	0.009	<	0.0015	E	0.115	NA	0.0517	NA	NA	NA	NA	NA	0.32	0.11	8.20	1.67	NA	NA	8.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
05/16/2023 09:28	5/16/2023-31	31	BGC009430	NA	NA	NA	NA	NA	NA	NA	0.016	E	0.0021	E	0.120	NA	0.0567	NA	NA	NA	NA	NA	1.14	0.15	8.57	1.83	NA	NA	9.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
