CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	estDON (uM) SA	estTDN (uM) SA	NH4 (uM) (DS) SA	Orthophosphate (uM) (DS) SA
A225	38.56092	-121.51814	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	3.01	19.42	119.88	7.60	8.95	97.29	1.60	0.39	11.15	1.05	11.54	19.47	110.3	0.06	0.65	2.68	0.40	0.00	3.74	17.26	71.54	10.68	0.00	4.22	1.32	6.38	10.59	1.20	0.72
A580	38.20782	-121.55761	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	11.02	19.71	133.70	7.49	8.64	94.51	1.16	0.46	12.41	1.30	13.09	19.71	124.3	0.07	0.39	1.88	0.65	0.15	3.07	12.81	61.33	21.32	4.77	12.44	1.40	6.88	19.33	1.42	0.89
A628	38.16354	-121.61567	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	9.73	19.79	131.77	7.50	8.62	94.46	1.81	0.48	11.89	1.33	12.55	19.79	123.0	0.07	0.19	1.69	0.62	0.20	2.73	6.96	61.78	22.84	7.33	11.47	1.37	6.67	18.15	1.53	0.84
A3640	38.07165	-121.56176	Central Delta Tidal Transition Zone	San Joaquin River	Oct-2022	4.85	19.88	503.48	7.80	8.91	97.89	5.42	3.47	23.86	8.23	26.28	19.87	469.0	0.25	0.04	2.49	8.07	0.00	10.71	0.37	23.26	75.41	0.01	5.53	2.10	11.46	17.05	0.76	0.95
A3396	38.11845	-121.58478	Mokelumne Tidal Transition Zone	Mokelumne River	Oct-2022	10.51	20.19	144.14	7.57	8.78	96.97	1.43	0.83	13.80	2.48	14.46	20.18	136.6	0.07	1.08	1.27	1.09	0.63	4.11	25.67	31.24	26.87	15.28	11.55	1.48	7.44	19.05	1.14	0.99
A4370	38.06233	-121.49970	Central Delta Tidal Transition Zone	Little Connection Slough	Oct-2022	1.58	20.73	222.62	8.02	9.61	107.27	2.51	3.81	30.92	8.15	33.09	20.73	208.4	0.11	1.85	1.91	8.77	0.23	12.79	15.10	15.42	67.26	2.00	2.21	2.53	14.29	16.58	0.54	0.91
A4526	37.95271	-121.56473	South Delta Tidal Transition Zone	Old River	Oct-2022	3.35	20.50	611.61	7.43	7.78	86.76	2.47	1.79	29.55	4.12	30.77	20.58	576.3	0.31	3.69	3.75	1.95	0.00	9.40	39.22	39.87	20.73	0.00	4.25	2.44	13.74	18.04	0.86	0.81
A3518	38.05204	-121.69300	Western Delta Tidal Transition Zone	San Joaquin River	Oct-2022	8.11	19.84	1816.18	7.92	9.02	99.45	7.72	1.09	20.35	3.11	22.27	19.90	1685.4	0.95	1.99	3.53	1.83	0.00	7.37	26.86	48.00	24.78	0.00	9.26	1.88	10.06	19.33	1.22	0.90
A2618	38.24653	-121.69967	Cache Slough Complex	Lindsey Slough	Oct-2022	3.97	19.75	162.05	8.10	9.85	107.91	2.06	1.13	20.88	3.01	21.98	19.73	151.4	0.08	0.96	2.07	1.84	0.16	5.05	18.90	41.17	36.40	3.14	5.32	1.91	10.27	15.46	1.17	1.62
A5658	37.97214	-121.52044	South Delta Tidal Transition Zone	Empire Cut	Oct-2022	8.09	21.42	482.80	7.58	8.50	96.24	1.67	2.93	46.07	6.84	48.05	21.42	471.9	0.25	4.50	3.97	2.62	0.23	11.35	39.53	35.00	23.07	2.05	10.05	3.45	20.35	30.66	1.36	1.92
A849	38.04581	-121.91941	Suisun Bay	Suisun Bay	Oct-2022	14.83	18.85	11710.03	7.70	9.04	101.09	5.95	3.66	25.52	7.67	28.03	18.89	11016.1	7.18	6.57	1.99	4.83	0.41	13.87	47.31	14.49	34.79	2.95	16.13	2.20	12.13	28.25	1.37	1.31
A4923	38.04991	-121.62863	Central Delta Tidal Transition Zone	False River	Oct-2022	4.44	20.34	764.52	7.97	9.21	102.03	5.06	2.04	21.85	5.06	23.26	20.41	723.8	0.39	1.72	3.86	4.38	0.00	10.00	17.29	38.75	43.43	0.00	5.38	1.97	10.66	16.06	1.02	0.82
A3632	38.07885	-121.57396	Central Delta Tidal Transition Zone	San Joaquin River	Oct-2022	4.97	19.95	551.82	7.88	9.08	100.02	4.83	3.11	22.69	7.08	24.73	19.96	518.4	0.28	0.37	2.78	6.97	0.01	10.37	3.73	26.95	66.94	0.08	5.68	2.02	11.00	16.65	0.79	0.82
A1190	38.07024	-121.95080	Suisun Bay	Honker Bay	Oct-2022	17.20	18.46	17207.82	7.74	8.54	96.72	17.06	2.15	25.72	4.40	29.70	18.52	15648.6	10.60	3.52	3.46	2.43	0.10	9.46	35.86	40.56	23.31	0.62	18.37	2.21	12.21	30.53	1.43	0.67
A894	38.06027	-121.99674	Suisun Bay	Suisun Bay	Oct-2022	16.30	18.40	15327.37	7.70	9.15	102.83	6.32	3.77	26.26	8.19	28.93	18.43	14367.4	9.68	5.72	1.31	5.27	1.53	13.88	41.22	9.55	37.95	10.92	18.28	2.24	12.42	30.65	2.20	1.19
A3328	38.12190	-121.49881	Mokelumne Tidal Transition Zone	South Mokelumne River	Oct-2022	5.03	20.34	157.63	7.65	8.88	98.31	2.40	7.32	26.72	17.55	28.72	20.35	149.3	0.08	2.04	2.11	14.94	0.32	19.52	13.20	12.30	71.72	2.36	5.63	2.27	12.61	18.25	0.76	0.96
A3194	38.16048	-121.53401	Mokelumne Tidal Transition Zone	North Mokelumne River	Oct-2022	10.53	20.45	137.80	7.64	9.02	100.18	1.57	1.49	14.33	3.88	14.84	20.48	130.2	0.07	2.95	0.82	1.27	1.39	6.40	46.15	12.83	19.91	21.64	11.50	1.51	7.65	19.11	0.92	0.83
A3669	38.05222	-121.53020	Central Delta Tidal Transition Zone	San Joaquin River	Oct-2022	4.04	20.25	491.83	7.64	8.63	95.54	3.66	3.98	30.99	8.57	33.89	20.25	458.7	0.25	0.58	2.55	6.61	0.01	9.80	5.92	25.92	67.45	0.11	5.19	2.53	14.32	19.48	1.25	1.24
A5809	37.86682	-121.54124	South Delta Tidal Transition Zone	Victoria Canal	Oct-2022	3.65	21.34	465.29	7.51	8.51	96.21	2.08	2.73	41.13	5.90	42.88	21.43	448.2	0.23	4.84	3.97	2.93	0.24	11.96	40.46	33.21	24.45	2.01	4.52	3.15	18.37	22.77	0.88	1.79
A858	38.04941	-121.93519	Suisun Bay	Suisun Bay	Oct-2022	14.93	18.73	12014.57	7.70	8.83	98.60	6.67	1.52	25.56	3.67	28.16	18.79	10892.2	7.11	3.70	2.69	2.31	0.03	8.76	42.14	31.02	26.13	0.26	16.21	2.20	12.14	28.35	1.33	0.55
A1085	38.12675	-122.00663	Suisun Bay	Grizzly Bay	Oct-2022	16.69	19.08	16249.60	7.80	9.04	103.27	5.26	1.59	26.27	3.69	28.67	19.12	14879.2	9.88	4.00	2.81	2.13	0.01	8.97	44.53	31.31	23.80	0.10	18.29	2.24	12.43	30.72	1.57	1.51
A4547	37.92680	-121.55916	South Delta Tidal Transition Zone	Old River	Oct-2022	3.87	20.85	553.39	7.44	7.84	87.83	2.70	1.85	32.62	4.53	34.10	20.93	527.8	0.28	4.03	3.82	2.16	0.00	10.03	39.39	38.17	21.51	0.00	4.71	2.63	14.97	19.74	0.83	0.96
A800	38.06892	-121.84832	Western Delta Tidal Transition Zone	Sacramento River	Oct-2022	12.07	18.91	6645.37	7.63	9.08	99.92	7.13	2.66	22.72	6.22	25.08	18.97	5842.6	3.63	4.42	2.15	4.45	0.02	11.07	39.80	19.65	40.10	0.16	13.42	2.03	11.01	24.53	1.25	0.39
A2300	38.33220	-121.66727	Cache Slough Complex	Liberty Cut	Oct-2022	0.81	19.10	189.79	7.47	8.15	88.00	3.64	2.76	28.79	5.93	30.75	19.16	175.9	0.10	2.54	1.26	3.43	2.94	10.14	24.84	13.47	33.16	28.71	2.19	2.40	13.44	15.18	1.44	2.83
A576	38.21361	-121.55774	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	11.02	19.71	133.73	7.49	8.65	94.63	1.17	0.47	12.42	1.30	13.09	19.71	124.3	0.07	0.39	1.88	0.64	0.15	3.05	12.80	61.70	20.94	4.82	12.45	1.40	6.89	19.34	1.41	0.90
A3260	38.19681	-121.47808	Mokelumne Tidal Transition Zone	South Mokelumne River	Oct-2022	5.71	20.01	115.43	7.53	9.03	99.30	1.86	1.77	15.10	4.33	15.60	20.01	108.0	0.06	3.41	1.63	2.49	0.72	8.21	41.41	19.88	30.40	8.72	6.40	1.56	7.96	14.39	0.71	0.72
A4822	38.04324	-121.41848	Central Delta Tidal Transition Zone	Disappointment Slough	Oct-2022	4.08	20.53	344.56	7.42	7.85	87.37	1.82	2.03	45.06	4.93	48.29	20.54	325.9	0.17	2.64	2.16	1.08	0.80	6.65	39.60	32.63	16.23	11.97	5.14	3.39	19.94	25.19	0.96	1.44
A3155	38.20243	-121.51386	Mokelumne Tidal Transition Zone	North Mokelumne River	Oct-2022	10.77	20.45	136.15	7.71	9.19	102.04	1.28	1.05	12.32	3.15	12.73	20.46	128.5	0.07	2.30	0.89	1.07	1.23	5.55	41.47	16.53	19.24	22.13	11.68	1.39	6.85	18.53	0.91	0.86
A4803	38.04219	-121.44119	Central Delta Tidal Transition Zone	Disappointment Slough	Oct-2022	4.57	20.63	351.94	7.34	7.67	85.53	1.78	1.82	43.17	4.63	46.17	20.62	333.2	0.18	2.21	2.10	1.57	0.68	6.56	33.92	32.14	23.62	10.37	5.85	3.27	19.19	25.09	1.13	1.79
A2297	38.32178	-121.69073	Cache Slough Complex	Stairstep	Oct-2022	3.08	18.88	230.18	7.23	7.06	75.95	3.12	1.65	48.48	3.90	53.21	18.93	210.4	0.12	1.67	2.16	1.29	0.55	5.65	29.73	39.27	22.51	8.93	4.75	3.60	21.31	25.99	1.67	4.58
A842	38.04514	-121.90678	Suisun Bay	Suisun Bay	Oct-2022	14.69	18.86	11323.39	7.70	9.13	101.94	6.11	3.06	25.31	6.81	27.82	18.90	10624.5	6.90	6.21	2.10	4.89	0.43	13.72	45.01	15.82	35.41	3.07	15.85	2.18	12.04	27.87	1.22	1.26
A531	38.24388	-121.51332	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	16.81	19.90	144.01	7.56	9.01	98.92	1.22	0.49	12.67	1.52	13.37	19.91	134.8	0.07	0.74	2.40	0.77	0.09	4.00	17.81	61.30	19.26	1.36	17.29	1.41	6.99	24.34	1.47	0.99
A1196	38.07147	-121.93983	Suisun Bay	Honker Bay	Oct-2022	17.25	18.64	17167.92	7.73	8.61	97.88	15.49	1.68	25.83	3.75	29.71	18.72	15415.5	10.37	3.33	3.56	1.95	0.03	8.88	37.46	40.33	21.78	0.25	18.67	2.22	12.25	30.91	1.54	0.91
A2743	38.30933	-121.59863	North Delta Tidal Transition Zone	Sutter Slough	Oct-2022	10.17	19.96	133.21	7.48	8.72	95.80	1.20	0.61	12.61	1.49	13.09	19.98	124.9	0.07	0.95	1.20	0.27	0.64	3.06	31.06	39.16	9.01	20.92	11.60	1.41	6.96	18.57	1.22	0.71
A3475	38.09517	-121.65751	Central Delta Tidal Transition Zone	San Joaquin River	Oct-2022	6.72	19.85	1155.98	7.86	9.01	99.14	7.04	2.27	20.86	5.52	22.76	19.89	1050.8	0.58	1.07	3.16	4.94	0.00	9.24	11.54	34.15	53.52	0.04	7.49	1.91	10.26	17.76	0.91	1.28
A1013	38.07942	-122.08447	Suisun Bay	Suisun Bay	Oct-2022	18.31	18.53	25778.22	7.71	8.97	105.28	11.55	1.76	25.86	4.28	29.39	18.59	23182.1	16.21	3.51	2.45	3.37	0.16	9.44	37.18	26.30	35.42	1.67	21.51	2.22	12.26	33.80	3.17	1.69
A949	38.06409	-122.07094	Suisun Bay	Suisun Bay	Oct-2022	17.64	18.39	20648.40	7.71	9.05	103.77	8.22	1.41	26.65	3.70	29.63	18.45	18418.7	12.66	3.56	2.43	2.59	0.14	8.68	40.95	28.02	29.76	1.59	21.30	2.27	12.58	33.87	3.62	1.85
A1086	38.12601	-122.00459	Suisun Bay	Grizzly Bay	Oct-2022	16.65	19.08	16241.21	7.79	9.05	103.39	5.26	1.62	26.27	3.72	28.69	19.11	14899.0	9.89	4.00	2.78	2.15	0.01	9.00	44.46	30.94	23.88	0.13	18.32	2.24	12.43	30.75	1.63	1.60
A3646	38.06438	-121.55644	Central Delta Tidal Transition Zone	San Joaquin River	Oct-2022	4.36	19.89	519.11	7.78	8.88	97.68	4.71	3.42	24.88	7.73	27.43	19.87	487.3	0.26	0.04	2.47	7.74	0.00	10.43	0.37	24.18	73.72	0.00	4.91	2.16	11.87	16.95	0.82	1.04
A2963	38.18781	-121.64411	North Delta Tidal Transition Zone	Steamboat Slough	Oct-2022	8.93	19.93	148.61	7.64	8.80	96.70	2.46	0.64	15.35	1.78	16.16	19.94	137.9	0.07	0.26	1.48	0.89	0.37	3.00	8.76	49.46	29.51	12.23	10.20	1.58	8.06	18.19	1.25	1.18
A2420	38.28109	-121.69367	Cache Slough Complex	Shag Slough	Oct-2022	2.53	20.04	165.63	8.07	9.48	104.34	1.90	1.43	20.69	3.87	21.50	20.06	154.4	0.08	1.56	1.67	2.20	0.80	6.17	24.80	28.39	35.30	12.56	3.96	1.90	10.20	14.07	1.20	1.75
A351	38.43759	-121.50692	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	2.93	19.68	119.99	7.56	8.76	95.76	1.02	0.36	10.77	0.87	11.18	19.71	112.4	0.06	0.60	2.33	0.36	0.00	3.31	18.00	71.45	11.00	0.00	4.69	1.30	6.23	10.95	1.43	0.84
A2940	38.20326	-121.61110	North Delta Tidal Transition Zone	Steamboat Slough	Oct-2022	12.64	19.99	141.01	7.50	8.53	93.83	1.28	0.46	13.33	1.17	13.87	19.99	132.0	0.07	0.21	1.34	0.41	0.21	2.18	9.44	61.54	18.74	9.84	13.60	1.45	7.25	20.89	1.06	1.05
A5656	37.97216	-121.51674	South Delta Tidal Transition Zone	Empire Cut	Oct-2022	10.33	21.33	492.13	7.52	8.28	93.60	1.88	3.10	49.28	7.04	51.64	21.37	479.5	0.25	4.82	3.99	2.71	0.19	11.72	41.02	34.07	23.09	1.62	12.31	3.65	21.63	34.02	1.42	1.94
A648	38.17305	-121.64891	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	9.85	19.80	142.06	7.54	8.72	95.58	2.37	0.58	13.12	1.50	14.12	19.79	132.2	0.07	0.32	1.91	0.81	0.13	3.18	10.20	60.08	25.52	4.18	11.24	1.44	7.17	18.36	1.44	0.97
A2942	38.20040	-121.61183	North Delta Tidal Transition Zone	Steamboat Slough	Oct-2022	12.50	19.98	140.97	7.50	8.53	93.82	1.27	0.46	13.32	1.16	13.84	19.99	131.8	0.07	0.25	1.34	0.40	0.20	2.20	11.44	60.96	18.14	9.35	13.39	1.45	7.25	20.70	1.06	1.06
A793	38.06743	-121.83402	Western Delta Tidal Transition Zone	Sacramento River	Oct-2022	11.84	18.98	5942.88	7.59	9.16	100.61	6.41	1.65	22.99	3.97	25.37	18.98	6309.2	3.94	2.66	2.37	2.66	0.00	7.72	34.41	30.86	34.45	0.03	13.13	2.04	11.12	24.15	1.31	0.62
A3859	37.93952	-121.34366	San Joaquin Tidal Transition Zone	San Joaquin River	Oct-2022	30.82	21.41	454.33	7.76	8.39	95.04	2.04	1.37	28.84	3.39	30.59	21.38	432.1	0.23	2.62	1.85	0.67	0.88	6.02	43.56	30.85	11.24	14.68	35.00	2.40	13.45	48.52	3.87	7.95
A3384	38.13163	-121.57223	Mokelumne Tidal Transition Zone	Mokelumne River	Oct-2022	10.26	20.65	137.95	7.77	9.28	103.41	1.21	0.90	13.61	2.72	14.11	20.66	131.0	0.07	2.01	1.10	0.75	0.93	4.81	40.37	23.49	16.69	19.15	11.60	1.47	7.37	18.99	1.30	0.96
A1178	38.06991	-121.97302	Suisun Bay	Suisun Bay	Oct-2022	17.00	18.40	16523.07	7.76	8.94	100.74	11.86	2.17	26.56	4.85	30.00	18.44	15033.5	10.16	3.91	3.30	2.86	0.07	10.17	38.10	33.43	27.73	0.46	18.39	2.26	12.55	30.89	1.54	0.68
A2887	38.26975	-121.58924	North Delta Tidal Transition Zone	Steamboat Slough	Oct-2022	10.71	20.10	135.39	7.49	8.65	95.32	1.00	0.43	12.41	1.17	12.87	20.11	127.1	0.07	0.51	1.23	0.28	0.44	2.45	20.86	50.31	11.28	17.92	12.08	1.40	6.88	18.96	1.36	0.81
A4897	38.05795	-121.67193	Central Delta Tidal Transition Zone	False River	Oct-2022	6.19	20.49	1229.96	7.94	9.03	100.62	4.14	0.97	20.48	2.63	21.65	20.53	1185.0	0.65	2.22	3.61	2.00	0.00	7.90	28.07	45.78	25.26	0.03	7.17	1.89	10.11	17.27	1.07	1.44
A2824	38.26827	-121.64097	North Delta Tidal Transition Zone	Miner Slough	Oct-2022	9.54	20.04	135.19	7.50	8.70	95.81	1.31	0.54	12.74	1.45	13.10	20.07	126.6	0.07	0.94	1.15	0.43	0.60	3.10	30.35	37.13	13.73	19.22	10.92	1.42	7.02	17.94	1.33	0.78
A2854	38.23551	-121.66585	North Delta Tidal Transition Zone	Miner Slough	Oct-2022	6.58	20.00	152.30	7.76	9.16	100.84	1.95	0.81	16.92	1.94	17.61	20.03	142.4	0.08	0.74	1.27	0.81	0.70	3.54	21.03	36.58	22.59	20.01	7.60	1.67	8.69	16.30	1.02	1.28
A3467	38.08872	-121.64543	Central Delta Tidal Transition Zone	San Joaquin River	Oct-2022	6.16	19.96	997.18	7.91	9.06	99.84	6.90	2.35	20.72	5.68	22.63	20.00	915.8	0.50	1.12	3.26	5.42	0.00	9.84	11.28	33.14	55.24	0.03	6.97	1.90	10.21	17.18	0.85	1.05
A3021	38.19376	-121.55092	North Delta Tidal Transition Zone	Georgiana Slough	Oct-2022	13.28	19.93	139.31	7.47	8.56	94.10	1.28	0.59	12.91	1.67	13.59	19.92	130.1	0.07	0.02	1.35	0.57	0.43	2.38	0.80	56.93	24.07	18.24	14.56	1.43	7.08	21.65	1.30	0.84
A1079	38.13756	-122.00370	Suisun Bay	Grizzly Bay	Oct-2022	16.89	19.13	16339.00	7.79	8.89	101.66	4.94	1.58	26.23	3.55	28.58	19.19	15245.6	10.12	3.79	2.71	1.96	0.08	8.58	44.20	31.68	22.89	0.90	18.29	2.24	12.41	30.70	1.36	0.68
A3286	38.16760	-121.49423	Mokelumne Tidal Transition Zone	South Mokelumne River	Oct-2022	2.25	20.20	138.67	7.62	9.20	101.65	2.20	3.48	23.77	7.66	25.07	20.20	129.4	0.07	3.39	1.84	6.53	0.48	12.30	27.82	15.02	52.78	4.00	2.62	2.09	11.43	14.03	0.50	0.95
A4794	38.04395	-121.44748	Central Delta Tidal Transition Zone	Disappointment Slough	Oct-2022	5.15	20.61	357.92	7.33	7.67	85.54	2.00	2.02	43.31	5.03	46.58	20.61	339.2	0.18	2.22	2.12	2.02	0.70	7.13	31.21	29.88	28.06	9.87	6.25	3.28	19.25	25.51	1.14	1.87
A3277	38.17890	-121.49500	Mokelumne Tidal Transition Zone	South Mokelumne River	Oct-2022	4.04	20.09	131.06	7.59	9.14	100.75	2.07	3.17	19.76	7.08	20.68	20.10	122.7	0.07	3.57	1.83	5.43	0.53	11.35	31.65	16.13	47.42	4.78	4.65	1.85	9.82	14.55	0.67	0.86
A2603	38.25163	-121.72333	Cache Slough Complex	Lindsey Slough	Oct-2022	2.03	19.38	168.15	7.94	9.48	103.00	1.94	1.77	24.01	4.41	25.24	19.42	155.4	0.08	1.82	2.20	2.88	0.77	7.71	23.62	28.68	37.34	9.86	2.98	2.10	11.53	14.39	0.85	2.12
A4623	37.85819	-121.55661	South Delta Tidal Transition Zone	Old River	Oct-2022	3.48	21.36	471.41	7.47	8.18	92.50	2.34	2.40	39.25	5.49	40.90	21.43	448.6	0.23	5.16	4.17	2.58	0.02	11.99	43.03	34.87	21.54	0.19	4.98	3.03	17.62	22.60	1.14	1.59
A3499	38.07457	-121.68002	Central Delta Tidal Transition Zone	San Joaquin River	Oct-2022	7.61	19.91	1627.79	7.91	8.89	98.11	7.67	1.23	20.20	3.24	21.90	20.00	1499.8	0.84	1.89	3.60	2.10	0.00	7.62	24.91	47.37	27.40	0.01	8.52	1.87	10.00	18.53	0.94	1.81
A3473	38.09387	-121.65419	Central Delta Tidal Transition Zone	San Joaquin River	Oct-2022	6.53	19.87	1083.16	7.86	9.02	99.28	6.86	2.30	20.91	5.43	22.81	19.91	978.0	0.54	0.99	3.11	5.11	0.00	9.28	10.66	33.50	55.03	0.03	7.32	1.92	10.28	17.59	0.89	1.22
A722	38.10092	-121.72250	Western Delta Tidal Transition Zone	Sacramento River	Oct-2022	9.78	19.73	320.39	7.60	8.77	96.06	4.67	0.97	16.89	2.83	18.26	19.77	302.9	0.16	0.82	2.14	1.96	0.20	5.16	15.89	41.55	38.06	3.82	10.77	1.67	8.68	19.45	0.99	1.00
A3324	38.12649	-121.49615	Mokelumne Tidal Transition Zone	South Mokelumne River	Oct-2022	4.92	20.44	157.03	7.63	8.79	97.54	2.08	4.38	26.32	9.68	28.01	20.43	149.3	0.08	1.95	2.35	17.20	0.17	21.82	12.88	13.45	71.86	1.40	5.58	2.25	12.45	17.84	0.66	1.02
A2314	38.31188	-121.66718	Cache Slough Complex	Liberty Cut	Oct-2022	2.52	19.47	166.17	7.93	9.21	100.24	2.48	0.88	21.13	2.32	22.22	19.47	154.3	0.08	0.57	1.42	0.88	0.98	3.89	14.96	36.59	22.73	25.24	3.80	1.93	10.37	14.00	1.15	1.94
A4901	38.05646	-121.66512	Central Delta Tidal Transition Zone	False River	Oct-2022	5.59	20.82	1009.27	7.96	9.07	101.67	3.08	1.13	20.37	3.00	21.35	20.87	966.6	0.52	2.04	3.45	2.44	0.02	8.00	25.54	43.25	30.36	0.20	6.62	1.88	10.07	16.69	1.05	1.22
A2812	38.28180	-121.64346	North Delta Tidal Transition Zone	Miner Slough	Oct-2022	10.10	20.07	135.89	7.50	8.75	96.42	1.26	0.41	12.54	1.40	12.98	20.09	127.2	0.07	0.82	1.13	0.26	0.68	2.90	28.16	38.97	8.86	23.59	11.33	1.41	6.94	18.27	1.30	0.80
A454	38.33304	-121.57024	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	10.08	19.70	132.53	7.53	8.78	95.97	1.07	0.40	11.71	1.21	12.22	19.74	123.1	0.07	0.66	2.21	0.60	0.10	3.59	18.34	61.85	16.64	2.64	11.73	1.35	6.60	18.34	1.68	1.19
A5058	37.96098	-121.53191	South Delta Tidal Transition Zone	Middle River	Oct-2022	4.58	21.04	469.21	7.57	8.50	95.57	1.51	2.32	38.83	5.67	40.16	21.12	449.8	0.24	3.43	3.79	2.42	0.09	9.81	34.91	38.76	24.65	0.85	5.75	3.01	17.45	23.31	0.96	1.68
A718	38.10452	-121.71677	Western Delta Tidal Transition Zone	Sacramento River	Oct-2022	9.92	19.75	212.10	7.62	8.82	96.54	3.92	0.94	16.55	2.70	17.97	19.78	211.9	0.11	0.82	2.06	1.84	0.20	4.94	16.63	41.77	37.24	3.98	11.04	1.65	8.54	19.61	1.12	1.05
A724	38.09867	-121.72487	Western Delta Tidal Transition Zone	Sacramento River	Oct-2022	9.73	19.73	364.05	7.61	8.73	95.62	4.76	0.96	16.99	2.87	18.32	19.78	331.0	0.18	0.84	2.15	2.04	0.23	5.29	15.85	40.80	38.46	4.29	10.70	1.68	8.72	19.41	0.98	0.97
A3009	38.20711	-121.54121	North Delta Tidal Transition Zone	Georgiana Slough	Oct-2022	11.29	19.85	135.15	7.48	8.58	94.15	1.46	0.54	12.67	1.60	13.32	19.82	125.7	0.07	0.00	1.37	0.59	0.37	2.33	0.00	58.70	25.27	15.86	12.74	1.41	6.99	19.74	1.38	0.85
A759	38.06939	-121.77703	Western Delta Tidal Transition Zone	Sacramento River	Oct-2022	10.37	19.57	2047.64	7.66	8.79	96.43	7.82	0.99	18.88	2.60	20.82	19.60	2140.2	1.23	1.24	2.67	2.21	0.00	6.09	20.36	43.82	36.40	0.00	11.73	1.79	9.47	21.21	1.34	1.10
A1138	38.09535	-122.01530	Suisun Bay	Grizzly Bay	Oct-2022	18.05	18.70	19456.83	7.80	8.99	103.19	8.54	2.29	27.14	4.74	30.20	18.79	17343.8	11.76	4.12	2.90	2.60	0.16	9.84	41.77	30.25	25.92	1.41	19.61	2.30	12.77	32.36	1.58	0.91
A2577	38.26014	-121.75326	Cache Slough Complex	Lindsey Slough	Oct-2022	0.49	18.92	170.59	8.04	9.85	106.05	2.47	1.59	27.92	4.19	29.39	18.94	155.9	0.09	1.64	2.61	2.82	0.04	7.13	23.02	36.57	39.51	0.61	0.88	2.34	13.09	13.89	0.28	3.12
A4528	37.95141	-121.56101	South Delta Tidal Transition Zone	Old River	Oct-2022	3.47	20.53	604.66	7.44	7.92	88.23	2.46	1.77	29.84	4.12	31.11	20.61	570.8	0.30	3.56	3.74	1.83	0.00	9.20	38.71	40.66	19.84	0.00	4.37	2.46	13.86	18.33	0.85	0.84
A2867	38.29529	-121.58237	North Delta Tidal Transition Zone	Steamboat Slough	Oct-2022	12.43	20.00	136.95	7.48	8.81	96.97	1.31	0.49	12.70	1.24	13.20	20.01	128.1	0.07	0.61	1.30	0.33	0.29	2.53	24.41	50.77	12.95	11.67	13.98	1.41	7.00	20.97	1.44	0.83
A2507	38.24954	-121.68753	Cache Slough Complex	Cache Slough	Oct-2022	6.07	19.94	153.38	7.86	9.25	101.71	2.17	0.83	17.29	2.46	18.00	19.97	143.1	0.08	0.91	1.65	1.45	0.42	4.46	20.00	37.38	31.74	10.17	7.39	1.69	8.84	16.23	1.23	1.53
A5116	37.90701	-121.50666	South Delta Tidal Transition Zone	Middle River	Oct-2022	3.77	21.00	479.67	7.38	7.77	87.30	2.25	2.18	38.21	5.07	39.90	21.07	459.4	0.24	4.07	3.77	1.79	0.03	9.70	41.98	38.86	18.44	0.38	4.77	2.97	17.20	21.95	1.05	1.78
A2782	38.25720	-121.60031	North Delta Tidal Transition Zone	Sutter Slough	Oct-2022	10.32	20.01	134.99	7.49	8.65	95.19	0.94	0.39	12.30	1.14	12.76	20.02	126.4	0.07	0.51	1.16	0.28	0.47	2.41	21.21	44.32	11.82	19.43	11.60	1.39	6.84	18.46	1.21	0.85
A2524	38.23212	-121.67573	Cache Slough Complex	Cache Slough	Oct-2022	6.63	19.93	151.90	7.81	9.22	101.25	2.30	0.74	16.96	2.15	17.68	19.94	141.8	0.08	0.70	1.63	1.27	0.38	3.99	17.26	41.03	30.72	10.70	7.72	1.67	8.70	16.42	1.11	1.21
A826	38.04969	-121.87701	Western Delta Tidal Transition Zone	Sacramento River	Oct-2022	13.03	18.84	8136.40	7.65	9.13	100.80	6.49	4.12	23.85	8.82	26.31	18.87	7941.9	5.05	7.61	1.35	6.72	0.62	16.31	46.41	8.67	41.10	3.83	15.47	2.09	11.46	26.95	2.40	1.22
