CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	estDON (uM) SA	estTDN (uM) SA	Orthophosphate (uM) SA
A4874	38.08552	-121.64578	Central Delta Tidal Transition Zone	Fishermans Cut	May-2022	10.51	0.34	19.09	403.60	8.03	8.91	96.38	9.93	3.38	30.44	4.13	19.11	365.0	0.20	1.67	1.76	1.24	0.00	4.73	33.56	38.08	27.30	0.00	14.33	2.89	15.78	29.41	1.77
A3622	38.09316	-121.57649	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	11.69	0.26	19.10	313.38	8.07	9.08	98.19	9.14	3.55	30.64	4.43	19.13	280.9	0.15	0.95	1.85	1.49	0.00	4.30	20.72	44.27	34.75	0.01	11.97	2.91	15.86	27.82	1.42
A5011	37.99894	-121.51380	Central Delta Tidal Transition Zone	Middle River	May-2022	16.54	0.29	20.26	298.14	8.09	9.13	101.00	3.26	2.98	36.85	4.07	20.35	276.9	0.15	1.30	1.62	1.39	0.00	4.30	30.11	37.84	32.21	0.01	17.43	3.37	18.34	35.34	1.82
A5007	38.00483	-121.51310	Central Delta Tidal Transition Zone	Middle River	May-2022	16.17	0.41	20.13	295.78	8.05	8.93	98.56	3.39	2.88	37.41	3.96	20.22	273.5	0.15	1.03	1.55	1.27	0.00	3.87	26.60	40.12	32.82	0.00	16.19	3.41	18.57	33.93	1.82
A4479	38.00872	-121.57949	Central Delta Tidal Transition Zone	Old River	May-2022	6.98	0.25	21.05	300.16	7.82	8.28	93.02	4.43	2.85	38.68	3.44	21.16	282.6	0.15	1.04	1.17	0.91	0.00	3.12	32.42	37.33	29.60	0.00	7.25	3.50	19.07	26.33	1.40
A5582	38.01675	-121.58187	Central Delta Tidal Transition Zone	Holland Cut	May-2022	7.01	0.25	21.01	298.92	7.81	8.22	92.36	4.61	2.80	37.95	3.39	21.11	281.2	0.15	0.99	1.19	0.90	0.00	3.07	27.44	31.43	29.85	0.00	7.27	3.45	18.78	26.06	1.47
A4848	38.02067	-121.51614	Central Delta Tidal Transition Zone	Columbia Cut	May-2022	16.63	0.55	20.31	295.68	8.05	9.08	100.52	3.31	2.79	36.48	3.74	20.35	273.4	0.14	1.10	1.48	1.29	0.00	3.84	28.56	38.32	33.62	0.00	17.07	3.34	18.19	35.17	1.85
A5247	38.02847	-121.40341	Central Delta Tidal Transition Zone	Fourteenmile Slough	May-2022	22.64	2.61	21.56	461.86	8.15	7.34	83.27	1.77	3.38	59.24	4.14	21.55	437.5	0.23	0.00	1.34	0.96	0.26	2.56	0.00	51.85	38.02	10.00	25.20	5.02	27.30	52.48	6.21
A5573	38.02981	-121.58356	Central Delta Tidal Transition Zone	Holland Cut	May-2022	7.48	0.25	20.93	297.06	7.81	8.21	92.03	5.11	2.88	36.75	3.43	21.04	278.9	0.15	1.01	1.26	1.01	0.00	3.26	25.47	38.16	30.86	0.00	7.74	3.36	18.30	26.04	1.53
A4416	38.03222	-121.57926	Central Delta Tidal Transition Zone	Old River	May-2022	7.72	0.31	20.90	295.84	7.82	8.23	92.24	5.03	2.89	36.42	3.36	21.00	277.4	0.15	1.09	1.29	0.97	0.00	3.34	29.95	37.82	31.13	0.04	8.01	3.33	18.17	26.24	1.53
