CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	estDON (uM) SA	estTDN (uM) SA	Orthophosphate (uM) SA
A2984	38.22658	-121.52686	North Delta Tidal Transition Zone	Georgiana Slough	May-2022	14.20	0.29	20.24	146.97	7.81	9.14	101.09	4.53	5.77	12.25	7.48	20.19	135.9	0.07	4.29	0.18	4.83	0.91	10.20	42.07	1.73	47.36	8.98	14.47	1.55	8.50	22.97	0.53
A2986	38.22722	-121.52989	North Delta Tidal Transition Zone	Georgiana Slough	May-2022	14.24	0.30	20.26	147.06	7.82	9.15	101.22	4.47	5.75	12.25	7.45	20.21	136.0	0.07	4.26	0.17	4.82	0.94	10.16	41.90	1.63	47.41	9.22	14.51	1.55	8.50	23.01	0.53
A2922	38.22734	-121.60289	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	11.97	0.25	20.06	145.89	7.89	9.37	103.19	4.93	4.80	13.38	6.00	20.00	134.2	0.07	3.23	0.30	3.74	0.94	8.21	39.34	3.08	45.54	11.46	12.22	1.63	8.95	21.17	0.43
A2982	38.22883	-121.52488	North Delta Tidal Transition Zone	Georgiana Slough	May-2022	14.17	0.29	20.23	146.83	7.81	9.11	100.73	4.52	5.72	12.27	7.38	20.18	135.7	0.07	4.34	0.19	4.76	0.90	10.18	42.66	1.79	46.80	8.82	14.46	1.55	8.51	22.96	0.53
A565	38.22943	-121.55639	North Delta Tidal Transition Zone	Sacramento River	May-2022	12.85	0.92	21.44	141.29	7.63	8.42	95.25	3.72	3.18	13.05	3.91	21.47	134.1	0.07	1.55	0.61	2.20	0.33	4.70	31.93	14.41	46.97	6.38	13.77	1.61	8.82	22.59	0.74
A2920	38.23023	-121.60269	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	12.57	0.25	20.09	146.36	7.87	9.27	102.22	4.83	4.74	13.37	5.94	20.03	134.8	0.07	3.26	0.33	3.63	0.89	8.11	40.20	3.92	44.71	10.94	12.82	1.63	8.95	21.77	0.45
A2980	38.23102	-121.52245	North Delta Tidal Transition Zone	Georgiana Slough	May-2022	14.12	0.29	20.23	146.66	7.81	9.08	100.40	4.47	5.66	12.29	7.26	20.18	135.6	0.07	4.36	0.19	4.69	0.87	10.12	43.07	1.85	46.34	8.64	14.41	1.55	8.51	22.92	0.54
A563	38.23212	-121.55774	North Delta Tidal Transition Zone	Sacramento River	May-2022	13.29	1.10	21.33	142.31	7.65	8.52	96.18	3.78	3.41	13.11	4.20	21.35	134.7	0.07	1.83	0.55	2.43	0.42	5.27	34.50	10.99	46.22	7.81	14.39	1.61	8.84	23.24	0.74
A2918	38.23313	-121.60259	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	12.84	0.25	20.10	146.49	7.86	9.24	101.82	4.82	4.73	13.30	5.95	20.05	135.0	0.07	3.31	0.35	3.62	0.85	8.13	40.67	4.18	44.48	10.52	13.09	1.62	8.92	22.01	0.46
A2978	38.23330	-121.52013	North Delta Tidal Transition Zone	Georgiana Slough	May-2022	14.01	0.25	20.24	146.22	7.80	9.05	100.06	4.51	5.63	12.33	7.29	20.19	135.2	0.07	4.36	0.21	4.65	0.82	10.04	43.34	2.20	46.29	8.08	14.26	1.55	8.53	22.79	0.55
A2858	38.23249	-121.67159	North Delta Tidal Transition Zone	Miner Slough	May-2022	6.72	1.25	19.09	170.02	8.20	9.10	98.28	8.94	4.13	16.51	4.93	19.07	149.5	0.08	0.49	1.05	3.17	0.62	5.36	5.90	29.69	54.24	9.31	7.99	1.86	10.20	18.18	1.04
A2856	38.23357	-121.66849	North Delta Tidal Transition Zone	Miner Slough	May-2022	7.53	1.16	19.25	160.28	8.14	9.23	99.92	8.09	4.78	15.01	5.88	19.23	141.5	0.08	0.81	0.85	4.26	0.89	6.86	9.64	18.78	58.79	11.66	8.81	1.75	9.60	18.34	1.03
A561	38.23483	-121.55887	North Delta Tidal Transition Zone	Sacramento River	May-2022	13.57	1.12	21.22	143.08	7.67	8.61	96.95	3.90	3.63	13.03	4.50	21.23	135.1	0.07	2.08	0.51	2.67	0.49	5.78	35.48	9.64	46.29	8.21	14.70	1.60	8.81	23.51	0.73
A2976	38.23553	-121.51782	North Delta Tidal Transition Zone	Georgiana Slough	May-2022	12.69	0.27	20.35	139.10	7.74	9.02	99.95	4.58	5.20	13.08	6.78	20.31	128.9	0.07	3.99	0.37	4.13	0.67	9.15	43.41	6.53	43.50	6.65	12.98	1.61	8.83	21.81	0.56
A2854	38.23551	-121.66585	North Delta Tidal Transition Zone	Miner Slough	May-2022	8.41	1.03	19.49	145.66	8.03	9.42	102.27	6.95	5.48	13.10	7.01	19.43	131.9	0.07	1.38	0.58	5.55	1.30	8.82	16.12	5.73	62.40	14.98	9.68	1.61	8.84	18.37	0.98
A2916	38.23601	-121.60321	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	13.21	0.25	20.13	146.70	7.85	9.24	101.94	4.75	4.69	13.21	5.87	20.07	135.3	0.07	3.37	0.35	3.53	0.83	8.06	41.78	4.36	43.73	10.32	13.46	1.62	8.88	22.35	0.48
A559	38.23765	-121.55821	North Delta Tidal Transition Zone	Sacramento River	May-2022	13.79	1.51	21.12	143.62	7.68	8.64	97.09	4.08	3.82	12.95	4.77	21.13	135.3	0.07	2.32	0.49	2.86	0.54	6.23	36.70	8.52	45.95	8.41	15.30	1.60	8.78	24.08	0.73
A542	38.23826	-121.52988	North Delta Tidal Transition Zone	Sacramento River	May-2022	13.85	1.06	20.96	144.17	7.70	8.79	98.40	4.38	4.08	13.03	5.06	20.95	135.3	0.07	2.77	0.47	3.09	0.53	6.86	40.17	7.12	44.95	7.62	14.92	1.60	8.81	23.73	0.61
A2974	38.23834	-121.51751	North Delta Tidal Transition Zone	Georgiana Slough	May-2022	13.23	0.51	20.79	142.19	7.70	8.75	97.70	4.34	4.55	12.88	5.83	20.77	133.0	0.07	3.22	0.44	3.52	0.51	7.70	40.09	8.79	45.47	5.58	13.76	1.59	8.75	22.51	0.57
A2852	38.23847	-121.66581	North Delta Tidal Transition Zone	Miner Slough	May-2022	8.07	1.07	19.52	145.51	8.01	9.42	102.54	6.88	5.36	13.18	6.81	19.45	131.2	0.07	1.42	0.56	5.18	1.30	8.46	16.63	6.98	61.02	15.33	9.24	1.61	8.87	18.05	0.94
A545	38.23890	-121.53534	North Delta Tidal Transition Zone	Sacramento River	May-2022	13.87	1.13	21.07	143.81	7.69	8.76	98.27	4.24	3.92	13.11	4.82	21.07	135.3	0.07	2.63	0.50	2.88	0.49	6.49	40.61	7.78	44.49	7.48	14.99	1.61	8.84	23.84	0.66
A540	38.23882	-121.52627	North Delta Tidal Transition Zone	Sacramento River	May-2022	13.82	1.03	20.91	144.28	7.70	8.79	98.36	4.41	4.17	13.00	5.19	20.90	135.2	0.07	2.85	0.45	3.20	0.54	7.04	40.28	6.79	45.37	7.51	14.85	1.60	8.80	23.65	0.60
A2914	38.23890	-121.60298	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	13.38	0.25	20.14	146.78	7.85	9.28	102.42	4.67	4.62	13.21	5.77	20.09	135.3	0.07	3.35	0.33	3.42	0.83	7.92	42.26	4.34	43.14	10.52	13.63	1.62	8.88	22.51	0.49
A538	38.23936	-121.52270	North Delta Tidal Transition Zone	Sacramento River	May-2022	13.77	0.89	20.77	144.60	7.72	8.82	98.46	4.40	4.46	12.88	5.61	20.75	135.1	0.07	3.14	0.40	3.50	0.57	7.61	40.95	5.74	45.87	7.36	14.66	1.59	8.75	23.41	0.58
A536	38.23976	-121.51900	North Delta Tidal Transition Zone	Sacramento River	May-2022	13.45	0.90	21.00	143.17	7.68	8.66	97.06	4.31	4.18	12.93	5.27	20.99	134.5	0.07	2.75	0.49	3.14	0.45	6.82	38.77	9.20	46.01	5.90	14.35	1.60	8.77	23.13	0.58
A547	38.23976	-121.53885	North Delta Tidal Transition Zone	Sacramento River	May-2022	13.87	1.18	21.03	143.90	7.69	8.72	97.80	4.29	4.02	13.04	4.99	21.03	135.3	0.07	2.69	0.51	3.00	0.48	6.64	40.44	7.76	45.20	7.14	15.06	1.60	8.82	23.87	0.68
A557	38.23991	-121.55603	North Delta Tidal Transition Zone	Sacramento River	May-2022	14.00	2.12	21.08	143.86	7.69	8.63	96.87	4.35	3.92	12.90	4.90	21.08	135.4	0.07	2.43	0.50	2.92	0.53	6.41	37.70	8.32	45.57	8.07	16.12	1.59	8.76	24.88	0.72
A549	38.24057	-121.54238	North Delta Tidal Transition Zone	Sacramento River	May-2022	14.02	1.30	20.84	144.63	7.72	8.79	98.26	4.53	4.36	12.81	5.50	20.82	135.4	0.07	3.04	0.45	3.38	0.57	7.44	40.72	6.42	45.51	7.54	15.32	1.59	8.73	24.04	0.69
A534	38.24057	-121.51675	North Delta Tidal Transition Zone	Sacramento River	May-2022	13.04	0.76	21.10	141.03	7.67	8.59	96.47	4.27	4.02	13.07	5.09	21.10	132.9	0.07	2.57	0.55	2.95	0.37	6.45	37.62	12.06	45.63	4.58	13.81	1.61	8.83	22.64	0.58
A2850	38.24087	-121.66444	North Delta Tidal Transition Zone	Miner Slough	May-2022	7.98	1.12	19.53	144.99	8.01	9.43	102.72	6.69	5.29	13.12	6.73	19.46	130.9	0.07	1.46	0.53	5.04	1.33	8.38	17.21	6.80	60.06	15.78	9.12	1.61	8.85	17.96	0.92
A551	38.24125	-121.54593	North Delta Tidal Transition Zone	Sacramento River	May-2022	14.06	1.42	20.77	144.92	7.73	8.82	98.40	4.65	4.50	12.72	5.69	20.74	135.5	0.07	3.16	0.44	3.53	0.61	7.75	40.66	5.90	45.58	7.82	15.48	1.58	8.69	24.17	0.70
A555	38.24160	-121.55322	North Delta Tidal Transition Zone	Sacramento River	May-2022	13.96	2.41	21.08	143.77	7.68	8.61	96.62	4.44	3.93	12.89	4.91	21.08	135.3	0.07	2.43	0.52	2.92	0.51	6.41	37.70	8.56	45.57	7.80	16.37	1.59	8.76	25.13	0.72
A553	38.24175	-121.54956	North Delta Tidal Transition Zone	Sacramento River	May-2022	14.04	1.83	20.77	144.90	7.73	8.78	97.94	4.81	4.50	12.64	5.70	20.76	135.5	0.07	3.10	0.44	3.53	0.64	7.72	39.85	6.09	45.67	8.21	15.87	1.58	8.66	24.52	0.71
A2912	38.24172	-121.60227	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	13.68	0.26	20.17	146.90	7.84	9.29	102.54	4.40	4.48	13.18	5.57	20.11	135.4	0.07	3.28	0.34	3.24	0.78	7.61	43.07	3.61	42.52	10.27	13.94	1.62	8.87	22.82	0.52
A2848	38.24268	-121.66143	North Delta Tidal Transition Zone	Miner Slough	May-2022	8.16	1.09	19.56	141.75	7.98	9.48	103.37	5.98	5.34	12.71	6.89	19.48	129.4	0.07	1.75	0.40	5.09	1.45	8.72	20.38	4.06	58.30	16.83	9.26	1.58	8.68	17.94	0.84
A532	38.24273	-121.51444	North Delta Tidal Transition Zone	Sacramento River	May-2022	12.27	0.84	21.55	136.96	7.63	8.37	94.83	4.15	3.22	13.49	4.02	21.58	130.4	0.07	1.69	0.75	2.11	0.15	4.70	34.21	18.49	44.70	2.28	13.16	1.64	9.00	22.14	0.58
A2846	38.24441	-121.65870	North Delta Tidal Transition Zone	Miner Slough	May-2022	8.11	0.99	19.55	141.89	7.98	9.47	103.27	5.89	5.30	12.74	6.84	19.46	129.3	0.07	1.86	0.39	4.95	1.44	8.65	21.61	4.19	57.20	16.76	9.09	1.58	8.69	17.78	0.80
A2910	38.24459	-121.60191	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	13.81	0.30	20.18	146.74	7.84	9.22	101.75	4.29	4.45	13.07	5.57	20.12	135.3	0.07	3.28	0.36	3.24	0.71	7.57	43.28	3.84	42.78	9.34	14.10	1.61	8.83	22.92	0.53
A529	38.24640	-121.51151	North Delta Tidal Transition Zone	Sacramento River	May-2022	11.14	0.47	21.82	132.04	7.60	8.29	94.46	3.85	2.66	13.88	3.26	21.87	126.5	0.07	1.28	0.82	1.53	0.11	3.75	34.58	21.11	40.92	2.98	11.77	1.67	9.15	20.86	0.58
A2844	38.24714	-121.65889	North Delta Tidal Transition Zone	Miner Slough	May-2022	8.03	0.92	19.53	142.10	7.99	9.46	103.11	5.93	5.25	12.78	6.75	19.45	129.3	0.07	1.89	0.39	4.84	1.43	8.56	22.10	4.48	56.62	16.74	8.95	1.59	8.71	17.66	0.77
A2908	38.24745	-121.60203	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	13.83	0.38	20.19	146.68	7.84	9.17	101.21	4.26	4.44	13.02	5.59	20.13	135.3	0.07	3.26	0.37	3.24	0.69	7.57	43.10	3.96	42.87	9.11	14.21	1.60	8.81	23.01	0.54
A527	38.24928	-121.51087	North Delta Tidal Transition Zone	Sacramento River	May-2022	11.37	0.43	21.86	134.48	7.61	8.27	94.35	3.75	2.71	13.58	3.32	21.91	128.8	0.07	1.33	0.77	1.60	0.15	3.85	34.75	19.59	41.53	3.85	11.89	1.65	9.03	20.88	0.59
A2842	38.24945	-121.65692	North Delta Tidal Transition Zone	Miner Slough	May-2022	8.03	0.75	19.52	142.00	7.98	9.44	102.83	5.77	5.20	12.82	6.65	19.44	129.2	0.07	2.00	0.37	4.73	1.42	8.52	23.56	4.22	55.47	16.74	8.78	1.59	8.73	17.50	0.73
A2906	38.25033	-121.60236	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	13.89	0.65	20.19	146.67	7.84	9.13	100.84	4.37	4.46	12.98	5.64	20.13	135.4	0.07	3.27	0.39	3.22	0.70	7.60	43.01	5.05	42.44	9.24	14.60	1.60	8.79	23.43	0.56
A525	38.25209	-121.51187	North Delta Tidal Transition Zone	Sacramento River	May-2022	11.12	0.36	21.91	136.05	7.63	8.26	94.34	3.64	2.77	13.31	3.41	21.96	130.4	0.07	1.37	0.72	1.65	0.18	3.93	35.01	18.18	42.02	4.52	11.55	1.63	8.93	20.43	0.61
A2840	38.25231	-121.65641	North Delta Tidal Transition Zone	Miner Slough	May-2022	7.97	0.46	19.50	142.27	7.97	9.41	102.48	5.60	5.11	12.93	6.49	19.42	129.5	0.07	2.11	0.33	4.51	1.42	8.36	25.23	3.97	53.89	16.98	8.43	1.60	8.77	17.18	0.68
A2904	38.25317	-121.60171	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	13.96	0.81	20.20	146.36	7.83	9.11	100.65	4.40	4.44	12.85	5.60	20.14	135.1	0.07	3.29	0.40	3.19	0.66	7.56	43.47	5.38	42.25	8.68	14.82	1.59	8.74	23.58	0.57
A2902	38.25422	-121.59950	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	14.01	0.86	20.21	146.02	7.82	9.09	100.39	4.36	4.42	12.74	5.56	20.15	134.9	0.07	3.30	0.41	3.16	0.60	7.51	43.95	5.52	42.09	7.98	14.90	1.58	8.70	23.58	0.59
A2838	38.25472	-121.65491	North Delta Tidal Transition Zone	Miner Slough	May-2022	7.98	0.34	19.48	142.49	7.95	9.39	102.23	5.50	5.15	13.04	6.57	19.40	129.7	0.07	2.17	0.32	4.48	1.40	8.38	25.90	3.83	53.47	16.76	8.24	1.60	8.82	16.99	0.65
A523	38.25460	-121.51355	North Delta Tidal Transition Zone	Sacramento River	May-2022	11.05	0.35	21.95	137.71	7.64	8.23	94.10	3.56	2.81	13.16	3.48	22.00	132.1	0.07	1.38	0.71	1.76	0.13	3.99	34.52	17.77	44.13	3.28	11.42	1.61	8.87	20.27	0.63
A2900	38.25537	-121.59633	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	13.97	0.87	20.23	145.44	7.81	9.05	99.99	4.35	4.44	12.54	5.60	20.16	134.4	0.07	3.35	0.42	3.19	0.54	7.55	44.35	5.60	42.29	7.15	14.85	1.57	8.62	23.46	0.59
A2783	38.25576	-121.60057	North Delta Tidal Transition Zone	Sutter Slough	May-2022	14.11	0.85	20.17	146.93	7.82	9.16	101.07	4.27	4.30	13.05	5.39	20.11	135.7	0.07	3.23	0.40	3.02	0.66	7.31	44.13	5.42	41.24	9.07	14.99	1.61	8.82	23.83	0.59
A2836	38.25579	-121.65216	North Delta Tidal Transition Zone	Miner Slough	May-2022	8.02	0.34	19.47	142.75	7.94	9.38	102.09	5.42	5.17	13.18	6.65	19.39	129.9	0.07	2.20	0.35	4.53	1.36	8.47	25.96	4.09	53.54	16.06	8.12	1.62	8.87	16.85	0.60
A521	38.25672	-121.51612	North Delta Tidal Transition Zone	Sacramento River	May-2022	10.66	0.38	21.98	137.86	7.65	8.23	94.15	3.46	2.83	13.04	3.52	22.03	132.2	0.07	1.42	0.70	1.83	0.12	4.07	34.88	17.13	44.87	3.03	11.04	1.60	8.82	19.85	0.64
A2898	38.25783	-121.59454	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	13.85	0.92	20.23	145.07	7.80	9.05	100.05	4.33	4.30	12.46	5.40	20.17	134.1	0.07	3.35	0.43	2.98	0.51	7.32	45.82	5.91	40.63	6.99	14.77	1.56	8.58	23.35	0.61
A2781	38.25861	-121.60046	North Delta Tidal Transition Zone	Sutter Slough	May-2022	14.19	0.80	20.15	147.42	7.81	9.18	101.34	4.14	4.20	13.23	5.25	20.09	136.2	0.07	3.17	0.38	2.88	0.69	7.13	44.47	5.34	40.42	9.75	14.99	1.62	8.89	23.89	0.60
A2834	38.25868	-121.65200	North Delta Tidal Transition Zone	Miner Slough	May-2022	8.02	0.31	19.46	142.90	7.93	9.37	102.00	5.46	5.16	13.25	6.66	19.38	129.9	0.07	2.22	0.34	4.42	1.40	8.41	26.44	4.01	52.51	16.67	8.03	1.62	8.90	16.77	0.59
A519	38.25869	-121.51881	North Delta Tidal Transition Zone	Sacramento River	May-2022	10.06	0.86	21.99	137.66	7.65	8.25	94.37	3.44	2.93	12.81	3.63	22.04	132.1	0.07	1.51	0.68	1.90	0.14	4.23	35.68	16.06	44.94	3.32	10.92	1.59	8.72	19.59	0.66
A2896	38.26076	-121.59460	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	13.79	0.90	20.23	145.17	7.80	9.07	100.22	4.34	4.22	12.52	5.28	20.17	134.2	0.07	3.33	0.43	2.87	0.54	7.20	46.20	5.97	39.85	7.46	14.69	1.57	8.61	23.30	0.62
A517	38.26079	-121.52135	North Delta Tidal Transition Zone	Sacramento River	May-2022	9.73	1.10	22.00	137.44	7.65	8.26	94.52	3.40	2.93	12.89	3.62	22.05	131.9	0.07	1.55	0.67	1.85	0.16	4.23	36.63	15.99	43.74	3.66	10.84	1.59	8.76	19.48	0.67
A2779	38.26145	-121.60116	North Delta Tidal Transition Zone	Sutter Slough	May-2022	14.25	0.75	20.13	147.88	7.81	9.19	101.35	4.07	4.14	13.41	5.17	20.07	136.5	0.07	3.13	0.38	2.82	0.72	7.04	44.45	5.32	39.98	10.28	14.99	1.63	8.97	23.94	0.61
A2832	38.26154	-121.65186	North Delta Tidal Transition Zone	Miner Slough	May-2022	8.01	0.30	19.45	142.96	7.93	9.35	101.73	5.46	5.16	13.29	6.65	19.38	129.8	0.07	2.26	0.32	4.30	1.44	8.36	27.08	3.85	51.38	17.22	7.97	1.62	8.92	16.70	0.57
A2894	38.26224	-121.59187	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	13.61	1.08	20.23	144.59	7.79	9.02	99.74	4.31	4.16	12.37	5.19	20.17	133.7	0.07	3.34	0.42	2.80	0.51	7.09	47.19	5.92	39.49	7.15	14.69	1.56	8.55	23.24	0.63
A2830	38.26245	-121.64879	North Delta Tidal Transition Zone	Miner Slough	May-2022	7.96	0.30	19.44	142.67	7.92	9.33	101.54	5.32	5.18	13.27	6.67	19.37	129.5	0.07	2.37	0.32	4.35	1.41	8.48	27.94	3.80	51.25	16.68	7.91	1.62	8.91	16.64	0.55
A2892	38.26287	-121.58846	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	13.56	1.18	20.23	144.44	7.78	9.01	99.54	4.25	4.14	12.33	5.17	20.17	133.6	0.07	3.34	0.41	2.78	0.49	7.03	47.49	5.84	39.49	7.00	14.73	1.55	8.53	23.27	0.63
A515	38.26274	-121.52405	North Delta Tidal Transition Zone	Sacramento River	May-2022	9.61	1.10	22.01	137.40	7.65	8.27	94.57	3.33	2.88	13.15	3.53	22.06	131.9	0.07	1.57	0.67	1.78	0.18	4.19	37.43	16.09	42.40	4.26	10.70	1.61	8.86	19.43	0.68
A2828	38.26434	-121.64611	North Delta Tidal Transition Zone	Miner Slough	May-2022	7.83	0.28	19.43	141.91	7.92	9.34	101.59	5.06	5.21	13.12	6.67	19.36	128.9	0.07	2.53	0.28	4.44	1.38	8.64	29.29	3.27	51.43	15.97	7.87	1.61	8.85	16.61	0.54
A2777	38.26434	-121.60168	North Delta Tidal Transition Zone	Sutter Slough	May-2022	14.28	0.76	20.12	148.30	7.81	9.18	101.19	4.02	4.11	13.62	5.11	20.06	136.8	0.07	3.12	0.37	2.75	0.74	6.98	44.74	5.27	39.43	10.55	15.04	1.65	9.05	24.08	0.63
A513	38.26475	-121.52671	North Delta Tidal Transition Zone	Sacramento River	May-2022	9.63	0.82	22.01	137.55	7.65	8.31	95.10	3.30	2.84	13.33	3.45	22.06	132.1	0.07	1.60	0.67	1.76	0.18	4.19	37.98	16.29	41.91	4.28	10.46	1.63	8.93	19.33	0.68
A2890	38.26564	-121.58776	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	13.44	1.26	20.23	144.31	7.77	8.96	98.99	4.23	4.07	12.32	5.16	20.17	133.4	0.07	3.31	0.42	2.76	0.48	6.98	47.43	6.14	39.63	6.84	14.70	1.55	8.53	23.23	0.64
A2826	38.26589	-121.64296	North Delta Tidal Transition Zone	Miner Slough	May-2022	7.71	0.26	19.44	141.53	7.92	9.36	101.80	4.94	5.18	13.03	6.61	19.37	128.7	0.07	2.62	0.26	4.36	1.39	8.59	30.48	2.98	50.72	16.16	7.89	1.60	8.81	16.65	0.53
A511	38.26684	-121.52926	North Delta Tidal Transition Zone	Sacramento River	May-2022	9.69	0.64	22.02	137.61	7.65	8.31	95.17	3.31	2.81	13.41	3.40	22.08	132.2	0.07	1.55	0.68	1.73	0.15	4.09	37.76	16.84	42.22	3.62	10.33	1.63	8.96	19.28	0.68
A2775	38.26714	-121.60271	North Delta Tidal Transition Zone	Sutter Slough	May-2022	14.40	0.75	20.10	148.96	7.80	9.18	101.20	3.99	4.15	13.89	5.16	20.04	137.4	0.07	3.12	0.36	2.78	0.74	7.02	44.45	5.15	39.63	10.60	15.15	1.67	9.16	24.32	0.63
A2824	38.26827	-121.64097	North Delta Tidal Transition Zone	Miner Slough	May-2022	7.72	0.24	19.46	141.45	7.92	9.41	102.32	4.84	5.09	13.00	6.49	19.39	128.7	0.07	2.66	0.25	4.19	1.40	8.44	31.52	2.94	49.60	16.63	8.00	1.60	8.80	16.78	0.53
A2888	38.26843	-121.58860	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	13.38	1.21	20.21	144.43	7.77	8.93	98.67	4.34	4.10	12.38	5.21	20.15	133.5	0.07	3.32	0.47	2.79	0.47	7.04	47.15	6.64	39.63	6.69	14.58	1.56	8.55	23.13	0.65
A509	38.26877	-121.53201	North Delta Tidal Transition Zone	Sacramento River	May-2022	9.78	0.55	22.03	137.73	7.65	8.30	95.07	3.33	2.77	13.48	3.36	22.08	132.4	0.07	1.48	0.69	1.69	0.13	3.98	37.20	17.31	42.37	3.23	10.34	1.64	8.99	19.33	0.68
A2773	38.26984	-121.60394	North Delta Tidal Transition Zone	Sutter Slough	May-2022	14.21	0.81	20.11	148.27	7.79	9.15	100.85	4.10	4.15	13.71	5.17	20.05	136.9	0.07	3.19	0.38	2.75	0.71	7.05	45.24	5.33	39.02	10.03	15.03	1.65	9.08	24.12	0.64
A2822	38.27081	-121.64237	North Delta Tidal Transition Zone	Miner Slough	May-2022	7.74	0.25	19.47	141.46	7.92	9.38	102.06	4.87	5.10	13.01	6.53	19.40	128.8	0.07	2.62	0.27	4.18	1.37	8.42	31.19	3.15	49.63	16.31	7.96	1.60	8.80	16.75	0.52
A507	38.27076	-121.53470	North Delta Tidal Transition Zone	Sacramento River	May-2022	9.96	0.59	22.03	138.08	7.65	8.29	94.87	3.34	2.74	13.56	3.32	22.08	132.7	0.07	1.48	0.69	1.66	0.14	3.98	37.19	17.41	41.61	3.35	10.56	1.64	9.02	19.58	0.68
A2886	38.27118	-121.58932	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	13.35	1.25	20.20	144.39	7.77	8.91	98.37	4.40	4.06	12.38	5.17	20.14	133.4	0.07	3.28	0.49	2.77	0.44	6.98	47.04	7.00	39.72	6.31	14.59	1.56	8.55	23.15	0.66
A2771	38.27266	-121.60347	North Delta Tidal Transition Zone	Sutter Slough	May-2022	14.09	0.83	20.12	147.84	7.79	9.13	100.66	4.15	4.14	13.57	5.17	20.06	136.5	0.07	3.22	0.38	2.74	0.69	7.06	45.67	5.44	38.81	9.78	14.94	1.64	9.03	23.97	0.65
A505	38.27275	-121.53736	North Delta Tidal Transition Zone	Sacramento River	May-2022	9.97	0.68	22.04	138.29	7.65	8.28	94.75	3.34	2.73	13.63	3.31	22.09	132.9	0.07	1.46	0.71	1.66	0.09	3.95	36.95	17.97	41.97	2.31	10.66	1.65	9.05	19.71	0.68
A2820	38.27356	-121.64171	North Delta Tidal Transition Zone	Miner Slough	May-2022	7.85	0.27	19.50	141.71	7.92	9.40	102.27	4.85	5.08	13.07	6.47	19.43	129.1	0.07	2.64	0.28	4.08	1.34	8.31	31.80	3.42	49.02	16.12	8.17	1.61	8.83	17.00	0.52
A2884	38.27391	-121.58831	North Delta Tidal Transition Zone	Steamboat Slough	May-2022	13.44	1.34	20.19	144.43	7.75	8.89	98.15	4.46	3.97	12.40	4.98	20.13	133.4	0.07	3.19	0.50	2.63	0.42	6.74	47.26	7.49	38.99	6.29	14.78	1.56	8.56	23.34	0.67
A503	38.27474	-121.54005	North Delta Tidal Transition Zone	Sacramento River	May-2022	10.02	0.74	22.04	138.55	7.64	8.27	94.64	3.37	2.73	13.71	3.30	22.09	133.2	0.07	1.45	0.72	1.67	0.06	3.92	36.89	18.27	42.54	1.48	10.76	1.65	9.09	19.84	0.67
A2769	38.27527	-121.60189	North Delta Tidal Transition Zone	Sutter Slough	May-2022	13.87	0.90	20.14	146.83	7.78	9.10	100.36	4.24	4.11	13.22	5.12	20.08	135.4	0.07	3.24	0.41	2.72	0.65	7.03	46.09	5.78	38.70	9.25	14.74	1.62	8.89	23.62	0.65
A2818	38.27572	-121.63976	North Delta Tidal Transition Zone	Miner Slough	May-2022	8.38	0.27	19.56	142.66	7.91	9.37	102.02	4.88	5.08	13.32	6.48	19.49	130.2	0.07	2.67	0.33	4.02	1.25	8.25	32.36	3.98	48.76	15.14	8.68	1.63	8.93	17.62	0.53
