"Citation: Graham, J.L., Dubrovsky, N.M., Loftin, K.A., Rosen, B.H., and Stelzer, E.A., 2022, Cyanotoxin, chlorophyll-a, and cyanobacterial toxin genetic data for samples collected at twelve large river sites throughout the United States, June through October 2019: U.S. Geological Survey data release, https://doi.org/10.5066/P99I27T4.",,,,,,,,,,,,,,,,,,,,,,,,,,
USGS Station ID,USGS Station Name,Sample Date,Sample Time,Sample Type,Data qualifiers for Total microcystins plus nodularins,Total microcystins plus nodularins (ug/L),Data qualifiers for Total cylindrospermopsins,Total cylindrospermopsins (ug/L),Data qualifiers for Total saxitoxins,Total saxitoxins (ug/L),Data qualifiers for Anatoxin-a (method IMM24),Anatoxin-a (method IMM24) (ug/L),Chlorophyll-a (ug/L),Pheophytin-a (ug/L),Data qualifiers for Anatoxin-a gene anaC,Anatoxin-a gene anaC (cp/100 mL),Data qualifiers for Saxitoxin gene sxtA,Saxitoxin gene sxtA (cp/100 mL),Data qualifiers for Cylindrospermopsin gene cyrA,Cylindrospermopsin gene cyrA (cp/100 mL),Data qualifiers for Microcystis mcyE toxin gene,Microcystis mcyE toxin gene (cp/100 mL),Data qualifiers for  Dolichospermum mcyE toxin gene, Dolichospermum mcyE toxin gene (cp/100 mL) ,Data qualifiers for Planktothrix mcyE toxin gene,Planktothrix mcyE toxin gene (cp/100 mL)
1463500,"Delaware River at Trenton, NJ",8/5/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1463500,"Delaware River at Trenton, NJ",10/21/2019,1100,Regular,<,0.1,<,0.05,<,0.02,<,0.15,1.7,3.7,E,"2,600",,"13,000",,"4,100",<,390,<,"1,400",,"41,000"
1463500,"Delaware River at Trenton, NJ",10/21/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1463500,"Delaware River at Trenton, NJ",10/21/2019,1101,Concurrent Replicate,<,0.1,<,0.05,<,0.02,<,0.15,1.5,4,E,"2,100",,"16,000",<,930,,"4,200",<,"1,400",,"110,000"
1463500,"Delaware River at Trenton, NJ",10/21/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1578310,"Susquehanna River at Conowingo, MD",6/4/2019,915,Regular,,0.11,<,0.05,<,0.02,<,0.15,7.1,3.1,<,"1,300",<,560,<,"1,200",<,520,<,"1,800",,"12,000,000"
1578310,"Susquehanna River at Conowingo, MD",6/4/2019,NA,Laboratory Replicate,,0.13,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1578310,"Susquehanna River at Conowingo, MD",8/7/2019,945,Regular,<,0.1,<,0.05,<,0.02,<,0.15,5.1,4.1,<,"1,900",<,840,<,"1,900",<,780,<,"2,800",<,"3,100"
1578310,"Susquehanna River at Conowingo, MD",8/7/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1578310,"Susquehanna River at Conowingo, MD",10/8/2019,915,Regular,<,0.1,<,0.05,<,0.02,<,0.15,2,2.3,E,"4,000",E,"1,100",<,930,<,390,<,"1,400",<,"1,500"
1578310,"Susquehanna River at Conowingo, MD",10/8/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
1578310,"Susquehanna River at Conowingo, MD",10/8/2019,920,Concurrent Replicate,<,0.1,<,0.05,<,0.02,<,0.15,2.04,2.46,E,"3,900",<,750,<,930,<,390,<,"1,400",<,"1,500"
1578310,"Susquehanna River at Conowingo, MD",10/8/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
2338000,"Chattahoochee River near Whitesburg, GA",6/5/2019,1200,Regular,<,0.1,<,0.05,<,0.02,<,0.15,4.8,4.7,<,960,<,420,<,930,<,390,<,"1,400",<,"1,500"
2338000,"Chattahoochee River near Whitesburg, GA",6/5/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
2338000,"Chattahoochee River near Whitesburg, GA",7/2/2019,1130,Regular,<,0.1,<,0.05,<,0.02,<,0.15,1.2,1.2,<,960,<,420,<,930,<,390,<,"1,400",<,"1,500"
2338000,"Chattahoochee River near Whitesburg, GA",7/2/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
2338000,"Chattahoochee River near Whitesburg, GA",7/18/2019,1000,Regular,<,0.1,<,0.05,<,0.02,<,0.15,1.3,2.2,<,"1,200",<,530,<,"1,200",<,490,<,"1,700",<,"1,900"
2338000,"Chattahoochee River near Whitesburg, GA",7/18/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
2338000,"Chattahoochee River near Whitesburg, GA",8/19/2019,1030,Regular,<,0.1,<,0.05,<,0.02,<,0.15,1,1.3,<,"1,900",<,840,<,"1,900",<,780,<,"2,800",<,"3,100"
2338000,"Chattahoochee River near Whitesburg, GA",8/19/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
2338000,"Chattahoochee River near Whitesburg, GA",9/11/2019,1000,Regular,<,0.1,<,0.05,<,0.02,<,0.15,2.1,2.9,<,960,<,420,<,930,<,390,<,"1,400",E,"5,700"
2338000,"Chattahoochee River near Whitesburg, GA",9/11/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
2338000,"Chattahoochee River near Whitesburg, GA",9/30/2019,1000,Regular,<,0.1,<,0.05,<,0.02,<,0.15,1.1,1.9,<,960,<,420,<,930,<,390,<,"1,400",,"9,400"
2338000,"Chattahoochee River near Whitesburg, GA",9/30/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
2338000,"Chattahoochee River near Whitesburg, GA",10/23/2019,1150,Regular,<,0.1,<,0.05,<,0.02,<,0.15,2.9,3.9,,"10,000",E,"2,100",<,"1,900",<,780,<,"2,800",<,"3,100"
2338000,"Chattahoochee River near Whitesburg, GA",10/23/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
3303280,"Ohio River at Cannelton Dam at Cannelton, OH",6/12/2019,840,Regular,<,0.1,<,0.05,<,0.02,<,0.15,2.9,4.3,,"8,600",,"9,100",<,"3,100",E,"2,900",<,"4,600",,"250,000"
3303280,"Ohio River at Cannelton Dam at Cannelton, OH",6/12/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
3303280,"Ohio River at Cannelton Dam at Cannelton, OH",8/7/2019,640,Regular,<,0.1,<,0.05,<,0.02,<,0.15,3.4,2.8,,"4,300",,"20,000",<,930,<,390,<,"1,400",,"12,000"
3303280,"Ohio River at Cannelton Dam at Cannelton, OH",8/7/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
3303280,"Ohio River at Cannelton Dam at Cannelton, OH",10/9/2019,1200,Regular,,0.18,<,0.05,<,0.02,<,0.15,4.7,3,,NM,,NM,,NM,,NM,,NM,,NM
3303280,"Ohio River at Cannelton Dam at Cannelton, OH",10/9/2019,NA,Laboratory Replicate,,0.19,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
5331580,"Mississippi River at Hastings, MN",6/18/2019,1120,Regular,<,0.1,<,0.05,<,0.02,<,0.15,20.2,6.9,<,"1,600",<,700,<,"1,600",,"27,000",<,"2,300",,"11,000"
5331580,"Mississippi River at Hastings, MN",6/18/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
5331580,"Mississippi River at Hastings, MN",6/25/2019,1140,Regular,<,0.1,<,0.05,<,0.02,<,0.15,13.2,5.9,,"4,200",E,"1,600",<,"1,700",,"33,000",<,"2,500",,"1,900,000"
5331580,"Mississippi River at Hastings, MN",6/25/2019,NA,Laboratory Replicate,,0.13,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
5331580,"Mississippi River at Hastings, MN",7/17/2019,1220,Regular,<,0.1,<,0.05,<,0,<,0.15,16,7.2,E,"3,200",,"13,000",<,"1,900",,"220,000",<,"2,800",<,"3,100"
5331580,"Mississippi River at Hastings, MN",7/17/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
5331580,"Mississippi River at Hastings, MN",7/24/2019,1130,Regular,,0.15,<,0.05,<,0.02,<,0.15,12.6,5.9,,"30,000",,"450,000",<,"1,200",,"1,100,000",<,"1,800",,"510,000"
5331580,"Mississippi River at Hastings, MN",7/24/2019,NA,Laboratory Replicate,,0.17,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
5331580,"Mississippi River at Hastings, MN",7/24/2019,1131,Concurrent Replicate,,0.15,<,0.05,<,0.02,<,0.15,13.2,5.8,,"18,000",,"150,000",<,"1,900",,"850,000",<,"2,800",,"7,700"
5331580,"Mississippi River at Hastings, MN",7/24/2019,NA,Laboratory Replicate,,0.13,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
5331580,"Mississippi River at Hastings, MN",8/6/2019,1030,Regular,<,0.1,<,0.05,<,0.02,<,0.15,5.9,6.4,,"4,600",,"18,000",<,"1,200",,"5,600,000",<,"1,800",,"400,000"
5331580,"Mississippi River at Hastings, MN",8/6/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
5331580,"Mississippi River at Hastings, MN",10/23/2019,1030,Regular,,0.13,<,0.05,<,0.02,<,0.15,10.3,3,,"140,000",,"13,000",E,"7,300",,"160,000",<,"2,800",,"2,300,000"
5331580,"Mississippi River at Hastings, MN",10/23/2019,NA,Laboratory Replicate,,0.15,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
6892350,"Kansas River at De Soto, KS",6/3/2019,1020,Regular,<,0.1,<,0.05,<,0.02,<,0.15,2.3,2,<,"3,200",<,"1,400",<,"3,100",<,"1,300",<,"4,600",<,"5,100"
6892350,"Kansas River at De Soto, KS",6/3/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
6892350,"Kansas River at De Soto, KS",6/26/2019,1230,Regular,<,0.1,<,0.05,<,0.02,<,0.15,3.4,5.7,<,"32,000",,"33,000",<,"6,200",,"56,000",<,"9,200",<,"51,000"
6892350,"Kansas River at De Soto, KS",6/26/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
6892350,"Kansas River at De Soto, KS",6/26/2019,1231,Concurrent Replicate,<,0.1,<,0.05,<,0.02,<,0.15,3.9,5.8,<,"9,600",,"52,000",<,"9,300",,"36,000",<,"14,000",<,"15,000"
6892350,"Kansas River at De Soto, KS",6/26/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
6892350,"Kansas River at De Soto, KS",7/16/2019,1010,Regular,<,0.1,<,0.05,<,0.02,<,0.15,4.2,2.6,<,"7,700",E,"3,000",<,"3,700",,"26,000",<,"5,500",<,"12,000"
6892350,"Kansas River at De Soto, KS",7/16/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
6892350,"Kansas River at De Soto, KS",8/20/2019,920,Regular,<,0.1,<,0.05,<,0.02,<,0.15,4,4.2,E,"7,600",,"100,000",<,"3,700",,"290,000",<,"5,500",E,"23,000"
6892350,"Kansas River at De Soto, KS",8/20/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
6892350,"Kansas River at De Soto, KS",9/24/2019,950,Regular,<,0.1,<,0.05,<,0.02,<,0.15,8.7,8.1,E,"4,300",,"94,000",<,"3,700",,"25,000",<,"5,500",E,"18,000"
6892350,"Kansas River at De Soto, KS",9/24/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
6892350,"Kansas River at De Soto, KS",9/24/2019,955,Concurrent Replicate,<,0.1,<,0.05,<,0.02,<,0.15,9,8.3,,NM,,NM,,NM,,NM,,NM,,NM
6892350,"Kansas River at De Soto, KS",9/24/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
6892350,"Kansas River at De Soto, KS",10/22/2019,1310,Regular,<,0.1,<,0.05,<,0.02,<,0.15,5.8,2.5,E,"5,400",<,"1,500",<,"1,900",,"77,000",<,"2,800",<,"6,100"
6892350,"Kansas River at De Soto, KS",10/22/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
6934500,"Missouri River at Hermann, MO",6/4/2019,1230,Regular,<,0.1,<,0.05,<,0.02,<,0.15,2.87,4.53,<,"4,800",<,"2,100",<,"4,700",<,"2,000",E,"8,600",,"62,000"
6934500,"Missouri River at Hermann, MO",6/4/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
6934500,"Missouri River at Hermann, MO",6/26/2019,1130,Regular,<,0.1,<,0.05,<,0.02,<,0.15,8.3,8.8,<,960,,"2,300",<,930,,"1,900",<,"1,400",<,"1,500"
6934500,"Missouri River at Hermann, MO",6/26/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
6934500,"Missouri River at Hermann, MO",7/9/2019,1200,Regular,<,0.1,<,0.05,<,0.02,<,0.15,12.9,11.9,E,"3,500",,"56,000",<,"3,100",,"56,000",<,"4,600",<,"5,100"
6934500,"Missouri River at Hermann, MO",7/9/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
6934500,"Missouri River at Hermann, MO",7/23/2019,1120,Regular,<,0.1,<,0.05,<,0.02,<,0.15,11.9,11.1,E,"11,000",,"39,000",<,"2,100",,"300,000",<,"3,100",<,"6,800"
6934500,"Missouri River at Hermann, MO",7/23/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
6934500,"Missouri River at Hermann, MO",8/6/2019,1130,Regular,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,E,"2,500",,"18,000",<,"1,900",,"150,000",<,"2,800",,"13,000"
6934500,"Missouri River at Hermann, MO",8/6/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
6934500,"Missouri River at Hermann, MO",10/1/2019,1210,Regular,<,0.1,<,0.05,<,0.02,<,0.15,8.4,13.2,E,"7,500",,"24,000",<,"3,700",,"530,000",<,"5,500",,"310,000"
6934500,"Missouri River at Hermann, MO",10/1/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
6934500,"Missouri River at Hermann, MO",10/1/2019,1211,Concurrent Replicate,,0.1,<,0.05,<,0.02,<,0.15,8.6,13.3,<,"3,800",,"15,000",<,"3,700",,"210,000",<,"5,500",,"180,000"
6934500,"Missouri River at Hermann, MO",10/1/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
8057410,"Trinity River below Dallas, TX",6/4/2019,1130,Regular,<,0.1,<,0.05,<,0.02,<,0.15,14.7,4.9,E,"2,500",,"440,000",<,"2,100",,"300,000",<,"3,100",<,"3,400"
8057410,"Trinity River below Dallas, TX",6/4/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
8057410,"Trinity River below Dallas, TX",6/18/2019,1130,Regular,,0.12,<,0.05,<,0.02,<,0.15,11.1,4.5,,"4,400",,"450,000",<,"1,900",,"54,000",<,"2,800",<,"3,100"
8057410,"Trinity River below Dallas, TX",6/18/2019,NA,Laboratory Replicate,,0.12,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
8057410,"Trinity River below Dallas, TX",7/9/2019,1230,Regular,,0.13,<,0.05,<,0.02,<,0.15,11.7,5.1,,"10,000",,"230,000",<,"1,900",,"48,000",<,"2,800",<,"6,100"
8057410,"Trinity River below Dallas, TX",7/9/2019,NA,Laboratory Replicate,,0.15,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
8057410,"Trinity River below Dallas, TX",7/23/2019,1040,Regular,<,0.1,<,0.05,<,0.02,<,0.15,14.5,4.6,<,"1,900",,"11,000",<,"1,900",,"40,000",<,"2,800",<,"3,100"
8057410,"Trinity River below Dallas, TX",7/23/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
8057410,"Trinity River below Dallas, TX",8/5/2019,1000,Regular,<,0.1,<,0.05,<,0.02,<,0.15,17.6,6.5,,"16,000",,"25,000",<,"1,900",,"5,000",<,"2,800",<,"3,100"
