CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA raw	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA
A3432	38.09999	-121.59250	Central Delta Tidal Transition Zone	San Joaquin River	May-2024	16.59	17.28	192.08	7.67	10.01	104.24	7.78	1.74	26.34	2.88	29.73	17.27	164.9	0.09	0.57	3.16	1.18	0.18	5.09	11.30	62.43	22.83	3.40
A3450	38.10149	-121.62410	Central Delta Tidal Transition Zone	San Joaquin River	May-2024	16.33	17.34	191.48	7.70	10.21	106.43	9.38	1.90	26.21	3.09	29.78	17.32	164.6	0.09	0.64	3.40	1.47	0.14	5.67	11.56	60.35	25.62	2.36
A3448	38.10180	-121.62020	Central Delta Tidal Transition Zone	San Joaquin River	May-2024	16.46	17.32	192.04	7.69	10.04	104.60	9.14	1.92	26.18	3.07	29.75	17.31	165.0	0.09	0.71	3.31	1.38	0.19	5.61	12.79	59.45	24.56	3.21
A722	38.10092	-121.72250	Western Delta Tidal Transition Zone	Sacramento River	May-2024	14.54	16.47	148.33	7.64	9.40	96.26	10.58	1.03	16.91	1.70	18.98	16.46	124.8	0.04	0.03	2.88	0.63	0.28	3.87	0.62	75.75	16.17	7.33
A3940	38.10370	-121.68519	Western Delta Tidal Transition Zone	Threemile Slough	May-2024	14.20	17.43	185.41	7.68	9.98	104.24	8.66	1.94	26.12	3.17	28.97	17.45	161.0	0.09	0.92	2.71	1.05	0.76	5.46	16.03	50.31	19.18	14.39
A1031	38.09527	-122.05681	Suisun Bay	Suisun Bay	May-2024	21.54	16.77	1267.64	7.80	9.87	102.05	73.32	5.50	41.68	7.82	59.77	16.80	1041.9	0.62	4.76	8.21	5.60	0.00	18.58	25.63	44.20	30.19	0.00
A3412	38.10370	-121.56588	Mokelumne Tidal Transition Zone	Mokelumne River	May-2024	13.64	16.64	141.34	7.61	10.53	108.47	7.58	1.01	18.68	1.75	20.39	16.61	113.1	0.07	0.15	2.72	0.40	0.48	3.78	3.94	72.49	9.64	13.44
A3434	38.10172	-121.59559	Central Delta Tidal Transition Zone	San Joaquin River	May-2024	16.60	17.30	193.18	7.67	10.01	104.29	7.86	1.77	26.44	2.91	29.87	17.29	165.7	0.09	0.59	3.18	1.21	0.17	5.15	11.59	62.06	23.30	3.01
A3446	38.10209	-121.61653	Central Delta Tidal Transition Zone	San Joaquin River	May-2024	16.50	17.31	192.35	7.69	9.99	104.10	9.04	1.91	26.21	3.06	29.77	17.30	165.3	0.09	0.73	3.31	1.36	0.19	5.61	13.12	59.25	24.29	3.36
A3958	38.10516	-121.69544	Western Delta Tidal Transition Zone	Threemile Slough	May-2024	13.33	17.07	166.32	7.65	9.83	101.93	8.74	1.65	21.93	2.66	24.01	17.05	140.2	0.08	0.83	2.54	0.82	0.65	4.85	15.06	55.22	16.78	12.99
